A,B,D,H,F,E
4532,1534,639,19558798,3320,601
4532,3805,1999,12932829,1909,601
1939,3691,1611,-2186480,6916,754
1939,2094,497,2719003,5116,754
1939,424,818,3412889,7133,754
1939,4669,1678,-4074861,9639,754
4483,3691,907,16749552,6916,175
4259,238,1832,17703065,9788,77
4259,1054,82,18052653,3455,77
4259,223,1924,17710029,4832,77
4480,238,1599,19689838,9788,2834
4480,3494,102,19714012,499,2834
4480,855,1848,18490360,9490,2834
4480,2364,751,18295036,3591,2834
4480,4081,1710,13091890,6714,2834
3790,238,347,14281514,9788,413
3790,1950,830,12745600,3836,413
4585,3353,561,19141192,4477,2305
4585,2932,848,18535889,679,2305
4955,3353,37,24427964,4477,220
4955,4510,1641,17151115,3889,220
4955,3636,874,21374161,5187,220
4955,549,1285,23846560,3837,220
4955,3384,1857,18267937,8962,220
4762,3353,1207,18629573,4477,1895
4762,2572,1135,19757424,5807,1895
4762,2657,117,22365775,7088,1895
4762,4205,758,19489254,796,1895
4762,4217,1173,17730103,6135,1895
4762,2487,634,21099886,7784,1895
3958,1284,490,15036604,5010,2276
3958,2906,1435,11495654,9132,2276
3958,2311,244,15101880,3472,2276
795,1284,1460,-1242615,5010,1120
498,1284,671,-613560,5010,500
498,1144,561,-393780,1788,500
498,2136,507,-834948,8567,500
498,2330,1926,-4239576,2791,500
2219,2148,1846,958753,7446,900
2219,2488,44,4814489,7595,900
2219,2119,1398,1961599,4040,900
2219,1577,560,4040841,2326,900
2207,2148,10,4849369,7446,2138
24,2148,1620,-3479184,7446,2080
24,3268,1241,-4055012,790,2080
24,4191,163,-682557,8438,2080
1105,723,117,1136434,5345,2304
1105,2208,949,-874367,3176,2304
1105,11,1739,1201896,6039,2304
1105,4832,1495,-6002815,3809,2304
1105,2784,1498,-2949407,2071,2304
1103,723,1296,279601,5345,1149
3736,2609,1630,9705026,532,1025
3736,1379,1658,11671314,9568,1025
3736,4909,1912,4571688,3335,1025
3736,1385,294,13550506,6747,1025
2894,2609,1890,3444226,532,2332
2894,3644,1157,4159128,3639,2332
1889,2609,1035,868006,532,946
1889,3065,67,3362966,2700,946
1889,2724,718,1612489,3167,946
69,3652,364,-1324567,5024,1476
69,832,1337,-1107623,8229,1476
69,321,1845,-587484,6885,1476
774,3652,830,-2432084,5024,1450
774,1188,233,322272,7656,1450
774,725,1640,-589924,7881,1450
4376,1088,1848,17138752,3707,2844
4376,3055,85,18889701,7922,2844
4376,448,1708,18384192,8823,2844
4376,4076,1117,14596484,1014,2844
4376,3277,1696,13591584,2777,2844
2196,1088,263,4536272,3707,268
1106,63,934,1164394,1153,33
1106,1224,1529,-648260,8945,33
1106,458,939,793174,2288,33
1106,2847,397,92977,6148,33
1106,3086,756,-1109780,3089,33
1106,3820,1703,-5282224,5758,33
87,63,1726,-101169,1153,1210
87,817,1873,-1522672,6110,1210
87,3049,935,-2843246,4947,1210
87,2158,1392,-2996367,9244,1210
87,8,282,5313,6782,1210
101,63,1915,-110444,1153,1073
101,2438,350,-843099,1040,1073
2951,63,1895,8589016,1153,1447
2951,2358,1067,6192415,8977,1447
2951,1012,1146,7548649,3302,1447
3676,525,335,13337101,3164,2316
3676,2423,290,12810306,9520,2316
3676,27,493,13499665,2502,2316
3676,1626,392,12875584,246,2316
4048,525,1585,15554179,3164,2996
4048,3694,1441,11063250,1098,2996
3158,525,621,9646939,3164,536
3158,3181,1944,3789100,1230,536
3158,3838,960,6288484,5344,536
3158,2033,1731,6453841,802,536
3158,3711,1059,6043015,8520,536
4101,1734,1912,13502793,3069,2647
4101,2712,1104,13824153,103,2647
4101,3841,1924,9428117,5381,2647
4350,1734,1919,15594954,3069,2686
350,1934,622,-1080448,7313,978
3417,3504,1596,6083505,8062,2728
3417,1950,471,10757439,3836,2728
3417,2525,1238,8549939,8333,2728
4881,3504,344,22618785,8062,540
843,3504,910,-2477991,8062,84
843,4900,1102,-4689151,7261,84
4595,3504,1283,16618393,8062,1592
4595,258,1778,20655301,6388,1592
4595,1664,931,19564841,1904,1592
4539,1080,877,19655361,5398,1090
4539,4939,520,18034241,7692,1090
2052,1080,1076,3048624,5398,773
1049,1080,1857,-905159,5398,177
1049,2017,761,-434536,330,177
1049,1279,505,454506,2091,177
1049,1172,1595,-768939,8915,177
1049,3958,1784,-5960671,2787,177
1049,3294,1581,-4107413,3000,177
1049,717,185,967756,8664,177
1049,450,761,757951,669,177
1049,481,36,1083085,7036,177
1128,1080,1589,-443736,5398,181
1128,1158,724,433992,2477,181
1649,1080,158,2548561,5398,269
1649,4167,591,256504,4335,269
1649,3533,1900,-3993499,5,269
3726,739,415,13576391,4865,1906
3258,4277,1892,2522480,50,1062
3258,841,1251,9562473,3124,1062
3258,4916,1021,5595328,1220,1062
3258,1411,1920,7905444,4464,1062
3258,4736,1042,5679652,207,1062
675,4277,1424,-5634823,50,1030
675,3580,180,-188775,3485,1030
675,1212,25,425325,3983,1030
675,4923,537,-2188026,8316,1030
3776,4277,1340,8526996,50,2096
3776,3905,1029,10239931,525,2096
3776,420,1350,13691176,8034,2096
1514,4277,1055,-2220039,50,2365
1514,4986,1161,-3496550,1309,2365
1514,4399,909,-1706495,3869,2365
1514,2214,1363,-725486,2296,2365
352,4277,914,-3785274,50,1996
2269,1011,1475,3657136,5377,255
4993,1011,634,24289075,5377,2552
4993,1110,184,24725809,7528,2552
4993,3383,1893,18526030,7541,2552
2818,1011,641,7293073,5377,738
2818,2170,1255,5217774,5392,738
2818,3240,1418,3346804,5220,738
2818,3997,158,7309598,3715,738
2818,1270,149,7751894,6793,738
3469,1011,1895,10118116,5377,1552
3469,4308,1598,5149777,3,1552
3469,3395,739,9525056,3183,1552
1638,1011,591,2085543,5377,1262
1638,110,369,2642454,1466,1262
641,1793,489,-465896,1010,569
641,1969,320,-219199,3770,569
641,3835,601,-1893954,6161,569
641,2855,1578,-4094309,2164,569
641,4944,444,-1784255,4392,569
4129,1793,746,15711063,1010,2374
4129,1396,1714,14655897,7184,2374
4129,1719,1549,14385910,7685,2374
3573,1793,1242,10539423,1010,2580
3573,508,275,12626629,7877,2580
3573,2116,60,12639369,7960,2580
4045,1793,1208,14196081,1010,1653
4045,2316,150,16014625,8027,1653
4045,2253,1637,12673864,8079,1653
4045,316,1747,15809973,6082,1653
4475,1793,1248,17787961,1010,2983
4475,1508,1569,17659573,5832,2983
4475,122,779,19930587,2764,2983
4454,1169,284,19506120,7294,1557
4454,4123,1243,14713227,9065,1557
2303,1169,913,4236512,7294,1196
2303,1150,73,5219859,589,1196
908,1169,282,494806,7294,1661
908,498,1969,-156098,1997,1661
908,3535,377,-508231,3978,1661
908,3495,268,-112196,648,1661
3166,4744,103,9534924,5431,1734
3166,4599,863,6054619,5080,1734
3166,579,303,9848119,4066,1734
155,4744,1275,-6024575,5431,211
155,451,789,-331814,505,211
155,960,422,-381095,7937,211
2601,2249,728,5127929,4021,1310
2601,4193,1561,219928,2674,1310
656,2249,363,-386051,4021,2811
656,2803,1733,-4427263,2855,2811
1107,489,849,810288,228,111
1107,2472,1667,-2895375,3264,111
1107,264,591,1069425,3233,111
4087,489,597,16411636,228,853
182,489,77,-4529,228,2249
182,4413,875,-3828251,8478,2249
182,4274,1153,-4894798,9907,2249
182,30,1682,-17336,2315,2249
1325,2390,7,1738895,6423,1506
1325,3407,457,198626,3304,1506
2747,2390,1256,4544169,6423,137
2747,4332,1415,1416229,5554,137
2747,1590,552,6668329,34,137
2747,3018,545,5901199,8905,137
4856,1287,1452,21712012,9068,1605
4856,4667,1074,18568378,5783,1605
4856,1946,1323,21006178,4225,1605
4856,1622,302,23090892,6355,1605
4856,3123,426,22250338,1773,1605
3939,1287,1371,13751244,9068,1485
3939,3564,258,14596209,8548,1485
3939,1313,1254,13869219,6646,1485
3939,556,610,15176561,7232,1485
3906,1287,769,14267133,9068,256
2579,417,1539,6009478,6498,1440
2879,4846,446,6127325,1269,852
3394,4846,1824,2680132,1269,1430
3394,4999,1182,5610418,4639,1430
3394,339,1799,10909375,1414,1430
3394,1378,624,10659364,2317,1430
4176,4846,543,14807598,1269,238
4852,4983,1445,16341469,1922,1017
4852,2096,241,23036768,9395,1017
4852,671,46,23511038,7081,1017
3141,4983,675,6502356,1922,191
3141,3499,1029,6265410,3666,191
2293,4587,216,4267057,37,1974
2293,2244,1026,2955505,3550,1974
2293,2817,1561,860512,4920,1974
2293,4886,697,1852307,4988,1974
2293,3342,1571,7567,6248,1974
3974,4587,1969,6760873,37,1568
3974,4303,1685,8542121,4771,1568
1959,4587,445,1796466,37,1969
917,329,1833,237832,957,2189
917,4453,1877,-7517392,354,2189
3650,329,969,13003699,957,2029
3650,3382,1498,8256264,7495,2029
3650,3940,1682,6695420,3223,2029
1344,329,396,1676052,957,110
1344,2761,28,1729028,2288,110
1344,3875,1583,-4327789,3652,110
1344,4307,1037,-2660023,4500,110
1344,2947,1516,-2661316,4382,110
4236,258,1633,17522382,6388,393
4236,1063,195,17736411,6865,393
4236,3909,473,16094739,2847,393
4236,534,1869,16945650,255,393
4236,2028,951,16015068,8057,393
4236,4128,768,14773392,6131,393
1902,3486,1537,-1740378,8226,53
1902,2843,1868,-1693120,8613,53
1902,376,616,3385988,7491,53
1902,3064,1596,-1272540,7220,53
4792,3486,1805,16671034,8226,2164
4792,1262,1950,20502364,605,2164
4792,2616,1825,18189064,6302,2164
4792,323,303,22865395,7024,2164
4792,1590,1965,19838914,34,2164
1964,2168,347,3105000,9088,1204
1964,2331,1702,-110066,6491,1204
862,2168,470,-275916,9088,1426
940,2168,1988,-3426384,9088,2788
940,3118,1162,-2739516,4242,2788
269,2168,462,-929255,9088,938
269,1092,484,-456167,7466,938
269,1584,352,-485207,4656,938
645,2168,625,-938975,9088,1778
2457,4220,1228,854689,6785,826
2457,2131,1617,2591022,1825,826
2457,1532,682,4992025,4884,826
4079,4220,506,14502921,6785,1621
4079,4773,174,15807739,8010,1621
4079,2035,1350,13890991,8609,1621
4079,4880,1146,11045761,4309,1621
3692,4220,341,12191844,6785,155
3692,4154,782,10382436,5815,155
3692,2534,1678,9378812,8106,155
3692,77,702,13576810,4737,155
2436,4220,1232,735056,6785,1550
2436,1857,1354,3419718,3308,1550
2436,631,1592,4929544,1089,1550
3259,4220,571,8211461,6785,2441
3259,3910,426,8955421,8095,2441
3277,1456,139,10536345,3692,1281
3277,4821,1682,2629807,1176,1281
3277,2791,779,8564540,9185,1281
2882,1456,1442,6206372,3692,2367
2882,134,1809,8063518,4681,2367
2882,2392,585,6906604,5268,2367
2882,2363,484,7162232,6456,2367
2882,2621,1887,3360097,486,2367
186,1456,691,-971500,3692,2163
186,120,444,-18684,4924,2163
106,1705,1620,-2750864,5742,1630
106,1172,1685,-1963584,8915,1630
585,1705,1831,-2779630,5742,2066
585,2774,1845,-4775805,9588,2066
585,1644,1040,-1367535,1508,2066
585,2107,575,-869300,4058,2066
2228,1705,600,3940984,5742,1992
2228,4446,183,4150366,4869,1992
2228,1046,1255,3651254,6150,1992
2228,4361,1491,-1538267,9767,1992
1793,1705,291,2718694,5742,2005
1793,549,1655,2306254,3837,2005
1793,3272,1064,-266559,9105,2005
4351,1705,1091,17071046,5742,2542
839,1705,576,-278159,5742,2089
839,2540,511,-594019,6313,2089
2764,923,1647,6119515,6043,568
2764,1227,1479,5824963,896,568
2764,917,617,7073907,8884,568
2764,1758,1597,4832170,5220,568
2764,4013,1909,-21121,3458,568
2764,4769,1120,2298416,8541,568
1627,923,1700,1078029,6043,677
1627,3812,82,2334545,8848,677
1627,1110,1550,926629,7528,677
1627,1021,137,2507252,1157,677
1627,1726,419,1923935,1720,677
1627,3797,1698,-3800177,5285,677
196,1973,339,-630431,488,219
196,2590,388,-966504,8871,219
4910,1973,269,23577363,488,1037
4910,686,1873,22823222,9814,1037
4910,101,1197,23987203,6642,1037
4910,3893,423,22461361,1610,1037
149,1973,365,-697944,488,2800
149,4901,1703,-8324202,3145,2800
149,3632,1984,-7183687,6882,2800
149,954,91,-64613,9711,2800
149,4474,1562,-6966187,891,2800
149,3554,1447,-5120437,3312,2800
3598,1973,960,11051524,488,2190
3598,3823,782,9956018,3433,2190
3598,3542,1354,8149736,5028,2190
2987,1973,1037,6876168,488,221
2987,3915,1278,3918799,7073,221
2987,3272,552,7116025,9105,221
1922,3656,773,867996,2207,2747
1922,3745,155,3113609,2899,2747
1922,1434,847,2479486,586,2747
1751,1967,375,2328376,8824,371
1751,1779,1699,43480,4458,371
1751,3642,1815,-3544229,7058,371
1751,1422,1762,560437,9817,371
1751,3763,1511,-2619892,8445,371
779,1056,1689,-1176743,3117,1889
779,3106,1340,-3555199,2531,1889
779,2285,1412,-2619579,1083,1889
1150,1056,391,909604,3117,352
1150,709,1238,444758,5838,352
1150,478,1580,567260,3955,352
159,1056,1584,-1647423,3117,2195
159,4102,1849,-7559317,9988,2195
450,2124,1844,-3714156,2882,1571
450,4122,758,-2921976,661,1571
450,1437,1462,-1898394,7578,1571
4798,2124,1969,18838648,2882,150
4798,4481,1397,16760847,9143,150
693,3255,1671,-4958856,4659,1834
693,3481,75,219174,1081,1834
693,3679,326,-719105,9940,1834
3113,3255,1854,3655999,4659,1686
3113,3906,138,9151741,7178,1686
1729,3255,982,-206969,4659,2004
1729,4919,1749,-5613890,5271,2004
1149,3255,1633,-3995214,4659,1733
1149,432,1905,497241,8655,1733
1149,1898,331,691963,5182,1733
390,3255,1997,-6348135,4659,2695
390,256,1502,-232412,5437,2695
390,3817,1731,-6455127,8494,2695
390,3789,1499,-5527611,6966,2695
2329,3793,1026,1532623,9699,2262
1037,3793,1291,-3821394,9699,1490
1037,1816,1935,-2438591,6592,1490
1037,4705,1209,-4612976,7167,1490
1037,3706,1968,-6218039,5062,1490
3026,1801,1166,7056710,9260,2239
3026,435,377,8992681,9842,2239
2753,1801,748,6231861,9260,192
2753,3189,307,6599986,2766,192
2753,4967,987,2676580,4218,192
2738,1801,1708,4420536,9260,1625
2738,4874,1661,-599070,5325,1625
4061,1801,195,16140526,9260,1789
4061,2215,1338,13528051,1617,1789
4667,1243,711,20897116,3572,1214
4667,1802,1124,19755441,7814,1214
4667,2255,1962,17356579,6249,1214
4667,3554,503,19993227,3312,1214
1915,1243,811,2659152,3572,1334
4983,1243,829,23799842,3572,1051
4983,3775,1023,20968464,3316,1051
4983,1817,495,23930874,6973,1051
4983,3829,213,24014712,3206,1051
1575,4300,61,2218325,243,2812
1575,3210,1932,-3721095,1089,2812
1575,2594,1680,-1877295,9889,2812
1293,4300,812,-1819751,243,2576
3027,4300,641,6406429,243,1010
3027,13,1867,9138458,4524,1010
3027,2890,337,8188799,7372,1010
3027,2810,1656,4509369,9892,1010
3027,3859,786,6129555,6671,1010
283,4300,550,-2284911,243,1339
283,1714,1733,-2890273,3661,1339
3962,3181,1746,10143418,1230,2163
2414,3181,1070,2423726,1230,1758
2414,3801,923,2319073,8682,1758
2414,2979,1613,1022269,3784,1758
2283,3181,1509,411960,1230,1014
2283,2113,369,4432392,1076,1014
1873,3181,912,607057,1230,1090
1873,900,294,3243529,7983,1090
1873,4854,1013,-1408973,1641,1090
4923,2911,1520,19811209,5930,1246
4923,4102,901,20540027,9988,1246
4923,175,1254,24016479,7926,1246
4720,2051,1056,20112544,2906,676
4720,4098,203,21446506,4597,676
4675,2051,1733,18301242,2906,1929
4675,1657,1021,20163828,1368,1929
3932,2051,559,14314115,2906,2492
3932,1137,968,14360008,8144,2492
3872,2504,1084,12278048,6452,1418
3872,713,648,14530360,3694,1418
3872,174,1348,14757832,5748,1418
3872,3146,1701,9641038,5283,1418
3488,2730,647,10399834,245,1221
3488,4809,1373,5563387,9213,1221
3848,2730,249,14127334,245,2628
3848,3546,1206,10530628,1662,2628
3848,4050,1374,9242404,5129,2628
3153,1910,1370,7324709,9910,472
3153,2524,1164,7003473,3867,472
2525,1910,113,6159795,9910,1696
2525,2064,1693,2881273,1945,1696
3057,2528,424,8273377,6464,2805
3057,4802,1115,3991019,5266,2805
3057,3599,1190,5062439,8622,2805
3057,311,1275,8948724,6667,2805
1086,2528,372,238980,6464,1425
1086,1748,390,497676,4703,1425
4253,2528,412,17046473,6464,2421
4253,4573,889,14022612,6625,2421
4253,690,437,17786479,4995,2421
4253,2817,54,17935891,4920,2421
4253,1399,466,17436075,7157,2421
2953,2528,1848,4048465,6464,2207
4396,2528,1717,14984240,6464,1109
4396,4211,1283,13922103,349,1109
4396,1949,1987,15452153,3286,1109
4396,1592,775,18091016,4987,1109
1278,2528,912,-672252,6464,1704
1278,3349,774,-958842,5555,1704
76,2528,366,-919472,6464,1133
76,3998,1171,-4675882,1040,1133
1023,2441,1688,-3073879,432,2216
347,2077,1769,-3553804,1073,1788
347,3718,1365,-4954661,7593,1788
347,1151,1976,-2153967,3387,1788
3740,2077,1149,11601127,1073,2977
3662,2077,1563,10163893,1073,493
3662,2373,971,11106061,9214,493
3662,4391,1727,5826987,1365,493
3662,317,1055,13075809,3487,493
4094,3444,1969,9979600,4345,2205
4094,4643,1652,9090600,389,2205
4094,3545,716,14222616,2068,2205
4052,3393,256,15550096,8210,1769
4052,2509,1104,13648768,4866,1769
4052,4674,1207,10777186,7212,1769
4052,3449,1389,11628043,2226,1769
1306,3393,62,1495270,8210,1148
1306,4835,1478,-5440494,299,1148
1306,2417,1535,-2004459,8382,1148
1306,517,890,1245506,5431,1148
2146,3393,1486,-436682,8210,569
2146,1639,1899,1492855,981,569
1354,4094,725,-1134834,4685,126
1354,811,1705,450561,6205,126
1354,1425,437,1210591,9729,126
1354,2651,424,709292,4081,126
1602,4094,1642,-4155944,4685,1162
1602,2499,1038,-27558,802,1162
2553,2367,1243,3575628,3057,1054
2553,779,1773,5136642,5308,1054
2553,990,1921,4616019,1785,1054
2553,344,1387,6040681,8182,1054
2553,2741,307,5676322,7317,1054
4996,2367,674,23364658,3057,361
4996,2483,63,24803587,3820,361
4996,4529,1852,16572308,66,361
715,2367,1009,-1877078,3057,1932
715,3118,434,-841987,4242,1932
715,3501,220,-258995,6373,1932
715,3875,1870,-6735025,3652,1932
2614,4863,137,6166765,4770,2566
2614,2990,950,3992496,3788,2566
2614,2074,10,6812256,7072,2566
2614,783,563,6392167,1492,2566
2614,669,1000,6163996,3415,2566
2388,4863,461,3460701,4770,1112
2388,3090,1721,384654,8508,1112
2388,3474,1948,-1064808,3615,1112
2388,1849,134,5454778,5898,1112
3338,2225,585,9840619,3465,662
3338,4057,1846,3653022,7935,662
1096,2225,1606,-2372134,3465,2815
1096,2449,923,-1059211,1992,2815
1096,2050,1707,-2298134,4640,2815
4655,2225,1789,17688500,3465,11
4610,2420,1346,17994780,8996,2296
4451,2420,627,18294061,8996,1987
3546,2420,190,12114316,8996,1895
3546,4933,139,11888429,1760,1895
2256,3247,777,2566617,1875,1378
2256,1595,876,3692316,3288,1378
2256,506,1617,4271334,1554,1378
2256,2368,1216,2210048,644,1378
4828,3861,1707,16718857,2659,429
4828,1763,1997,19788873,5701,429
4828,2811,1354,19503490,4520,429
4828,1924,642,22074376,6827,429
4828,178,1685,23009654,823,429
3403,3861,1105,7314004,2659,1262
3403,2126,250,11048909,1014,1262
3403,2966,1901,5942043,5635,1262
3403,2665,905,9168584,1996,1262
2368,3861,1252,773452,2659,633
2368,4319,100,5175524,6645,633
2368,1347,1284,3877876,2376,633
2314,3496,1023,1778188,864,2429
2314,1352,1601,3190044,67,2429
146,3496,997,-3464196,864,161
146,4904,1755,-8585204,4049,161
146,4049,614,-2464770,2126,161
146,1073,58,-40918,7840,161
146,1643,1325,-2155659,6798,161
1626,2472,1904,-2062812,3264,939
1626,4663,97,2191565,4410,939
3040,25,1034,9215750,89,1996
3040,2520,1848,4584640,773,1996
4832,25,448,23337024,89,610
4832,3865,1786,16445334,6317,610
4743,2172,671,21038637,4445,394
4743,1914,237,22042431,7812,394
4743,4261,617,19867012,3607,394
4381,893,1120,18193001,4301,2044
4381,4534,1551,12160927,6465,2044
4381,4580,942,14878801,4052,2044
2017,893,1516,2714501,4301,1259
2017,1627,1542,1559455,3079,1259
2017,2858,884,1541817,437,1259
2017,3334,883,1124367,501,1259
2790,893,332,7487624,4301,291
2790,1636,668,6691252,1468,291
2790,652,1381,6883688,4871,291
2790,4614,1589,452454,6408,291
2790,1500,399,7185600,9978,291
2790,2518,908,5497756,2859,291
1537,893,316,2080181,4301,2737
1537,1649,221,1997940,4983,2737
1537,4791,1018,-2514869,313,2737
1537,1457,929,1008816,8634,2737
1537,3232,104,2026241,129,2737
1537,4438,1045,-2275341,99,2737
1571,1227,1847,201772,896,2488
1571,2590,1296,-888599,8871,2488
1571,3026,1348,-1611007,935,2488
1571,4309,50,2252591,1074,2488
3294,1227,1999,8397663,896,1563
3294,1204,674,10038940,7768,1563
3294,311,33,10840173,6667,1563
218,2699,168,-405908,8159,2823
218,940,608,-523996,687,2823
218,3267,1637,-5300555,2391,2823
218,1000,416,-368476,3571,2823
2030,2258,1365,1038730,3074,1387
2030,242,802,3926816,4229,1387
2158,2258,675,3132814,3074,1133
4324,2258,1326,15702868,3074,2021
4324,2060,1711,15172316,3035,2021
4324,3951,1045,14568181,6895,2021
4324,3030,1307,14736766,2788,2021
3247,2258,1277,7659543,3074,770
4010,2258,338,15316896,3074,1208
4010,1823,1967,12494259,5294,1208
4010,1591,1715,13351535,7992,1208
4010,3141,1717,10687003,104,1208
4010,3711,1900,9029200,8520,1208
3193,4056,137,9639577,8736,1322
3193,4706,1832,1573857,9007,1322
3193,4263,1041,5757466,2749,1322
3193,2201,1309,7314140,593,1322
3957,4056,1229,10673025,8736,964
3957,4608,1878,7004025,7591,964
3016,445,1133,8592071,506,1123
3016,85,1275,8987881,2438,1123
3016,164,1138,8909624,897,1123
3016,4704,1006,4364032,7116,1123
3016,2674,636,7395592,9538,1123
2970,445,706,8506730,506,1001
2970,446,416,8635364,2692,1001
2970,4798,1821,83742,81,1001
1776,445,1168,2634416,506,891
1776,308,1769,2609324,6453,891
3510,445,451,12119405,506,368
3510,3143,915,9444255,4477,368
3510,3920,1478,6526340,6237,368
3399,445,1795,10754426,506,462
3399,2294,231,11023287,8391,462
3399,4154,852,8013993,5815,462
3399,2119,95,11351896,4040,462
4697,445,836,21689789,506,612
4697,3392,1267,17764145,5233,612
4697,4304,1485,15670369,6823,612
4697,827,1379,20921376,8566,612
1678,966,405,2424454,3527,122
1678,210,296,2753524,9396,122
1678,1842,831,1284982,6072,122
1678,3253,139,2363517,9529,122
1095,966,1731,-473121,3527,1487
1095,534,1667,308847,255,1487
1095,4583,173,406166,2990,1487
2483,966,213,5959531,3527,2045
2483,4435,6,6138679,5355,2045
2483,1640,1688,3396969,4817,2045
2483,1976,835,4515329,8652,2045
2483,3980,406,4549409,7364,2045
3884,966,781,14331010,3527,187
3884,1547,788,13866420,1152,187
3884,4353,147,14445565,5188,187
1654,966,400,2349316,3527,836
1654,4146,1167,-2102666,2924,836
4034,3734,1364,11179980,3364,1781
4034,645,195,16147381,5330,1781
4034,3313,1787,10352825,8134,1781
4034,2306,575,14947206,5052,1781
4034,4653,1587,8888845,347,1781
4034,1481,1210,14481146,2233,1781
4034,3172,1950,10087756,5654,1781
4960,3734,807,21588262,3364,450
4960,1607,137,24381441,8769,450
4960,4870,1991,14905430,9284,450
2816,3734,377,6522138,3364,2878
2816,3231,1337,3610009,3693,2878
3852,3357,1781,8859087,9544,2000
3852,2274,103,14603682,8914,2000
3852,4296,824,11298000,9584,2000
3852,4921,1455,7677849,5645,2000
3852,882,1913,13150638,6249,2000
1272,3357,1063,-1950507,9544,1644
4913,1837,1964,20529701,7026,1748
4913,2509,1155,21239674,4866,1748
4913,4382,605,21486459,2278,1748
2906,1837,1875,5000461,7026,2142
2906,4170,643,5763526,5468,2142
2906,3168,225,7732036,1145,2142
2906,1897,1266,6043234,4287,2142
4728,1837,1517,19567255,7026,990
4728,2576,407,21305552,2820,990
2521,1837,57,6250732,7026,862
2521,4666,45,6145471,8437,862
2521,3244,222,5635273,444,862
2521,1587,564,5460373,5094,862
4687,1837,1262,19649675,7026,468
2195,2045,516,3762805,6901,1186
2195,3177,738,2473399,6427,1186
2195,1278,321,4407787,6554,1186
2195,1204,1728,2737513,7768,1186
2195,3165,202,4178695,7493,1186
4476,2045,1797,16359711,6901,1575
2754,4025,44,7407416,6220,854
2754,4548,586,4919388,1661,854
2754,4227,745,4435401,2430,854
898,4025,1363,-4679671,6220,2014
4163,4025,768,14239369,6220,802
4163,1607,691,16220132,8769,802
4163,3550,289,16304619,9283,802
1385,4434,1754,-5859011,560,2099
1385,4127,1788,-5460851,3494,2099
3448,4434,1625,4683454,560,478
4601,447,602,20900107,4655,1122
4601,3772,1242,16484377,5729,1122
4601,702,1834,19881733,8169,1122
4601,1723,369,20533414,5778,1122
3620,447,321,12960913,4655,457
3620,2457,47,12988921,5654,457
3620,4428,268,11917696,8835,457
2916,447,1622,7778022,4655,645
2916,2850,1747,3524106,9223,645
2916,129,385,8453391,7599,645
1552,1366,853,1243506,1804,1435
1552,4249,1811,-5286235,6638,1435
2706,1366,286,6931760,1804,127
2706,1620,821,5992416,676,127
2706,3618,1730,1063296,4520,127
595,4027,159,-286268,4627,1425
3700,4027,737,10722101,4627,2272
3700,670,299,13489670,3999,2272
4144,4027,107,16741847,4627,561
4144,2021,1108,14933468,221,561
4144,1902,1301,14698234,1254,561
2887,4027,1418,2624483,4627,783
2887,4908,1603,467245,5264,783
2887,2327,972,6072925,2583,783
2887,1414,419,7742303,2427,783
451,4027,1154,-4443757,4627,660
451,3784,857,-3039487,2952,660
3572,4473,1654,5360842,352,1642
3572,1346,1514,10721340,1049,1642
3572,1508,94,12617432,5832,1642
2019,4473,239,3007314,352,958
