A,B,D,H
2195,1278,321,4407787
2182,3006,1052,1598812
1999,637,995,3362186
1227,1484,57,1420941
2371,4201,523,3424518
1041,2710,1671,-3444729
3375,1329,1573,9300108
3339,1091,1530,9479691
978,2417,1131,-1777143
1282,1179,12,1629376
863,2176,1440,-2388671
785,3559,1924,-6231291
3029,921,1890,7434151
1352,3227,645,-253511
2236,622,1457,4093442
3653,3991,721,10466898
3043,2208,1452,6053833
4857,907,384,23242161
1575,3210,1932,-3721095
2262,1866,1434,2440800
2225,683,532,4587269
3230,98,86,10424472
4057,1503,1773,13794430
3734,2857,687,11979997
3782,1416,1950,11542324
2737,189,1187,7266826
4470,2163,410,19094070
1902,2843,1868,-1693120
3821,4071,1985,6519106
3750,3095,323,13062815
2522,4533,1700,-1345616
3197,4663,1523,3119060
4319,2151,290,18029971
1990,1999,1131,1699231
574,3529,934,-2966610
2678,3479,22,7095146
4192,3674,307,16444946
3972,3913,881,12329431
4251,3130,102,17751741
3613,1298,1088,11641545
2974,370,939,8497246
3717,1800,831,12320289
1408,1981,614,766130
3866,4670,1469,8085726
2088,1016,1605,2729064
3567,3287,1549,7631926
4896,1114,1325,22494766
2742,1313,690,6612594
4650,2053,1687,18159089
1285,4627,1520,-5381815
3846,4416,539,12411492
4715,3907,1808,15167369
1048,755,336,844624
3961,2060,1148,13324641
2947,1007,220,8463269
1283,3819,439,-30452
199,878,536,-431007
4370,4413,161,18386407
3470,1877,799,10541177
464,3150,1361,-4071854
2684,4429,1670,-192574
2198,2803,1405,892989
3683,1706,1323,11307451
4762,2572,1135,19757424
3414,485,1258,11045266
2216,2781,422,3737074
4600,2449,1677,17053027
2568,3822,476,4775352
4105,3603,736,14199217
4579,3787,1802,14143067
4625,4365,66,21102535
2266,3016,1303,1204908
1261,209,518,1481859
2501,3800,293,5141601
2703,4410,1044,2702169
380,1109,1704,-1745336
395,2144,1342,-2721223
3945,4488,1862,7206369
3870,2277,1801,10876023
4679,1273,1166,20408723
2970,446,416,8635364
901,2760,470,-485399
426,3028,1659,-4841976
3890,3055,1610,10213550
4923,4102,901,20540027
3331,729,1786,9793567
2486,2968,252,5432260
2065,2427,855,2189140
4660,1763,851,20215287
3806,4949,427,12372413
2320,4855,1572,-2249660
3745,682,488,13692209
2807,1706,16,7851953
2576,3054,972,3667288
893,907,1180,-272811
2450,2635,1540,1944600
2073,2829,10,4269039
1941,925,565,3244856
3760,2403,703,12448291
1775,4152,133,2598409
3014,1039,58,9023934
3047,2278,1515,5833039
3615,2387,46,12958423
3560,2520,370,11741200
93,61,1041,-54852
3266,892,363,10342960
914,2096,1359,-2013068
2536,4666,1874,-2312788
3177,964,1704,8450673
4712,3617,1040,18441264
4219,906,310,17519101
232,4054,340,-1324536
2229,3995,976,1069321
2670,3895,1457,1453885
2618,1337,341,6398007
1022,2707,934,-1483854
4240,135,962,17847730
1728,2937,1242,-661770
2835,1211,1459,6270376
2624,1585,986,5322566
3009,776,1528,7868353
281,2554,118,-222411
3725,2506,1000,11369625
1481,4017,1112,-2273543
3100,2065,1998,5484130
1776,308,1769,2609324
537,1258,1850,-2038931
4489,3611,965,16666506
4700,1302,660,21230680
2679,4719,1227,1386828
4996,2367,674,23364658
1128,1158,724,433992
3637,844,956,12420905
1311,3502,199,1021823
4049,4365,375,14757526
564,439,257,205273
1248,3567,1066,-2244918
994,3764,130,498716
4988,3237,1933,18623023
728,4274,1715,-6799926
635,2102,790,-1257355
808,256,1607,241472
2537,3036,1085,3142309
1532,638,215,2209854
3233,1565,178,10173719
1626,4663,97,2191565
1919,67,1535,3579716
2284,917,1129,4181363
3889,1958,1783,11633207
3053,2749,714,7358023
4669,1089,1088,20614729
3181,2230,1407,6981151
3829,269,1664,14213625
2638,1137,1370,5401354
1231,4728,1231,-4304807
125,958,225,-199925
1275,3775,646,-813025
1968,1480,1393,1811384
4140,2224,651,15691776
2946,26,1004,8652812
1771,1688,1647,356305
3798,1388,1063,12949360
1579,3248,806,-124647
1485,2122,540,1059345
816,2101,1735,-2979379
4498,4005,408,18597964
3038,698,794,8675232
4038,1442,1968,13467588
502,1514,1904,-2630652
2456,4397,928,1951520
3921,2388,950,13105641
3431,3180,120,11390161
4948,4226,1074,19943980
3542,1042,1058,11443328
2540,772,911,5748308
4346,3945,211,18055321
4410,2155,1356,16525920
3243,4520,172,9739609
209,1139,759,-820820
1144,180,1941,959356
4397,227,1874,18908211
1195,598,1772,368369
1576,2662,1963,-2741730
3640,4385,1103,8412945
1303,1627,863,293708
2521,3244,222,5635273
4780,2224,1260,20046160
4730,274,1702,21906552
3958,2906,1435,11495654
3569,2191,295,12091416
4568,3424,1061,17233760
3911,4678,1520,8185361
2677,779,679,6637388
3441,3494,407,10418423
1940,1168,1413,2113216
2480,3344,1504,1121024
3758,700,1434,13118764
1444,1386,1022,668644
4785,1720,138,22658865
717,3184,739,-1838887
1494,608,1092,1568100
3388,1611,1215,9521179
690,1761,557,-504777
2885,4509,1151,3133366
3651,1743,643,12209052
2503,1523,1822,3490103
669,3332,1993,-6193115
3360,3689,1365,6254115
4762,2657,117,22365775
3300,231,592,10753248
3528,4033,1767,5320473
817,1900,276,143089
3850,340,1918,14170380
3354,3245,205,10584091
1043,4585,1762,-6990921
918,1714,984,-843852
1289,2881,311,765530
4784,4616,120,22332736
1386,426,1739,1180182
4219,1955,1082,15684651
3431,2737,430,10594851
1490,648,841,1675132
4944,2057,406,23607994
2843,4692,1470,1185409
696,2145,240,-30384
2854,4582,304,6752388
2050,1454,1838,1530048
3091,284,1908,9012409
1469,1027,1892,214877
233,1520,1788,-2663471
1917,3888,223,2807865
2456,304,1166,5677472
3933,4576,1684,7762505
3048,2204,1132,6795376
2790,1636,668,6691252
2671,168,1302,6915505
292,3242,1447,-4605910
1169,3266,53,1193463
4554,3004,1045,17599736
1372,475,1559,1141859
164,2058,1269,-2584706
3068,4901,227,8300097
2622,742,1960,5420564
2951,2358,1067,6192415
81,4132,1434,-5918727
1461,4724,255,929901
2675,4828,623,4147781
4625,4820,1293,15158365
200,4392,1628,-7110176
158,4678,1023,-4760630
2108,4045,454,2607234
3590,2419,478,11731818
2235,1285,1661,2860840
850,3503,1563,-4752689
2066,2009,774,2713390
3880,3233,701,12788067
3434,2448,1871,7212148
3217,1802,1778,7145133
4012,4773,540,13518724
4024,4874,394,14272220
1690,593,627,2484289
2257,1232,472,4512545
3915,2183,1698,11620491
3628,390,1516,12571144
2779,854,1008,6862009
2685,905,1461,5887020
1261,2357,1013,-797520
575,1683,870,-1133585
1860,2692,1650,-982200
90,904,1602,-1440108
4404,810,1649,18059526
3799,4234,1035,10050211
3152,4122,232,8978800
1347,3515,350,584159
3024,2189,1065,6813291
2774,1558,1293,5680582
2557,3128,878,3791865
759,4566,341,-980925
796,4550,42,442516
1432,4407,623,-694937
4503,4072,1458,14340033
398,1401,542,-600938
1026,1393,994,-331966
1102,1706,1972,-2149828
3580,1263,211,12549907
2939,3730,1912,1505961
3677,494,1465,12796619
3246,2834,1360,6682276
2634,4864,699,3538020
1856,1483,1726,885078
1686,3153,1094,-606786
753,4409,408,-1231863
1797,3781,50,3040159
4919,1407,1288,22384345
4142,1023,327,16821643
388,2946,844,-2335880
3050,4630,926,5015120
1493,937,113,2123168
4808,2159,1985,18831249
1636,2385,1499,-898619
1921,285,72,3669721
1872,261,500,3373884
642,2858,861,-2048574
4957,134,1865,24321939
3197,1816,58,10115481
2761,4049,1602,1136623
1149,432,1905,497241
2152,2268,416,3687616
3125,1032,833,8905969
1013,3239,1112,-2575599
4702,4435,1513,15398649
4269,394,868,17882369
3366,3082,1962,5283072
4868,4801,1728,15401296
4199,2260,1219,14876661
76,3998,1171,-4675882
402,13,784,151412
3879,785,1175,14124266
2265,2129,527,4008242
3954,274,603,15468894
1199,1675,238,1038951
730,4849,323,-1033327
393,2094,81,-15165
4960,3734,807,21588262
482,185,1850,-109926
3115,584,195,9589345
640,501,1199,-191099
1782,3773,1207,-1378487
3756,616,1078,13443488
1610,706,252,2414188
880,4279,1226,-4471654
593,439,762,17131
3360,4908,156,10523952
1807,1615,1292,1178669
346,2769,1455,-3909179
1938,3886,119,3293410
4233,2787,242,17243835
3261,2590,429,9523011
754,1300,13,551616
3068,538,814,8974692
3278,1090,1247,9386054
636,1936,1220,-1957424
666,3078,1471,-4084182
2327,883,1812,3814933
4259,1054,82,18052653
2818,2170,1255,5217774
1098,2294,1548,-2345508
985,1360,452,355505
377,2083,1326,-2619929
1052,133,1115,958409
2355,2210,1036,3256465
35,4395,32,-139415
2443,1920,231,5524729
2372,4538,5,5603694
1772,2102,1554,-126524
1418,4637,717,-1314005
4155,2858,995,14420315
4282,2912,1134,15033316
3288,2118,1919,6746502
1355,2743,90,1589155
2485,62,1988,6051969
2840,2373,1924,3499948
3055,2318,1028,6950121
2483,4435,6,6138679
4761,1015,1766,20874631
1770,1900,713,1778200
253,4245,190,-742541
4418,2327,261,18911377
1512,4,1912,2278496
85,798,853,-673469
130,3804,1971,-7480784
1272,3357,1063,-1950507
4949,220,301,24426381
567,4318,868,-3426535
3820,3400,1500,9492400
54,380,879,-331104
2700,898,1565,5884630
3221,2346,1827,6088699
2818,3240,1418,3346804
154,10,1269,11026
4389,3713,1038,15409227
520,428,356,118032
225,2605,351,-863730
4274,993,1841,16438963
2786,2109,37,7683763
19,2378,657,-1561985
699,3778,1892,-6659375
771,4054,42,424173
3055,2212,756,7660753
4941,4740,1883,15488061
2062,3376,33,4140436
1334,3494,3,1769074
1606,3910,339,1253746
3280,3785,163,10141445
2221,3737,730,2204831
2428,1951,396,5122588
654,3187,697,-1793623
1877,4061,224,2613465
606,4248,351,-1123812
1156,4410,1524,-5384504
3110,813,1026,8837962
2048,1132,1324,2695536
2522,2742,1473,2321518
527,1439,1939,-2512492
794,1645,1247,-1420879
3129,1641,216,9436185
2663,4242,571,4669387
4337,132,277,18773005
307,560,867,-391271
2592,3088,802,4241888
2274,259,10,5168486
1780,2254,1074,747604
4327,4034,1742,11695701
3353,3285,1654,5809219
1705,269,296,2827401
675,4277,1424,-5634823
2857,325,1944,7530649
4806,3471,715,20615871
4944,2268,1916,20097648
3994,993,243,15710737
1916,2897,42,3549382
2824,4115,474,6024466
4152,2582,1249,14014186
4891,1295,389,23418126
2223,2383,1946,304411
4211,3248,317,16702905
145,2663,1501,-3976138
287,2281,1561,-3478272
3153,2524,1164,7003473
718,2517,1786,-3979838
408,2754,961,-2480130
2889,1655,414,7661151
3298,4337,29,10751031
2975,3512,1297,4295561
739,264,129,512065
1814,2570,1345,-166054
3348,1721,72,11085192
3170,59,681,10008721
3332,4387,1364,5118356
3331,2577,748,9167965
2485,4145,1388,421965
1950,4062,1962,-4167144
4480,855,1848,18490360
449,1313,1928,-2329863
4015,3237,341,15016408
4564,4801,1738,12485958
3016,85,1275,8987881
242,179,1854,-273302
3360,2697,586,9709158
1431,1390,1923,-625209
4535,2770,976,17862705
1317,1627,1278,-344817
4910,1973,269,23577363
710,1616,1327,-1640332
3653,4581,1456,6674473
1733,324,1585,2489749
45,1199,531,-634644
1391,3597,670,-475109
1882,3065,144,3100564
143,1679,251,-400980
7,776,522,-405023
290,3398,187,-551326
2679,4067,1100,2703341
2561,2017,1701,3127804
3915,2582,127,14999311
2640,3260,1466,2190440
1498,2785,1258,-1259526
4149,746,258,17021733
591,1259,1180,-1136339
3973,2839,1079,12721448
202,2912,1407,-4056380
3197,3170,1050,6892309
1541,1547,1235,464136
1818,657,1187,2525265
3857,1216,1188,13431841
4472,3363,1183,16020355
1190,2891,1044,-1602104
2106,3124,559,2688920
1329,1156,321,1395165
691,429,237,375808
4759,823,1946,21046523
144,1595,1111,-1751309
3820,4102,978,10580644
4858,292,900,23337364
1290,989,25,1639375
268,469,312,-74504
4717,3200,490,20682089
2610,3415,482,5166070
3003,1993,668,7686685
1540,4181,1751,-4949331
347,3718,1365,-4954661
3731,3269,1792,8062313
2901,547,1251,7731504
6,1712,1074,-1838652
4802,3347,1304,18694716
4334,3823,1081,14650893
4374,4818,642,16038720
3876,575,1243,14308651
2809,4916,1799,-953403
97,1599,1616,-2574575
4978,2790,1558,20433664
2249,3189,421,3715432
4291,2922,1310,14584861
1040,2900,764,-1134000
4579,3087,919,18130288
1403,510,9,1963819
3404,3891,1686,5026990
1926,514,1719,2825910
781,4288,747,-2593175
3996,656,1317,15104064
4144,2021,1108,14933468
2293,2244,1026,2955505
126,2381,1744,-4136588
2457,2131,1617,2591022
4738,475,296,22308044
1514,4986,1161,-3496550
3346,3108,352,10101700
4662,3302,846,18940752
4306,3414,1615,13028026
1461,4482,1324,-3799647
1597,724,1603,1389837
837,4680,341,-895311
166,4125,63,-232319
445,2997,551,-1453322
525,3481,50,101575
2276,4213,1169,255179
4253,690,437,17786479
3819,925,582,14046411
1887,3084,878,853017
1690,3485,530,1009050
1456,4168,329,748664
4271,2286,894,16197757
4081,2816,869,14207457
2120,298,1121,4160342
4191,2954,1615,12793771
4032,1521,797,15044787
1111,4884,562,-1510487
457,4793,1100,-5063451
2522,750,173,6230734
1087,1744,1520,-1469311
1465,1764,336,1553521
3662,2373,971,11106061
2522,1962,497,5385370
2399,4859,1075,531776
3972,1706,1735,12816874
4707,3773,397,20657968
2690,3451,22,7160178
1763,3328,1548,-2043575
1753,3948,1276,-1964639
3229,936,334,10113817
1816,611,1661,2282985
573,383,335,200024
4300,3906,1173,13908262
3716,1217,1264,12270368
1550,159,1203,2211223
3728,3261,1383,9388021
826,2766,1332,-3002036
1035,2537,1776,-3434487
1116,469,1965,323871
176,3368,625,-2074024
87,63,1726,-101169
11,4102,773,-3170725
1880,3698,553,1489406
3574,4694,459,10618930
173,4847,1018,-4904317
3006,3791,418,7451398
4043,2449,1821,11886220
801,3003,758,-1634673
3848,3546,1206,10530628
1295,168,786,1544977
986,1274,60,895756
3193,4706,1832,1573857
954,3153,612,-1019520
4762,4205,758,19489254
1894,3687,1148,-645440
315,3630,414,-1403595
823,3365,1770,-5278721
3521,3782,626,10029909
3378,699,1901,10082085
2544,4468,1241,927148
1576,1545,447,1793161
2892,3721,1068,4389636
4143,4428,1508,10487025
1353,2714,181,1339375
2898,2749,890,5951794
4979,2625,118,24480691
3176,4933,964,5331564
1230,1908,1311,-988488
1997,552,395,3769969
579,2615,747,-1618164
3673,3164,1971,7254685
4554,3275,344,19612316
3710,3824,727,10984052
4263,3362,1885,11835799
4900,1890,1771,20662810
1839,3516,1325,-1276779
4170,2906,1924,11797756
4339,859,1206,17790967
2175,3557,1347,-60654
2982,2460,1326,5630364
498,1144,561,-393780
2162,3006,1872,-952988
1753,1758,1363,676855
4669,4764,174,20970625
557,4801,1790,-8283541
4995,1428,713,23931861
3632,1782,586,12147172
1572,1692,1342,200520
3621,2013,11,13089498
4736,2781,760,20316136
2748,4062,1098,3091428
1232,1891,194,1150970
508,4154,25,154214
4106,1375,678,15926986
2020,4071,1785,-3186335
2346,2736,1337,1845684
567,1250,1387,-1412261
2963,300,81,8755069
4004,4537,1489,9276423
2491,3716,1462,772289
4871,1276,1003,22446813
982,1659,1829,-2069987
2481,210,1998,5735781
4287,2312,729,16692921
584,1714,156,73672
2708,4491,439,5361715
3348,4376,1732,3629872
4485,1436,498,19400097
293,4980,1385,-6811451
1246,4119,1508,-4658936
1299,959,751,967192
22,4851,223,-1081289
1722,2009,292,2378656
4783,4101,941,19018048
2226,1624,893,3504844
2616,4611,1373,512553
548,1401,1756,-2159852
4570,969,59,20827729
3235,818,881,9744567
4752,1102,501,22029402
1216,4262,160,796736
4015,4596,1751,8072629
630,4433,806,-3176098
2484,438,1305,5598666
1373,2171,454,899495
590,1189,1035,-882515
2762,3461,888,4555276
2999,1831,1625,6018626
269,1092,484,-456167
3713,984,107,13681081
2116,4228,1731,-2841212
3931,1313,1264,13793129
3686,2027,349,12879173
2911,2893,1322,4649375
598,47,1815,272299
2040,4403,1793,-3732979
3795,1645,40,14336225
3720,2313,1222,11011914
3540,3817,695,9878785
2180,4756,98,4286312
1681,1195,246,2531791
2784,4540,338,6216136
4707,4424,691,19098865
123,3094,905,-2784941
453,2672,1866,-4780743
1520,4701,1133,-3015833
4235,3070,1199,14254295
2569,4608,874,2572369
913,1022,1442,-640155
370,1420,241,-205320
3373,1100,1133,10130829
2782,1718,614,6684672
3508,1190,1317,10738834
685,1655,246,62095
334,3382,222,-639248
4225,2223,507,16723564
3243,3708,561,8436861
1750,3472,1172,-1006684
368,867,1388,-1067972
1957,1111,1778,1854491
2513,4068,190,5542249
2465,3663,912,2735569
4165,2721,1072,14430313
1946,708,1275,2884216
4902,3772,199,23278976
2534,515,1032,5889676
1056,4387,1857,-7031523
585,1705,1831,-2779630
821,3862,1005,-3207269
580,2714,1960,-4983040
3980,2361,1260,12865540
2517,1545,969,4838184
3517,2046,263,11831191
4253,2528,412,17046473
2782,4828,1180,2042484
296,55,888,38776
2073,1649,1017,2620296
25,4148,1325,-5495475
1154,1046,186,1137160
982,637,18,952858
3732,2845,1540,9546524
1337,706,247,1613187
4654,1250,368,21199716
4055,2574,1535,12491935
1954,4620,818,38956
606,3881,1772,-6509896
114,4233,10,-29334
983,3288,1008,-2348015
945,519,99,841644
4483,3691,907,16749552
548,1345,936,-958616
2327,2155,1804,1527309
3018,267,1292,8763360
7,2874,1636,-4701815
767,1603,1891,-2442984
4776,2460,1538,19026696
575,1795,554,-663805
526,2218,1646,-3374152
4458,4965,924,15286104
833,13,1919,668942
2593,2440,807,4754569
4900,4252,1867,16071516
4064,4000,351,15112096
2120,451,1172,3965828
2835,1644,1194,6074289
910,4656,700,-2431100
833,1627,943,-840372
3661,4164,1604,6723865
2390,4778,168,4909396
251,559,1222,-620097
4710,4522,1732,14351996
4866,2123,1903,19637887
3335,3740,1090,7045625
4279,2260,766,16578681
3441,3557,537,9930372
4258,2233,1345,15127179
2964,2868,385,7681116
582,4019,1145,-4263031
2291,2197,1419,2131138
4622,3119,689,19213893
2727,4010,347,6045059
4548,1461,921,19338723
1606,3928,1630,-3823404
3248,4751,731,7076523
991,3055,1116,-2427299
3109,3574,1826,3139757
608,3976,1932,-7311968
1227,3366,1373,-3115989
3589,1840,994,11051961
3812,510,451,14301334
305,914,764,-605271
912,4002,1918,-6844092
1413,1193,221,1732916
3798,2026,843,12716886
2766,2423,1062,5077530
1415,3466,1707,-3914237
3517,3636,1638,6413521
3776,4277,1340,8526996
2482,1514,1259,4254198
4129,1396,1714,14655897
310,592,923,-450316
1029,3093,1071,-2253762
3340,3868,1692,4610944
3345,2212,426,10246713
294,2271,1981,-4412415
3133,4062,208,8970793
4879,3118,633,21830947
1293,4300,812,-1819751
4480,2364,751,18295036
49,3810,1184,-4508639
3411,4816,944,7088617
1861,648,1380,2569081
1853,4700,642,416209
1482,4621,1792,-6084508
2275,3157,500,3597125
3235,282,1947,9916171
4590,2619,269,20363589
2314,1352,1601,3190044
1052,3957,1940,-6569876
4630,3162,703,19214014
3915,1181,820,14358805
3421,2314,958,9486429
314,4749,1059,-4930595
2826,3369,827,5200113
4191,498,364,17383209
1848,2500,531,2087604
4907,2318,1806,19892341
793,4080,109,184129
4129,1719,1549,14385910
444,1865,1794,-3148674
381,4084,239,-830915
4463,2210,699,18373579
1606,1655,1736,-293844
814,3609,1987,-6508487
4526,1774,1806,17280832
928,2326,188,423896
2085,1145,1660,2446525
4046,3438,1537,11085910
1269,369,1392,1096713
1079,4524,1630,-6209879
2881,1053,1703,6506902
2929,4334,291,7317847
716,448,763,170832
4564,1545,1701,18202051
4222,1895,1599,14795179
2583,1063,1198,5398415
1312,4911,1616,-6214832
19,3028,311,-941347
544,3208,1583,-4782328
4432,4520,1950,10828624
4423,2396,1013,17135781
4955,549,1285,23846560
2716,2347,123,7087975
4621,4381,1659,14085562
475,3501,187,-429062
4840,2431,1054,20863326
2360,3392,1424,739392
