A,E
378,181
379,1950
380,176
381,1781
382,2641
383,446
384,1172
385,2173
386,2666
387,1140
388,2993
389,2507
390,2695
391,1259
392,496
393,1072
394,1184
395,772
396,1251
397,118
398,488
399,2919
400,2181
401,1803
402,1485
403,95
404,2654
405,2844
406,121
407,876
408,827
409,1352
410,2565
411,1654
412,394
413,2489
414,1073
415,921
416,2813
417,655
418,1814
419,1318
420,1236
421,2811
422,1249
423,1593
424,814
425,2706
426,1106
427,2715
428,1371
429,1519
430,2687
431,2995
432,1165
433,1948
434,2419
435,1568
436,1804
437,201
438,441
439,1006
440,2899
441,545
442,1626
443,1376
444,542
445,970
446,1000
447,2689
448,2666
449,1640
450,1571
451,660
452,1399
453,2369
454,1831
455,1016
456,906
457,617
458,57
459,532
460,2995
461,2573
462,2977
463,1778
464,1902
465,2782
466,133
467,2960
468,657
469,2612
470,1711
471,283
472,367
473,2565
474,2732
475,1616
476,832
477,1857
478,1599
479,2889
480,1876
481,2297
482,1599
483,929
484,933
485,819
486,127
487,134
488,203
489,611
490,936
491,1764
492,139
493,1004
494,503
495,1836
496,1745
497,2277
498,500
499,2621
500,1091
501,639
502,262
503,2529
504,2216
505,2112
506,2337
507,1825
508,1906
509,1187
510,358
511,690
512,18
513,1033
514,41
515,2210
516,2457
517,2295
518,1071
519,902
520,1302
521,2911
522,666
523,1285
524,581
525,1975
526,1680
527,1023
528,774
529,2997
530,2697
531,2131
532,662
533,1492
534,2810
535,1379
536,1588
537,1026
538,470
539,1870
540,780
541,1587
542,922
543,1400
544,729
545,475
546,1394
547,2948
548,1890
549,48
550,785
551,2736
552,88
553,575
554,2633
555,1999
556,2827
557,2676
558,1871
559,2714
560,2858
561,1828
562,2600
563,456
564,1400
565,1618
566,469
567,856
568,2575
569,1594
570,1120
571,2363
572,2603
573,2929
574,995
575,1214
576,641
577,41
578,669
579,2713
580,1160
581,551
582,1993
583,2277
584,1485
585,2066
586,2449
587,467
588,2935
589,1043
590,2354
591,1390
592,918
593,245
594,83
595,1425
596,431
597,2296
598,271
599,1298
600,1778
601,1259
602,592
603,1546
604,949
605,2459
606,664
607,856
608,2994
609,376
610,793
611,1071
612,2185
613,1417
614,2388
615,2011
616,1019
617,1730
618,6
619,2954
620,2744
621,790
622,69
623,2433
624,406
625,1156
626,1758
627,2783
628,1874
629,1921
630,2217
631,1359
632,1037
633,2135
634,2688
635,976
636,1706
637,1420
638,1430
639,2564
640,2379
641,569
642,848
643,943
644,1485
645,1778
646,2540
647,2874
648,1713
649,2937
650,2225
651,2336
652,1361
653,1798
654,2831
655,211
656,2811
657,728
658,1651
659,2621
660,350
661,2882
662,1750
663,2497
664,2012
665,1383
666,1824
667,2477
668,47
669,2856
670,2478
671,1934
672,2171
673,1193
674,1195
675,1030
676,2568
677,2033
678,2492
679,578
680,2278
681,2156
682,2737
683,2591
684,2591
685,98
686,2017
687,1675
688,1368
689,2822
690,2964
691,35
692,1880
693,1834
694,293
695,1350
696,2020
697,324
698,330
699,1090
700,919
701,1255
702,1440
703,2309
704,2802
705,1369
706,1206
707,1154
708,2611
709,781
710,1439
711,2971
712,2502
713,1513
714,1655
715,1932
716,247
717,341
718,337
719,1721
720,1084
721,1387
722,393
723,927
724,2275
725,953
726,1013
727,946
728,796
729,1165
730,1633
731,2627
732,1399
733,1073
734,175
735,2711
736,2788
737,777
738,1956
739,2868
740,2348
741,2926
742,2312
743,1371
744,2077
745,2339
746,1254
747,223
748,2345
749,602
750,1653
751,2057
752,2567
753,1767
754,979
755,331
756,1842
757,204
758,846
759,1213
760,8
761,457
762,853
763,1478
764,2077
765,2728
766,1892
767,713
768,195
769,2744
770,1019
771,2358
772,2830
773,2652
774,1450
775,1556
776,2197
777,2687
778,1770
779,1889
780,582
781,2510
782,2033
783,169
784,2770
785,655
786,756
787,955
788,2987
789,122
790,1864
791,2789
792,2298
793,2013
794,804
795,1120
796,791
797,81
798,1589
799,2150
800,2798
801,598
802,2256
803,1668
804,471
805,1897
806,2299
807,2732
808,1457
809,148
810,59
811,617
812,2267
813,2330
814,1920
815,2182
816,581
817,1333
818,1701
819,1253
820,2257
821,2132
822,1989
823,243
824,918
825,1294
826,453
827,57
828,2641
829,2149
830,2469
831,140
832,1051
833,126
834,1145
835,989
836,1508
837,2505
838,331
839,2089
840,2683
841,2380
842,1514
843,84
844,2386
845,2750
846,2091
847,2167
848,439
849,1888
850,615
851,1055
852,1780
853,558
854,2009
855,426
856,2666
857,2216
858,2448
859,2920
860,383
861,2892
862,1426
863,1422
864,2432
865,1301
866,1765
867,541
868,2221
869,844
870,775
871,2250
872,2608
873,2443
874,2044
875,2738
876,359
877,780
878,1686
879,61
880,1694
881,1874
882,1259
883,2965
884,594
885,1781
886,26
887,2485
888,1870
889,2042
890,1878
891,2134
892,674
893,1901
894,1458
895,1281
896,1220
897,2398
898,2014
899,16
900,246
901,1192
902,2480
903,1517
904,1715
905,607
906,1019
907,602
908,1661
909,1484
910,2569
911,1121
912,1430
913,1460
914,1632
915,199
916,360
917,2189
918,1817
919,99
920,2341
921,766
922,692
923,1594
924,103
925,1707
926,1784
927,1647
928,1921
929,1846
930,1772
931,2413
932,455
933,2895
934,1361
935,611
936,1382
937,671
938,1787
939,1745
940,2788
941,371
942,1683
943,422
944,2671
945,2155
946,1326
947,2656
948,2840
949,132
950,1857
951,1159
952,1994
953,2209
954,1779
955,790
956,61
957,2497
958,239
959,2853
960,569
961,431
962,1928
963,395
964,2090
965,2340
966,2140
967,1357
968,1881
969,439
970,1044
971,2232
972,2956
973,2807
974,585
975,264
976,1227
977,1821
978,2361
979,345
980,1394
981,1276
982,2598
983,2088
984,1378
985,1777
986,1453
987,2031
988,1000
989,595
990,1187
991,2847
992,1798
993,2801
994,710
995,1559
996,2625
997,887
998,58
999,1094
1000,1454
1001,862
1002,2481
1003,681
1004,1773
1005,2501
1006,2656
1007,2533
1008,1750
1009,1769
1010,1342
1011,1048
1012,1955
1013,1202
1014,240
1015,1638
1016,663
1017,2605
1018,2603
1019,2153
1020,1973
1021,1234
1022,1348
1023,2216
1024,715
1025,2538
1026,1215
1027,1329
1028,1593
1029,2388
1030,2537
1031,1148
1032,2334
1033,2439
1034,616
1035,1115
1036,2856
1037,1490
1038,2360
1039,1709
1040,1514
1041,1750
1042,2375
1043,2236
1044,184
1045,158
1046,1864
1047,1046
1048,2391
1049,177
1050,2935
1051,547
1052,2691
1053,1849
1054,2903
1055,2194
1056,1807
1057,2352
1058,1887
1059,1195
1060,406
1061,2117
1062,1706
1063,544
1064,671
1065,210
1066,2993
1067,88
1068,1333
1069,724
1070,679
1071,2562
1072,2656
1073,266
1074,717
1075,106
1076,2082
1077,553
1078,1532
1079,2158
1080,1466
1081,79
1082,1030
1083,2006
1084,719
1085,1748
1086,1425
1087,2090
1088,768
1089,1879
1090,1515
1091,279
1092,1003
1093,2612
1094,1047
1095,1487
1096,2815
1097,515
1098,1848
1099,482
1100,2085
1101,620
1102,2991
1103,1149
1104,2335
1105,2304
1106,33
1107,111
1108,1971
1109,1090
1110,2710
1111,99
1112,2284
1113,1256
1114,220
1115,360
1116,2686
1117,2120
1118,793
1119,1958
1120,877
1121,2772
1122,734
1123,1093
1124,403
1125,1235
1126,2611
1127,800
1128,181
1129,358
1130,2235
1131,1856
1132,2163
1133,1684
1134,513
1135,1099
1136,381
1137,829
1138,1842
1139,1264
1140,1581
1141,1605
1142,2531
1143,1640
1144,843
1145,1930
1146,2434
1147,1013
1148,790
1149,1733
1150,352
1151,713
1152,1088
1153,2447
1154,2211
1155,480
1156,2348
1157,1689
1158,2924
1159,1129
1160,2747
1161,173
1162,2332
1163,1946
1164,234
1165,2275
1166,2951
1167,2106
1168,2021
1169,848
1170,2999
1171,1670
1172,1417
1173,397
1174,2380
1175,1434
1176,1040
1177,1346
1178,674
1179,423
1180,2213
1181,2257
1182,548
1183,1031
1184,1452
1185,2928
1186,1695
1187,2081
1188,1998
1189,1182
1190,2979
1191,324
1192,1166
1193,1080
1194,2288
1195,2991
1196,1815
1197,2152
1198,1
1199,456
1200,403
1201,2964
1202,116
1203,1855
1204,45
1205,2609
1206,438
1207,2226
1208,663
1209,11
1210,1119
1211,1176
1212,2484
1213,308
1214,999
1215,1345
1216,157
1217,2454
1218,2690
1219,98
1220,1320
1221,666
1222,829
1223,540
1224,1986
1225,2693
1226,133
1227,1242
1228,201
1229,2322
1230,1060
1231,2382
1232,1186
1233,1347
1234,1593
1235,2978
1236,1911
1237,2099
1238,1456
1239,2752
1240,57
1241,1711
1242,130
1243,2411
1244,1454
1245,1871
1246,2049
1247,463
1248,894
1249,1088
1250,2558
1251,2265
1252,1680
1253,33
1254,2162
1255,495
1256,835
1257,333
1258,1171
1259,2894
1260,449
1261,174
1262,684
1263,2062
1264,1726
1265,289
1266,2776
1267,340
1268,1346
1269,516
1270,669
1271,248
1272,1644
1273,4
1274,29
1275,27
1276,2360
1277,2105
1278,1704
1279,2647
1280,1160
1281,2324
1282,2936
1283,2090
1284,252
1285,1225
1286,2699
1287,1497
1288,1572
1289,1414
1290,2256
1291,2184
1292,2381
1293,2576
1294,1292
1295,1319
1296,967
1297,1881
1298,2444
1299,124
1300,2837
1301,272
1302,2088
1303,2816
1304,2587
1305,509
1306,1148
1307,46
1308,2502
1309,1438
1310,1330
1311,2873
1312,1720
1313,1782
1314,2744
1315,2857
1316,2059
1317,1242
1318,1421
1319,2996
1320,925
1321,2231
1322,1135
1323,1810
1324,2421
1325,1506
1326,276
1327,2709
1328,2982
1329,396
1330,2307
1331,243
1332,1437
1333,188
1334,2624
1335,1603
1336,1300
1337,2853
1338,752
1339,1342
1340,1131
1341,2145
1342,967
1343,275
1344,110
1345,2597
1346,2873
1347,2930
1348,1710
1349,774
1350,2547
1351,2204
1352,429
1353,4
1354,126
1355,1520
1356,1160
1357,2325
1358,2904
1359,2121
1360,1464
1361,1591
1362,2539
1363,1186
1364,2634
1365,926
1366,2744
1367,836
1368,1565
1369,1775
1370,450
1371,2521
1372,1178
1373,1549
1374,2198
1375,2320
1376,862
1377,1867
1378,576
1379,2703
1380,295
1381,1644
1382,2836
1383,1951
1384,1064
1385,2099
1386,1537
1387,1395
1388,2722
1389,2054
1390,706
1391,2904
1392,257
1393,174
1394,126
1395,1420
1396,825
1397,2817
1398,281
1399,2574
1400,934
1401,372
1402,489
1403,2796
1404,1836
1405,929
1406,2754
1407,515
1408,744
1409,1966
1410,165
1411,2069
1412,2289
1413,2287
1414,1140
1415,161
1416,2059
1417,498
1418,1142
1419,1335
1420,1460
1421,2014
1422,120
1423,1185
1424,338
1425,2588
1426,1850
1427,958
1428,711
1429,2913
1430,2268
1431,292
1432,2978
1433,1926
1434,723
1435,902
1436,1243
1437,2432
1438,676
1439,1211
1440,1867
1441,1293
1442,1211
1443,1960
1444,1491
1445,463
1446,2477
1447,1884
1448,55
1449,735
1450,701
1451,387
1452,2009
1453,2136
1454,1165
1455,474
1456,1565
1457,1793
1458,1848
1459,452
1460,2114
1461,572
1462,745
1463,1672
1464,2282
1465,578
1466,1441
1467,1151
1468,2239
1469,1414
1470,398
1471,918
1472,2275
1473,2790
1474,28
1475,308
1476,2731
1477,673
1478,1516
1479,21
1480,1989
1481,140
1482,1256
1483,1190
1484,1993
1485,2935
1486,2404
1487,2667
1488,2471
1489,445
1490,2541
1491,2018
1492,2272
1493,2685
1494,2960
1495,2035
1496,1539
1497,2205
1498,1101
1499,512
1500,1141
1501,788
1502,2510
1503,1983
1504,1360
1505,1450
1506,380
1507,1987
1508,1286
1509,1574
1510,1257
1511,2589
1512,2374
1513,238
1514,2365
1515,2392
1516,1449
1517,100
1518,2417
1519,1500
1520,1175
1521,1989
1522,2016
1523,437
1524,1130
1525,2037
1526,2252
1527,1301
1528,544
1529,133
1530,2483
1531,2183
1532,1655
1533,2803
1534,1470
1535,1824
1536,1581
1537,2737
1538,639
1539,603
1540,1369
1541,1848
1542,2309
1543,2107
1544,1035
1545,2270
1546,350
1547,2077
1548,2484
1549,1995
1550,594
1551,1547
1552,1435
1553,613
1554,2073
1555,1911
1556,732
1557,2340
1558,2685
1559,1073
1560,2084
1561,10
1562,368
1563,122
1564,1225
1565,2042
1566,1281
1567,2009
1568,2730
1569,2036
1570,524
1571,2488
1572,1294
1573,1911
1574,2769
1575,2812
1576,2391
1577,2319
1578,186
1579,1978
1580,416
1581,2766
1582,342
1583,347
1584,2493
1585,2870
1586,1368
1587,2370
1588,1681
1589,928
1590,2309
1591,2940
1592,2601
1593,1142
1594,367
1595,1842
1596,1699
1597,2035
1598,732
1599,429
1600,1551
1601,2034
1602,1162
1603,2752
1604,263
1605,1901
1606,1621
1607,293
1608,2297
1609,2253
1610,1715
1611,2998
1612,1612
1613,2853
1614,1539
1615,2952
1616,192
1617,1822
1618,745
1619,2490
1620,2
1621,2155
1622,2950
1623,1297
1624,429
1625,2826
1626,939
1627,677
1628,392
1629,998
1630,1308
1631,2052
1632,2434
1633,2417
1634,126
1635,32
1636,2033
1637,2386
1638,1262
1639,1415
1640,818
1641,2109
1642,317
1643,2188
1644,691
1645,2921
1646,341
1647,1625
1648,2367
1649,269
1650,1026
1651,2157
1652,384
1653,450
1654,836
1655,2687
1656,686
1657,497
1658,1380
1659,800
1660,2583
1661,2356
1662,2083
1663,2771
1664,1795
1665,1920
1666,2382
1667,364
1668,961
1669,2809
1670,2499
1671,1074
1672,1098
1673,1329
1674,1677
1675,1125
1676,578
1677,2991
1678,122
1679,1299
1680,1769
1681,224
1682,2709
1683,1282
1684,50
1685,1778
1686,1589
1687,2369
1688,357
1689,2296
1690,348
1691,1381
1692,2464
1693,2846
1694,1969
1695,857
1696,2036
1697,129
1698,921
1699,1675
1700,2273
1701,2197
1702,1534
1703,308
1704,1
1705,1390
1706,306
1707,1093
1708,1958
1709,1706
1710,1028
1711,1740
1712,1932
1713,2276
1714,1425
1715,337
1716,677
1717,546
1718,767
1719,1797
1720,1392
1721,452
1722,2788
1723,2581
1724,332
1725,1402
1726,657
1727,1803
1728,1618
1729,2004
1730,1602
1731,1200
1732,1967
1733,1727
1734,1873
1735,2742
1736,1742
1737,1212
1738,432
1739,1586
1740,1514
1741,1987
1742,2209
1743,345
1744,1035
1745,1416
1746,464
1747,2190
1748,440
1749,2618
1750,1357
1751,371
1752,181
1753,1373
1754,1878
1755,1627
1756,1865
1757,2668
1758,1641
1759,2351
1760,569
1761,1331
1762,2667
1763,2095
1764,184
1765,2064
1766,1944
1767,1158
1768,2764
1769,2194
1770,12
1771,1189
1772,2085
1773,551
1774,2697
1775,2430
1776,891
1777,2479
1778,1481
1779,1475
1780,193
1781,1914
1782,1552
1783,2127
1784,1259
1785,1916
1786,2093
1787,2126
1788,2465
1789,1617
1790,8
1791,1133
1792,2367
1793,2005
1794,1460
1795,2989
1796,1039
1797,2723
1798,2424
1799,1392
1800,380
1801,2635
1802,2238
1803,618
1804,1928
1805,1873
1806,2678
1807,2345
1808,569
1809,1868
1810,1705
1811,1027
1812,1458
1813,2165
1814,1801
1815,1742
1816,2531
1817,2337
1818,1009
1819,625
1820,873
1821,1463
1822,2173
1823,2437
1824,2293
1825,2904
1826,205
1827,2852
1828,834
1829,2743
1830,1479
1831,2945
1832,2380
1833,1433
1834,1962
1835,1735
1836,2768
1837,1661
1838,590
1839,2659
1840,2727
1841,2237
1842,2381
1843,2456
1844,1669
1845,1830
1846,813
1847,1011
1848,2378
1849,1194
1850,1982
1851,2014
1852,2119
1853,2080
1854,2013
1855,2785
1856,680
1857,673
1858,170
1859,2452
1860,1617
1861,2834
1862,326
1863,290
1864,1433
1865,2341
1866,735
1867,1647
1868,82
1869,1403
1870,1705
1871,895
1872,938
1873,1090
1874,1440
1875,196
1876,2293
1877,2442
1878,577
1879,386
1880,676
1881,2355
1882,2407
1883,2494
1884,1421
1885,2287
1886,2964
1887,2876
1888,2323
1889,946
1890,464
1891,1069
1892,1272
1893,1660
1894,923
1895,1858
1896,1518
1897,1200
1898,626
1899,2625
1900,1398
1901,2652
1902,53
1903,1452
1904,2402
1905,2302
1906,1969
1907,961
1908,624
1909,2553
1910,1102
1911,2280
1912,973
1913,2030
1914,885
1915,1334
1916,1909
1917,827
1918,381
1919,2304
1920,1629
1921,226
1922,2747
1923,2108
1924,53
1925,1344
1926,1592
1927,2082
1928,541
1929,1191
1930,2630
1931,1991
1932,752
1933,2268
1934,2282
1935,93
1936,2950
1937,446
1938,790
1939,754
1940,1901
1941,1067
1942,331
1943,2976
1944,2651
1945,2426
1946,827
1947,2575
1948,2046
1949,2434
1950,346
1951,2476
1952,2888
1953,1635
1954,271
1955,1663
1956,2004
1957,2541
1958,697
1959,1969
1960,1518
1961,1186
1962,675
1963,2928
1964,1204
1965,756
1966,8
1967,1320
1968,2135
1969,2053
1970,454
1971,811
1972,1639
1973,1777
1974,2035
1975,2778
1976,1622
1977,609
1978,1064
1979,147
1980,2296
1981,1444
1982,837
1983,2878
1984,805
1985,1560
1986,2349
1987,2184
1988,2893
1989,2041
1990,1875
1991,374
1992,748
1993,1631
1994,377
1995,652
1996,2053
1997,1242
1998,1750
1999,666
2000,2970
2001,1243
2002,2566
2003,1318
2004,469
2005,458
2006,2041
2007,2480
2008,2723
2009,1637
2010,212
2011,2854
2012,627
2013,1123
2014,1359
2015,2850
2016,1499
2017,1259
2018,728
2019,958
2020,452
2021,1400
2022,1123
2023,1118
2024,278
2025,921
2026,2967
2027,2119
2028,1634
2029,1819
2030,1387
2031,1882
2032,1386
2033,2508
2034,241
2035,212
2036,914
2037,2186
2038,1582
2039,232
2040,273
2041,1462
2042,315
2043,237
2044,2861
2045,650
2046,1767
2047,1519
2048,470
2049,2883
2050,577
2051,1016
2052,773
2053,652
2054,2334
2055,900
2056,921
2057,543
2058,265
2059,641
2060,1260
2061,472
2062,2116
2063,2658
2064,635
2065,2656
2066,736
2067,1650
2068,2825
2069,2172
2070,1757
2071,2680
2072,514
2073,2424
2074,2382
2075,2875
2076,720
2077,314
2078,986
2079,2862
2080,52
2081,2953
2082,2678
2083,842
2084,624
2085,2525
2086,2454
2087,1486
2088,1565
2089,2960
2090,1281
2091,549
2092,2457
2093,1772
2094,2733
2095,239
2096,945
2097,130
2098,1409
2099,1898
2100,1755
2101,818
2102,2252
2103,2534
2104,1127
2105,2741
2106,2861
2107,1657
2108,1585
2109,229
2110,828
2111,2932
2112,2222
2113,333
2114,2956
2115,124
2116,1688
2117,1742
2118,2543
2119,1097
2120,1861
2121,780
2122,1132
2123,295
2124,2942
2125,869
2126,352
2127,608
2128,1388
2129,2064
2130,2479
2131,75
2132,2557
2133,630
2134,1768
2135,2120
2136,2188
2137,2717
2138,2508
2139,272
2140,2069
2141,2664
2142,845
2143,1830
2144,1491
2145,2439
2146,569
2147,2066
2148,513
2149,1070
2150,1115
2151,1730
2152,954
2153,600
2154,202
2155,1226
2156,1440
2157,1708
2158,1133
2159,2959
2160,885
2161,2613
2162,2225
2163,1263
2164,2185
2165,1073
2166,2979
2167,225
2168,1433
2169,30
2170,2524
2171,2237
2172,1770
2173,1954
2174,385
2175,2257
2176,601
2177,2840
2178,242
2179,1453
2180,2778
2181,1197
2182,673
2183,902
2184,2330
2185,2761
2186,450
2187,460
2188,1533
2189,780
2190,704
2191,1313
2192,1046
2193,2045
2194,2061
2195,1186
2196,268
2197,646
2198,1583
2199,2980
2200,1515
2201,2495
2202,243
2203,1662
2204,1055
2205,2024
2206,349
2207,2138
2208,924
2209,1569
2210,1265
2211,1207
2212,289
2213,1428
2214,2584
2215,1232
2216,1631
2217,2265
2218,1248
2219,900
2220,2183
2221,2281
2222,214
2223,2324
2224,1809
2225,952
2226,100
2227,1049
2228,1992
2229,83
2230,2472
2231,1524
2232,721
2233,1561
2234,815
2235,2601
2236,1960
2237,259
2238,1673
2239,652
2240,2478
2241,800
2242,1834
2243,1436
2244,2182
2245,1102
2246,1541
2247,2167
2248,465
2249,779
2250,39
2251,2284
2252,1607
2253,2070
2254,68
2255,357
2256,1378
2257,1194
2258,2771
2259,2079
2260,804
2261,2495
2262,1581
2263,481
2264,928
2265,366
2266,2851
2267,1336
2268,1822
2269,255
2270,1438
2271,2222
2272,1399
2273,888
2274,1296
2275,933
2276,1630
2277,672
2278,206
2279,2666
2280,575
2281,2892
2282,611
2283,1014
2284,735
2285,2429
2286,2505
2287,362
2288,2865
2289,50
2290,657
2291,692
2292,1498
2293,1974
2294,2008
2295,1903
2296,2350
2297,812
2298,2281
2299,507
2300,1380
2301,1457
2302,2408
2303,1196
2304,1550
2305,2901
2306,931
2307,2864
2308,2554
2309,542
2310,1237
2311,1517
2312,2576
2313,1974
2314,2429
2315,2554
2316,836
2317,896
2318,2099
2319,2846
2320,706
2321,637
2322,1038
2323,2590
2324,1879
2325,474
2326,19
2327,624
2328,138
2329,2262
2330,2427
2331,2422
2332,1211
2333,843
2334,695
2335,1572
2336,993
2337,1866
2338,309
2339,2504
2340,363
2341,88
2342,1247
2343,748
2344,2381
2345,233
2346,321
2347,1868
2348,1197
2349,2523
2350,1895
2351,279
2352,45
2353,2802
2354,1592
2355,743
2356,1713
2357,487
2358,1348
2359,2056
2360,2489
2361,1176
2362,816
2363,1732
2364,1926
2365,19
2366,2132
2367,640
2368,633
2369,2745
2370,1227
2371,1863
2372,1519
2373,403
2374,1952
2375,327
2376,332
2377,996
2378,27
2379,2364
2380,640
2381,2002
2382,734
2383,378
2384,713
2385,1306
2386,921
2387,2799
2388,1112
2389,327
2390,2306
2391,365
2392,2807
2393,2767
2394,2151
2395,842
2396,1206
2397,2995
2398,1669
2399,334
2400,572
2401,1833
2402,622
2403,2943
2404,1588
2405,424
2406,1983
2407,213
2408,1056
2409,1778
2410,2944
2411,795
2412,2953
2413,555
2414,1758
2415,944
2416,2277
2417,2847
2418,592
2419,256
2420,1114
2421,664
2422,49
2423,812
2424,642
2425,1836
2426,2756
2427,1299
2428,711
2429,776
2430,239
2431,2544
2432,2250
2433,266
2434,2932
2435,61
2436,1550
2437,793
2438,564
2439,1541
2440,924
2441,1310
2442,1636
2443,1259
2444,809
2445,1201
2446,2735
2447,1577
2448,213
2449,2860
2450,84
2451,1783
2452,1480
2453,2824
2454,72
2455,1343
2456,1701
2457,826
2458,2137
2459,2669
2460,930
2461,2588
2462,2813
2463,1647
2464,1850
2465,1892
2466,52
2467,2010
2468,1426
2469,1893
2470,1001
2471,2079
2472,968
2473,1070
2474,852
2475,2306
2476,838
2477,1286
2478,594
2479,1271
2480,2943
2481,1590
2482,173
2483,2045
2484,2083
2485,2901
2486,1470
2487,2610
2488,1920
2489,1738
2490,1598
2491,1099
2492,1969
2493,2463
2494,2031
2495,580
2496,280
2497,2210
2498,2117
2499,896
2500,424
2501,1243
2502,1700
2503,649
2504,2477
2505,1914
2506,548
2507,2699
2508,2989
2509,1950
2510,195
2511,263
2512,1436
2513,2404
2514,1556
2515,1765
2516,2040
2517,39
2518,777
2519,2843
2520,2224
2521,862
2522,1911
2523,692
2524,2260
2525,1696
2526,1440
2527,615
2528,998
2529,101
2530,1377
2531,686
2532,596
2533,2924
2534,2434
2535,2480
2536,1122
2537,2103
2538,959
2539,1489
2540,1868
2541,1802
2542,1408
2543,2181
2544,1992
2545,2650
2546,101
2547,651
2548,2224
2549,2577
2550,1085
2551,2055
2552,2963
2553,1054
2554,2404
2555,2913
2556,1877
2557,1613
2558,1361
2559,2226
2560,286
2561,2161
2562,1174
2563,1232
2564,1429
2565,391
2566,65
2567,2430
2568,2297
2569,2155
2570,2842
2571,1554
2572,2324
2573,1063
2574,1645
2575,908
2576,2418
2577,2164
2578,893
2579,1440
2580,624
2581,2244
2582,2018
2583,1402
2584,2592
2585,891
2586,353
2587,1277
2588,1250
2589,2222
2590,578
2591,2728
2592,328
2593,688
2594,875
2595,2295
2596,163
2597,1839
2598,592
2599,925
2600,496
2601,1310
2602,2837
2603,168
2604,2177
2605,2120
2606,1665
2607,180
2608,545
2609,284
2610,2171
2611,1884
2612,1250
2613,2590
2614,2566
2615,528
2616,450
2617,155
2618,421
2619,2058
2620,1241
2621,2028
2622,1921
2623,2997
2624,1642
2625,76
2626,1839
2627,599
2628,2159
2629,1242
2630,1427
2631,502
2632,746
2633,2338
2634,936
2635,82
2636,594
2637,1295
2638,1179
2639,893
2640,698
2641,1147
