B,F
253,3296
254,8375
255,8837
256,5437
257,3150
258,6388
259,3941
260,3076
261,8540
262,322
263,9678
264,3233
265,9472
266,9984
267,1305
268,9771
269,7027
270,3637
271,7746
272,6539
273,8732
274,7024
275,9271
276,2444
277,4787
278,5958
279,8141
280,5285
281,465
282,3923
283,9046
284,7431
285,4648
286,2308
287,4371
288,803
289,370
290,8662
291,3945
292,1254
293,5625
294,4994
295,8305
296,982
297,3122
298,8662
299,3849
300,1242
301,9072
302,1053
303,9162
304,5633
305,3191
306,359
307,4763
308,6453
309,4147
310,3420
311,6667
312,2677
313,6205
314,530
315,2623
316,6082
317,3487
318,4204
319,6836
320,952
321,6885
322,5737
323,7024
324,5358
325,2318
326,5098
327,2160
328,3295
329,957
330,3416
331,2060
332,5363
333,5011
334,4810
335,9293
336,1897
337,6762
338,7617
339,1414
340,9160
341,9664
342,428
343,35
344,8182
345,6153
346,2936
347,1249
348,2321
349,8852
350,1187
351,5891
352,9084
353,7676
354,3586
355,9604
356,5144
357,7545
358,9667
359,9858
360,7153
361,8930
362,1376
363,7473
364,2337
365,5196
366,4876
367,6473
368,9239
369,5914
370,463
371,1441
372,4382
373,9619
374,6926
375,7889
376,7491
377,9870
378,9799
379,2827
380,746
381,2457
382,2380
383,5392
384,5658
385,1693
386,1605
387,7457
388,3857
389,4599
390,4052
391,8549
392,9187
393,3076
394,5645
395,6621
396,5708
397,5643
398,583
399,5197
400,94
401,5898
402,572
403,216
404,5620
405,6428
406,9180
407,1988
408,3076
409,7605
410,7149
411,6677
412,6781
413,8119
414,4351
415,1185
416,6336
417,6498
418,4980
419,3261
420,8034
421,5845
422,6790
423,1358
424,7133
425,1846
426,4445
427,8119
428,8091
429,1405
430,6905
431,6402
432,8655
433,2811
434,6147
435,9842
436,4018
437,2266
438,6926
439,9394
440,6252
441,6602
442,2152
443,5998
444,256
445,506
446,2692
447,4655
448,8823
449,8704
450,669
451,505
452,3971
453,6633
454,839
455,9744
456,8480
457,5317
458,2288
459,8271
460,2856
461,3933
462,8093
463,3446
464,5900
465,6376
466,4700
467,8134
468,7487
469,5106
470,2371
471,7159
472,1660
473,1778
474,97
475,496
476,5988
477,2305
478,3955
479,9949
480,668
481,7036
482,3025
483,9749
484,5268
485,9893
486,6825
487,7214
488,2211
489,228
490,951
491,7099
492,3260
493,4232
494,3642
495,8564
496,9450
497,6499
498,1997
499,4985
500,3480
501,1822
502,7567
503,7793
504,1349
505,8443
506,1554
507,7259
508,7877
509,2734
510,6689
511,223
512,2143
513,5202
514,2080
515,9245
516,1411
517,5431
518,3911
519,1870
520,8968
521,3148
522,3418
523,2509
524,4288
525,3164
526,6859
527,4489
528,9613
529,7400
530,5028
531,2283
532,1822
533,4738
534,255
535,1117
536,5706
537,6295
538,9568
539,3961
540,3772
541,397
542,4680
543,9016
544,1985
545,8291
546,539
547,3685
548,1637
549,3837
550,941
551,2641
552,1880
553,9525
554,3866
555,5953
556,7232
557,8914
558,8352
559,5814
560,6878
561,7721
562,4595
563,6271
564,3237
565,5825
566,6969
567,3740
568,3974
569,2600
570,3069
571,4112
572,1946
573,5026
574,4920
575,3082
576,4328
577,537
578,255
579,4066
580,8479
581,1551
582,5019
583,7597
584,5785
585,1271
586,2917
587,4970
588,1481
589,3411
590,2153
591,9716
592,6019
593,2749
594,6674
595,6197
596,5587
597,5437
598,5211
599,7581
600,3622
601,4286
602,9398
603,4770
604,2844
605,586
606,7161
607,9837
608,2348
609,8906
610,4956
611,625
612,62
613,6171
614,9186
615,7734
616,4320
617,155
618,5292
619,7432
620,6312
621,301
622,2026
623,2539
624,9553
625,4682
626,3573
627,3067
628,2205
629,6927
630,155
631,1089
632,8607
633,7967
634,6641
635,1201
636,3788
637,8586
638,3041
639,8822
640,1595
641,4070
642,3930
643,4345
644,4881
645,5330
646,9256
647,3126
648,9509
649,4487
650,1221
651,1656
652,4871
653,4015
654,3950
655,7285
656,8265
657,6373
658,5568
659,612
660,2761
661,5131
662,2779
663,3812
664,3885
665,1660
666,3152
667,6749
668,825
669,3415
670,3999
671,7081
672,2651
673,264
674,6715
675,5151
676,2233
677,8978
678,7984
679,5577
680,2554
681,5080
682,8795
683,2496
684,2689
685,9581
686,9814
687,1243
688,8694
689,2985
690,4995
691,6345
692,6013
693,6678
694,6607
695,2480
696,1452
697,8225
698,7066
699,8241
700,9816
701,6892
702,8169
703,4673
704,8710
705,3122
706,8175
707,3215
708,7682
709,5838
710,3144
711,4591
712,8798
713,3694
714,6724
715,7791
716,6541
717,8664
718,8235
719,954
720,2120
721,8064
722,6475
723,5345
724,7331
725,7881
726,4607
727,6180
728,3047
729,214
730,4920
731,3243
732,5765
733,2874
734,4445
735,7461
736,9925
737,1945
738,9963
739,4865
740,8163
741,3752
742,9758
743,7019
744,7728
745,2313
746,2487
747,9867
748,3725
749,8148
750,3010
751,9430
752,5764
753,2533
754,4713
755,2988
756,4562
757,5660
758,5858
759,4567
760,8365
761,4040
762,7356
763,3839
764,7813
765,1267
766,7763
767,7893
768,9076
769,4264
770,1099
771,6865
772,838
773,1818
774,1798
775,7682
776,1250
777,8914
778,6254
779,5308
780,819
781,457
782,6057
783,1492
784,9416
785,6213
786,598
787,2434
788,5361
789,7243
790,6829
791,8712
792,6082
793,8341
794,281
795,1538
796,2749
797,9748
798,3253
799,991
800,7160
801,7059
802,1814
803,8634
804,5870
805,4579
806,2439
807,4046
808,8865
809,7265
810,3741
811,6205
812,8131
813,213
814,5557
815,1556
816,6459
817,6110
818,1759
819,1885
820,9893
821,9011
822,4314
823,2656
824,3385
825,6134
826,2876
827,8566
828,1730
829,2773
830,7872
831,4992
832,8229
833,4212
834,8736
835,544
836,8852
837,819
838,7672
839,1311
840,9507
841,3124
842,8609
843,8303
844,6998
845,9383
846,2287
847,1117
848,1593
849,8962
850,6128
851,9444
852,2414
853,6297
854,7571
855,9490
856,1018
857,6047
858,2087
859,1079
860,9116
861,43
862,8292
863,2474
864,2128
865,1352
866,8881
867,714
868,5174
869,5836
870,2081
871,7766
872,9514
873,3818
874,838
875,2295
876,8935
877,3897
878,5901
879,2619
880,7246
881,4682
882,6249
883,1711
884,4084
885,5559
886,4209
887,9950
888,3680
889,5722
890,2218
891,7929
892,6488
893,4301
894,7897
895,5212
896,3782
897,471
898,4105
899,3502
900,7983
901,2620
902,1529
903,6919
904,7108
905,2801
906,2303
907,7074
908,5131
909,4935
910,1634
911,8853
912,6702
913,3131
914,603
915,533
916,6236
917,8884
918,2899
919,6243
920,3185
921,1712
922,4034
923,6043
924,2993
925,2628
926,5172
927,1058
928,2033
929,6383
930,2430
931,2428
932,6791
933,7235
934,6283
935,6006
936,7071
937,1699
938,5197
939,2024
940,687
941,3024
942,4592
943,4366
944,6056
945,9945
946,4101
947,1312
948,14
949,6611
950,8475
951,5564
952,3438
953,2066
954,9711
955,7289
956,9645
957,6080
958,5596
959,7074
960,7937
961,3186
962,6414
963,9552
964,3891
965,912
966,3527
967,8596
968,6378
969,1678
970,6747
971,8408
972,8656
973,9459
974,3254
975,3942
976,9703
977,9812
978,7753
979,8966
980,2341
981,7402
982,564
983,44
984,5772
985,5195
986,5550
987,9270
988,5175
989,7887
990,1785
991,3276
992,791
993,6073
994,5477
995,834
996,7310
997,1678
998,2761
999,9420
1000,3571
1001,7238
1002,4396
1003,4513
1004,128
1005,9716
1006,1435
1007,3214
1008,1175
1009,2047
1010,8321
1011,5377
1012,3302
1013,454
1014,9488
1015,5695
1016,3461
1017,6514
1018,8829
1019,1574
1020,703
1021,1157
1022,7480
1023,6632
1024,3755
1025,4371
1026,9889
1027,9576
1028,6734
1029,8342
1030,2606
1031,2202
1032,9452
1033,3797
1034,9553
1035,1053
1036,8386
1037,4629
1038,3759
1039,378
1040,2650
1041,7574
1042,582
1043,5122
1044,552
1045,1225
1046,6150
1047,4404
1048,7863
1049,4137
1050,9364
1051,8705
1052,6918
1053,5109
1054,3455
1055,2517
1056,3117
1057,9900
1058,875
1059,8215
1060,2742
1061,8551
1062,7920
1063,6865
1064,6346
1065,2726
1066,8095
1067,661
1068,5037
1069,7974
1070,2024
1071,43
1072,1692
1073,7840
1074,2803
1075,7159
1076,830
1077,4239
1078,5376
1079,9535
1080,5398
1081,679
1082,2928
1083,1870
1084,7098
1085,5297
1086,1300
1087,6937
1088,3707
1089,7161
1090,9707
1091,9984
1092,7466
1093,8804
1094,9651
1095,2477
1096,4645
1097,7705
1098,5656
1099,1397
1100,2538
1101,9030
1102,4276
1103,9537
1104,5118
1105,2133
1106,8856
1107,13
1108,2927
1109,9894
1110,7528
1111,1561
1112,6975
1113,3092
1114,5775
1115,171
1116,7733
1117,2850
1118,8490
1119,7209
1120,1774
1121,1412
1122,1551
1123,9786
1124,7529
1125,2383
1126,118
1127,9135
1128,1321
1129,5788
1130,4281
1131,1882
1132,1376
1133,668
1134,4485
1135,1666
1136,3280
1137,8144
1138,8926
1139,3258
1140,4936
1141,9515
1142,9281
1143,9697
1144,1788
1145,8145
1146,1805
1147,4144
1148,5426
1149,3092
1150,589
1151,3387
1152,5460
1153,3141
1154,2303
1155,2632
1156,2641
1157,899
1158,2477
1159,4722
1160,3850
1161,7074
1162,7230
1163,2468
1164,7436
1165,9828
1166,8047
1167,3463
1168,5041
1169,7294
1170,8366
1171,3623
1172,8915
1173,5656
1174,7889
1175,1514
1176,5205
1177,4463
1178,9409
1179,3241
1180,6539
1181,6849
1182,4468
1183,2018
1184,439
1185,6452
1186,2073
1187,3434
1188,7656
1189,3597
1190,1249
1191,9720
1192,6597
1193,6767
1194,1042
1195,3398
1196,9676
1197,5488
1198,261
1199,5543
1200,6275
1201,3659
1202,7985
1203,390
1204,7768
1205,1907
1206,6723
1207,5995
1208,5489
1209,5213
1210,6199
1211,5111
1212,3983
1213,2352
1214,5289
1215,2872
1216,9042
1217,7777
1218,9617
1219,5792
1220,3278
1221,4511
1222,5794
1223,3469
1224,8945
1225,5661
1226,4817
1227,896
1228,6924
1229,5134
1230,5853
1231,1180
1232,3884
1233,3659
1234,8500
1235,4571
1236,4008
1237,3602
1238,6851
1239,2827
1240,1588
1241,5009
1242,1595
1243,3572
1244,9809
1245,6278
1246,3141
1247,2097
1248,5718
1249,9274
1250,3957
1251,7207
1252,5396
1253,1276
1254,1256
1255,1609
1256,1893
1257,6354
1258,6854
1259,2620
1260,1665
1261,3875
1262,605
1263,4335
1264,7179
1265,219
1266,5613
1267,3817
1268,2400
1269,7799
1270,6793
1271,4197
1272,6992
1273,3479
1274,4969
1275,6132
1276,8717
1277,1477
1278,6554
1279,2091
1280,6997
1281,9788
1282,3167
1283,436
1284,5010
1285,7798
1286,9344
1287,9068
1288,3285
1289,6504
1290,9946
1291,5636
1292,2672
1293,7074
1294,5759
1295,7700
1296,7271
1297,9174
1298,5544
1299,2114
1300,7403
1301,9743
1302,6574
1303,1577
1304,4889
1305,7151
1306,4024
1307,8709
1308,7938
1309,409
1310,4713
1311,3745
1312,7379
1313,6646
1314,1786
1315,7144
1316,8997
1317,6664
1318,8187
1319,6214
1320,3704
1321,9402
1322,6382
1323,8895
1324,4762
1325,1888
1326,8379
1327,3345
1328,4053
1329,5147
1330,9694
1331,1433
1332,4364
1333,9821
1334,8042
1335,2921
1336,9547
1337,5535
1338,6791
1339,4920
1340,3580
1341,9786
1342,9155
1343,478
1344,6253
1345,8725
1346,1049
1347,2376
1348,445
1349,3181
1350,9667
1351,9871
1352,67
1353,8814
1354,4059
1355,6915
1356,6430
1357,6136
1358,3177
1359,8303
1360,8776
1361,5386
1362,8234
1363,2717
1364,3651
1365,8266
1366,1804
1367,4727
1368,9239
1369,843
1370,5843
1371,9939
1372,522
1373,1291
1374,9461
1375,2348
1376,207
1377,2087
1378,2317
1379,9568
1380,7805
1381,4987
1382,1544
1383,5731
1384,1935
1385,6747
1386,8838
1387,8792
1388,2299
1389,4376
1390,5606
1391,3853
1392,7801
1393,5136
1394,1370
1395,5061
1396,7184
1397,4658
1398,477
1399,7157
1400,1957
1401,4809
1402,8331
1403,6485
1404,3877
1405,4738
1406,6235
1407,1483
1408,8226
1409,8282
1410,541
1411,4464
1412,7007
1413,4943
1414,2427
1415,721
1416,8097
1417,6292
1418,6709
1419,1918
1420,4996
1421,5591
1422,9817
1423,6732
1424,2405
1425,9729
1426,2977
1427,2845
1428,1123
1429,3446
1430,3858
1431,3493
1432,4118
1433,886
1434,586
1435,9416
1436,3613
1437,7578
1438,3155
1439,5859
1440,7770
1441,5507
1442,6671
1443,5009
1444,9913
1445,109
1446,5772
1447,8098
1448,5914
1449,9772
1450,2581
1451,6270
1452,9476
1453,3726
1454,7488
1455,3780
1456,3692
1457,8634
1458,7380
1459,641
1460,6659
1461,6444
1462,869
1463,9785
1464,340
1465,2788
1466,8778
1467,9086
1468,8699
1469,7848
1470,1685
1471,7236
1472,2511
1473,7728
1474,2192
1475,9063
1476,6572
1477,7521
1478,5476
1479,3830
1480,785
1481,2233
1482,7259
1483,6350
1484,6586
1485,820
1486,3934
1487,4813
1488,5549
1489,9218
1490,2843
1491,9027
1492,1693
1493,8596
1494,3436
1495,7434
1496,1551
1497,8562
1498,3272
1499,4987
1500,9978
1501,131
1502,3067
1503,1745
1504,6495
1505,1040
1506,3228
1507,2248
1508,5832
1509,7803
1510,8061
1511,8670
1512,2536
1513,7423
1514,8358
1515,5140
1516,6670
1517,3103
1518,4268
1519,5266
1520,7068
1521,5766
1522,9788
1523,5539
1524,6243
1525,3167
1526,3201
1527,9911
1528,6664
1529,358
1530,2466
1531,9729
1532,4884
1533,2621
1534,3320
1535,7338
1536,6720
1537,3982
1538,5430
1539,5911
1540,2251
1541,2070
1542,3870
1543,3166
1544,9536
1545,9044
1546,2174
1547,1152
1548,2325
1549,522
1550,6751
1551,3799
1552,5937
1553,5907
1554,493
1555,4999
1556,286
1557,6033
1558,5291
1559,8942
1560,7719
1561,3199
1562,2888
1563,9999
1564,6541
1565,6977
1566,4145
1567,3021
1568,9784
1569,7072
1570,3669
1571,4434
1572,4022
1573,5740
1574,2509
1575,93
1576,8777
1577,2326
1578,5008
1579,6450
1580,9610
1581,1793
1582,7223
1583,3213
1584,4656
1585,1900
1586,6304
1587,5094
1588,7514
1589,5816
1590,34
1591,7992
1592,4987
1593,6401
1594,6435
1595,3288
1596,9140
1597,4174
1598,5271
1599,5022
1600,24
1601,6543
1602,1071
1603,7234
1604,3595
1605,6203
1606,4871
1607,8769
1608,2581
1609,5443
1610,9419
1611,5343
1612,6459
1613,5565
1614,5091
1615,5693
1616,9704
1617,9764
1618,5139
1619,9180
1620,676
1621,9648
1622,6355
1623,6952
1624,2786
1625,8374
1626,246
1627,3079
1628,7943
1629,1183
1630,382
1631,9314
1632,1409
1633,7772
1634,6202
1635,7066
1636,1468
1637,7014
1638,9121
1639,981
1640,4817
1641,4017
1642,3210
1643,6798
1644,1508
1645,2213
1646,6238
1647,3121
1648,6423
1649,4983
1650,1474
1651,744
1652,5466
1653,9258
1654,6127
1655,4494
1656,5852
1657,1368
1658,960
1659,2473
1660,4386
1661,7235
1662,596
1663,8116
1664,1904
1665,5598
1666,6690
1667,2028
1668,3893
1669,9125
1670,2212
1671,509
1672,7269
1673,777
1674,2155
1675,7474
1676,5884
1677,8234
1678,6299
1679,8034
1680,8174
1681,6508
1682,2548
1683,2829
1684,2766
1685,1281
1686,5662
1687,3802
1688,7581
1689,5742
1690,1517
1691,8885
1692,5304
1693,2704
1694,6159
1695,7005
1696,8852
1697,8074
1698,5974
1699,4546
1700,184
1701,2251
1702,2505
1703,9626
1704,7041
1705,5742
1706,7091
1707,4238
1708,5275
1709,2344
1710,9865
1711,7034
1712,7463
1713,2394
1714,3661
1715,6686
1716,5836
1717,7330
1718,6838
1719,7685
1720,1017
1721,4939
1722,1428
1723,5778
1724,392
1725,3284
1726,1720
1727,5386
1728,3875
1729,4421
1730,5132
1731,8649
1732,2731
1733,7633
1734,3069
1735,5225
1736,5090
1737,9122
1738,9709
1739,3631
1740,8931
1741,508
1742,308
1743,6745
1744,9877
1745,5802
1746,4894
1747,785
1748,4703
1749,1679
1750,3006
1751,7359
1752,4393
1753,1221
1754,6728
1755,9956
1756,8982
1757,1717
1758,5220
1759,6580
1760,1972
1761,1140
1762,4469
1763,5701
1764,4436
1765,3594
1766,1715
1767,2201
1768,429
1769,9823
1770,2501
1771,2210
1772,7418
1773,6787
1774,6247
1775,3978
1776,5911
1777,3930
1778,7082
1779,4458
1780,2643
1781,7778
1782,5928
1783,6196
1784,6707
1785,9267
1786,2571
1787,4801
1788,1831
1789,6257
1790,5722
1791,6533
1792,6383
1793,1010
1794,9534
1795,7338
1796,9628
1797,8129
1798,3022
1799,4272
1800,884
1801,9260
1802,7814
1803,3772
1804,5429
1805,9177
1806,2222
1807,2175
1808,7854
1809,9609
1810,1507
1811,5884
1812,1447
1813,8038
1814,7040
1815,2893
1816,6592
1817,6973
1818,8630
1819,1026
1820,6519
1821,3975
1822,1395
1823,5294
1824,3737
1825,8688
1826,8272
1827,8153
1828,9419
1829,2291
1830,5857
1831,9290
1832,2280
1833,7778
1834,2752
1835,9979
1836,7093
1837,7026
1838,2495
1839,6929
1840,8627
1841,6449
1842,6072
1843,8688
1844,6444
1845,135
1846,923
1847,3249
1848,6572
1849,5898
1850,3269
1851,421
1852,1635
1853,5410
1854,9511
1855,2744
1856,7992
1857,3308
1858,126
1859,8120
1860,2834
1861,439
1862,1546
1863,6804
1864,3513
1865,9031
1866,8520
1867,7998
1868,8279
1869,7406
1870,995
1871,5779
1872,6292
1873,8153
1874,4160
1875,8074
1876,2933
1877,7357
1878,8309
1879,2446
1880,4759
1881,9790
1882,3965
1883,3578
1884,5045
1885,8058
1886,9269
1887,2964
1888,2483
1889,353
1890,9210
1891,7143
1892,3421
1893,1979
1894,1776
1895,3627
1896,6273
1897,4287
1898,5182
1899,2144
1900,1813
1901,6515
1902,1254
1903,7518
1904,2162
1905,797
1906,9865
1907,6764
1908,8440
1909,7448
1910,9910
1911,4905
1912,6465
1913,570
1914,7812
1915,6444
1916,6374
1917,6637
1918,7328
1919,1196
1920,5337
1921,3975
1922,1030
1923,9249
1924,6827
1925,3536
1926,3074
1927,6992
1928,4237
1929,4200
1930,4002
1931,9868
1932,2306
1933,9124
1934,7313
1935,3670
1936,7700
1937,9857
1938,5258
1939,1126
1940,5346
1941,2644
1942,1030
1943,9388
1944,6238
1945,7659
1946,4225
1947,5392
1948,8361
1949,3286
1950,3836
1951,6419
1952,9006
1953,5601
1954,2979
1955,9049
1956,3778
1957,3527
1958,7267
1959,3640
1960,5551
1961,3866
1962,2432
1963,4892
1964,475
1965,8030
1966,7240
1967,8824
1968,130
1969,3770
1970,7044
1971,1124
1972,991
1973,488
1974,3002
1975,6596
1976,8652
1977,4840
1978,3635
1979,9121
1980,8149
1981,2383
1982,4100
1983,1797
1984,7874
1985,5425
1986,805
1987,7865
1988,4482
1989,6781
1990,7451
1991,7576
1992,284
1993,3151
1994,8750
1995,2558
1996,352
1997,926
1998,5166
1999,5629
2000,5008
2001,3596
2002,2262
2003,3001
2004,4612
2005,2861
2006,5931
2007,7329
2008,3425
2009,6305
2010,8221
2011,9094
2012,536
2013,173
2014,7958
2015,5847
2016,1335
2017,330
2018,2256
2019,273
2020,7016
2021,221
2022,5991
2023,3314
2024,4870
2025,1991
2026,2065
2027,3008
2028,8057
2029,8806
2030,3184
2031,2389
2032,6216
2033,802
2034,7571
2035,8609
2036,5507
2037,4371
2038,2540
2039,7796
2040,7450
2041,1765
2042,276
2043,4506
2044,8202
2045,6901
2046,1570
2047,5244
2048,9590
2049,8135
2050,4640
2051,2906
2052,9516
2053,3263
2054,503
2055,6719
2056,2031
2057,7177
2058,9350
2059,6500
2060,3035
2061,8795
2062,4840
2063,5635
2064,1945
2065,5367
2066,1977
2067,4781
2068,6502
2069,5200
2070,2251
2071,2148
2072,3847
2073,770
2074,7072
2075,6532
2076,9486
2077,1073
2078,2580
2079,7168
2080,2868
2081,3960
2082,2648
2083,9687
2084,3155
2085,7229
2086,158
2087,8573
2088,3046
2089,71
2090,7332
2091,4803
2092,8578
2093,3028
2094,5116
2095,2673
2096,9395
2097,5901
2098,9126
2099,1893
2100,6664
2101,4948
2102,8472
2103,7095
2104,3769
2105,9445
2106,3919
2107,4058
2108,9701
2109,4389
2110,6166
2111,4470
2112,1656
2113,1076
2114,3813
2115,8001
2116,7960
2117,5927
2118,5423
2119,4040
2120,3196
2121,3171
2122,3829
2123,9418
2124,2882
2125,24
2126,1014
2127,8064
2128,3725
2129,770
2130,8192
2131,1825
2132,5651
2133,5957
2134,8905
2135,3419
2136,8567
2137,9268
2138,405
2139,9136
2140,8671
2141,1825
2142,3510
2143,8587
2144,1043
2145,6606
2146,7527
2147,4210
2148,7446
2149,7422
2150,9898
2151,869
2152,5201
2153,1454
2154,8590
2155,3522
2156,4260
2157,4772
2158,9244
2159,9157
2160,9239
2161,5683
2162,9132
2163,6915
2164,9891
2165,1538
2166,4249
2167,349
2168,9088
2169,7372
2170,5392
2171,9876
2172,4445
2173,4059
2174,8443
2175,3294
2176,3876
2177,328
2178,8947
2179,4786
2180,8521
2181,2881
2182,6512
2183,6291
2184,4739
2185,6828
2186,8829
2187,5195
2188,4660
2189,1775
2190,7836
2191,4236
2192,2020
2193,2893
2194,6230
2195,4749
2196,9268
2197,5493
2198,7604
2199,1640
2200,4945
2201,593
2202,6723
2203,801
2204,9238
2205,4579
2206,7139
2207,1219
2208,3176
2209,7150
2210,86
2211,4113
2212,336
2213,2760
2214,2296
2215,1617
2216,1986
2217,7552
2218,2921
2219,6728
2220,5803
2221,2418
2222,5848
2223,3458
2224,6050
2225,3465
2226,4430
2227,850
2228,6916
2229,7778
2230,9576
2231,5587
2232,3789
2233,4057
2234,5884
2235,7879
2236,3085
2237,6152
2238,5146
2239,3356
2240,9535
2241,429
2242,602
2243,4236
2244,3550
2245,8031
2246,3328
2247,8684
2248,7955
2249,4021
2250,7592
2251,6028
2252,8948
2253,8079
2254,4573
2255,6249
2256,7515
2257,5187
2258,3074
2259,4793
2260,1728
2261,9912
2262,3072
2263,2684
2264,4977
2265,5014
2266,6892
2267,7158
2268,474
2269,7247
2270,5859
2271,7754
2272,7357
2273,2232
2274,8914
2275,3032
2276,8964
2277,7651
2278,2267
2279,4783
2280,8048
2281,6412
2282,6600
2283,5979
2284,6572
2285,1083
2286,5279
2287,6118
2288,7475
2289,7019
2290,6510
2291,879
2292,578
2293,659
2294,8391
2295,7138
2296,1023
2297,1668
2298,1627
2299,8017
2300,5654
2301,7069
2302,721
2303,2725
2304,5892
2305,1072
2306,5052
2307,4509
2308,715
2309,8951
2310,1561
2311,3472
2312,2563
2313,1072
2314,6663
2315,9026
2316,8027
2317,8543
2318,5164
2319,9240
2320,4557
2321,186
2322,4551
2323,3680
2324,7743
2325,954
2326,3697
2327,2583
2328,5652
2329,5942
2330,2791
2331,6491
2332,6343
2333,1923
2334,5974
2335,9121
2336,5198
2337,760
2338,873
2339,8200
2340,7261
2341,4729
2342,8334
2343,9377
2344,2400
2345,6047
2346,4728
2347,1083
2348,8175
2349,2066
2350,5596
2351,9648
2352,3313
2353,5543
2354,8644
2355,4599
2356,8087
2357,1348
2358,8977
2359,7502
2360,8107
2361,9344
2362,4702
2363,6456
2364,3591
2365,9102
2366,5876
2367,3057
2368,644
2369,7556
2370,4076
2371,1995
2372,2820
2373,9214
2374,9982
2375,4119
2376,3909
2377,6108
2378,772
2379,1112
2380,6972
2381,5958
2382,6556
2383,3420
2384,3001
2385,5219
2386,424
2387,6909
2388,7094
2389,6731
2390,6423
2391,8687
2392,5268
2393,1347
2394,7899
2395,7852
2396,8809
2397,5885
2398,9651
2399,3021
2400,5308
2401,1763
2402,1126
2403,4489
2404,8770
2405,6771
2406,7613
2407,7101
2408,5675
2409,6514
2410,3406
2411,9119
2412,3640
2413,9924
2414,180
2415,9050
2416,8977
2417,8382
2418,4738
2419,8115
2420,8996
2421,3507
2422,5517
2423,9520
2424,2410
2425,3515
2426,6949
2427,6590
2428,867
2429,5686
2430,7580
2431,9254
2432,9040
2433,7561
2434,9714
2435,6282
2436,5369
2437,7708
2438,1040
2439,2396
2440,473
2441,432
2442,5642
2443,2345
2444,3043
2445,8621
2446,1994
2447,2551
2448,3559
2449,1992
2450,7493
2451,7897
2452,3880
2453,4394
2454,4247
2455,9531
2456,7960
2457,5654
2458,7756
2459,7517
2460,482
2461,6314
2462,3080
2463,2628
2464,7032
2465,2061
2466,4814
2467,5842
2468,5261
2469,1478
2470,9463
2471,5611
2472,3264
2473,1008
2474,3067
2475,7579
2476,4013
2477,9576
2478,5037
2479,8044
2480,2319
2481,8853
2482,465
2483,3820
2484,7460
2485,8648
2486,9845
2487,7784
2488,7595
2489,6410
2490,4218
2491,3312
2492,9238
2493,9096
2494,4409
2495,8152
2496,6135
2497,4847
2498,2958
2499,802
2500,9832
2501,3637
2502,1977
2503,6125
2504,6452
2505,2653
2506,6813
2507,2915
2508,982
2509,4866
2510,2866
2511,3527
2512,3526
2513,1394
2514,7647
2515,3908
2516,7144
2517,9336
2518,2859
2519,2067
2520,773
2521,263
2522,9897
2523,6065
2524,3867
2525,8333
2526,5804
2527,6210
2528,6464
2529,306
2530,2081
2531,3550
2532,8446
2533,5653
2534,8106
2535,4612
