Y,onpromotion,htype,locale,locale_name,transferred,f2,date,dcoilwtico,f3,tid,transactions,f5,store_nbr,city,state,stype,cluster,f4,item_nbr,family,class,perishable,f1,unit_sales
-6345.141640302679,0,3,3,20,0,7,1038,1,481,49542,2,786,6,18,12,3,7,926,1217,28,162,1,162,19.548
-10798.76640311624,0,4,2,15,1,971,1609,2,895,79604,6,770,48,18,12,0,10,967,1437,5,184,1,428,5.0
-661.2489182395607,0,4,2,15,1,961,1341,1,26,65526,3,163,23,8,6,3,0,166,2143,7,213,0,51,2.0
-754.2369869403137,2,4,2,15,1,200,149,6,65,6841,1,762,11,10,3,2,14,802,319,13,86,0,613,5.0
-4450.607753920012,0,4,2,15,1,50,1168,0,297,56419,4,159,45,18,12,0,13,282,3197,12,0,0,171,5.0
-7021.659934245017,2,4,2,15,1,841,453,8,774,21090,6,353,45,18,12,0,13,282,2130,12,18,0,541,24.0
1061.9754844669342,2,4,2,15,1,740,33,7,256,1493,3,513,23,8,6,3,0,166,1516,3,69,0,654,3.0
-2274.590373121865,0,4,2,15,1,899,1653,2,780,81933,2,582,1,18,12,3,12,75,2684,21,330,0,920,1.0
3140.5516342176925,1,4,2,15,1,725,1532,3,375,75476,7,983,44,18,12,0,10,295,1717,11,146,0,59,6.0
-4786.94921590204,1,4,2,15,1,194,1245,3,602,60500,4,774,47,18,12,0,13,639,2509,7,228,0,188,6.0
-5608.404697707732,2,3,0,11,0,287,314,7,485,14596,1,137,38,3,0,1,5,243,1076,3,71,0,691,5.0
-13107.00006356496,0,2,1,4,0,830,1217,1,761,59005,2,14,36,3,0,3,1,565,2598,3,67,0,90,1.0
2408.6413843400023,1,4,2,15,1,203,1286,1,16,62675,3,709,49,0,15,0,13,496,3024,30,118,1,807,7.141
-4859.191210451754,2,4,2,15,1,333,119,6,366,5457,1,195,32,17,9,2,2,326,97,7,227,0,569,9.0
-8239.179445744645,0,3,1,4,0,343,1374,3,537,67204,1,560,18,7,1,2,14,838,1049,7,227,0,390,1.0
-3099.560161080694,0,4,2,15,1,858,1494,4,364,73461,7,448,43,18,12,0,4,413,492,9,175,1,715,3.0
-13543.59366997793,1,4,2,15,1,564,624,6,542,29091,1,90,35,11,6,4,9,959,476,5,186,1,873,3.0
328.90766946671374,0,4,2,15,1,877,1172,0,360,56609,3,556,23,8,6,3,0,166,488,9,172,1,509,1.0
283.47901916556566,0,4,2,15,1,125,1162,0,147,56100,6,434,44,18,12,0,10,295,2798,30,106,1,894,4.0
-5541.180117314294,0,4,2,15,1,624,632,7,681,29458,1,379,14,9,7,2,14,262,347,12,19,0,633,1.0
-9142.11560638343,0,4,2,15,1,182,1613,3,326,79807,1,398,35,11,6,4,9,959,418,12,37,0,263,1.0
-12049.842597233936,1,4,2,15,1,483,1423,2,796,69724,1,415,11,10,3,2,14,802,1162,25,246,0,312,22.0
-6797.177120331393,0,4,2,15,1,488,910,5,681,42926,5,500,2,18,12,3,7,508,518,12,2,0,601,1.0
365.3248237665821,0,4,2,15,1,760,1482,4,323,72827,4,655,45,18,12,0,13,282,464,12,29,0,278,1.0
-11984.73431189476,2,4,2,15,1,113,176,7,613,8110,1,257,11,10,3,2,14,802,1222,10,164,1,101,5.0
-11985.233983374916,0,4,2,15,1,971,1609,2,895,79596,1,163,40,13,4,3,3,476,455,7,222,0,517,4.0
-3723.818212423697,0,0,1,4,0,49,1084,0,443,52019,9,372,45,18,12,0,13,282,107,12,46,0,344,1.0
-8210.260800322865,0,4,2,15,1,921,1045,1,788,49943,2,500,36,3,0,3,1,565,599,7,228,0,827,1.0
-7550.799737947143,2,3,0,9,0,490,270,8,534,12505,1,549,11,10,3,2,14,802,567,8,125,1,804,3.0
6387.894724212243,2,4,2,15,1,479,442,8,151,20568,1,785,39,13,4,2,2,57,1174,12,21,0,910,8.0
1358.0738765113338,2,3,1,4,0,565,42,7,514,1920,2,877,38,3,0,1,5,243,397,12,26,0,345,5.0
-5012.384627424844,0,4,2,15,1,571,845,5,157,39730,1,553,28,8,6,4,9,879,638,12,21,0,300,8.0
-7834.582723469257,1,4,2,15,1,720,1139,0,241,54837,3,460,0,18,12,3,12,993,2970,30,107,1,427,15.275
4284.462172356076,0,3,1,4,0,360,670,5,61,31304,1,886,40,13,4,3,3,476,602,12,42,0,971,6.0
2668.736463069793,0,4,2,15,1,728,1234,3,640,59871,3,956,1,18,12,3,12,75,107,12,46,0,344,11.0
-10503.382365995498,0,4,2,15,1,30,613,6,606,28582,1,466,53,5,10,2,2,955,89,7,230,0,971,13.0
-2263.633051866237,0,1,1,4,0,767,729,4,267,34067,2,321,14,9,7,2,14,262,1779,10,164,1,344,68.0
-15647.0846060868,0,4,2,15,1,700,1442,4,984,70755,1,218,41,3,0,3,1,797,1367,12,49,0,460,1.0
-11165.503894765514,0,3,0,1,0,303,567,9,948,26391,3,442,33,8,6,1,5,644,2039,5,184,1,862,5.0
-5916.257752002857,0,4,2,15,1,585,1674,3,418,83111,8,122,45,18,12,0,13,282,2743,30,109,1,229,46.244
357.6969771571112,1,4,2,15,1,724,1413,2,382,69206,0,620,12,10,3,2,14,228,3272,3,76,0,697,7.0
1057.4697183771814,0,4,2,15,1,501,827,4,27,38830,4,630,7,18,12,3,7,470,984,11,149,0,160,3.0
-8018.697829402079,2,4,2,15,1,378,293,8,775,13594,1,608,22,0,15,3,8,663,714,24,156,1,730,3.793
-12647.707148826648,2,4,2,15,1,648,213,9,868,9823,3,598,8,18,12,1,5,960,1497,12,26,0,107,42.0
-2456.9083613660987,2,4,2,15,1,771,286,8,639,13286,4,630,45,18,12,0,13,282,343,25,243,0,885,24.0
-12073.072309650232,0,4,2,15,1,536,1021,1,391,48683,4,143,48,18,12,0,10,967,1797,12,14,0,474,2.0
4707.279590103037,0,4,2,15,1,551,1539,2,242,75840,1,820,37,12,8,3,3,115,3865,12,9,0,331,2.0
-6493.639993247472,0,4,2,15,1,318,1159,0,894,55936,2,341,39,13,4,2,2,57,1603,3,70,0,139,1.0
-1962.3205523417496,0,4,2,15,1,727,668,6,90,31210,8,290,43,18,12,0,4,413,664,12,42,0,686,31.0
-706.3164364403101,0,4,2,15,1,793,1273,3,460,61980,6,819,43,18,12,0,4,413,1358,5,182,1,88,3.0
-5890.2156853183205,0,4,2,15,1,630,601,7,547,28015,4,499,49,0,15,0,13,496,1089,25,246,0,58,1.0
-2221.3425749601283,0,3,3,10,0,676,539,9,325,25076,0,166,34,15,6,2,2,100,245,7,223,0,795,8.0
-455.7557191617707,0,4,2,15,1,554,972,2,89,46123,4,503,49,0,15,0,13,496,745,7,223,0,871,2.0
-6031.333525079168,0,4,2,15,1,646,1396,2,853,68358,6,323,46,18,12,0,13,65,2477,18,240,0,447,8.0
-555.2105442266939,0,3,0,12,0,284,1196,1,114,57889,3,702,33,8,6,1,5,644,1278,12,28,0,379,2.0
2568.2877501660014,1,4,2,15,1,909,1415,2,125,69343,5,968,47,18,12,0,13,639,688,7,219,0,597,8.0
-9822.718091758645,1,2,1,4,0,19,1215,1,719,58915,0,640,53,5,10,2,2,955,2387,7,216,0,947,6.0
-3660.407818666077,2,4,2,15,1,958,56,6,67,2574,3,199,49,0,15,0,13,496,1031,24,157,1,440,6.899
-12709.711512504582,0,4,2,15,1,168,1672,3,763,82961,2,325,3,18,12,3,8,847,3874,12,9,0,671,3.0
-5343.548480124056,0,4,2,15,1,401,591,7,433,27525,1,463,27,8,6,4,9,587,150,12,46,0,748,5.0
-6474.874789268422,0,3,0,18,0,829,1432,4,474,70222,2,88,38,3,0,1,5,243,3408,3,68,0,117,4.0
-11035.082776984147,0,3,0,19,0,42,474,9,860,22068,6,35,44,18,12,0,10,295,1953,28,163,1,330,19.792
-3154.2113260654587,2,4,2,15,1,860,162,7,29,7473,2,249,36,3,0,3,1,565,156,12,47,0,794,6.0
-2765.2762934982115,1,4,2,15,1,959,1436,4,409,70415,2,403,19,18,12,1,5,235,2803,30,120,1,177,7.0
-8403.592935476794,0,4,2,15,1,449,687,5,831,32084,2,987,0,18,12,3,12,993,2925,30,112,1,10,9.0
-7568.800755255409,0,4,2,15,1,256,1546,4,140,76177,2,280,3,18,12,3,8,847,1203,11,152,0,17,4.0
-14541.932502457912,0,2,1,4,0,498,698,5,733,32622,4,22,10,2,12,1,5,790,280,12,29,0,581,7.0
-8228.553801135704,0,4,2,15,1,698,1570,3,721,77501,4,151,51,14,10,0,10,304,216,12,21,0,919,2.0
-11220.098703579277,1,4,2,15,1,998,1335,1,562,65224,1,288,28,8,6,4,9,879,2494,8,139,1,827,1.0
-10969.120814504293,0,3,0,19,0,142,838,5,652,39405,4,243,47,18,12,0,13,639,1377,7,223,0,8,5.0
-9313.890682559591,0,4,2,15,1,38,1479,4,372,72634,1,201,11,10,3,2,14,802,502,7,213,0,883,1.0
-7950.146288681683,0,3,0,18,0,832,703,5,559,32895,5,743,48,18,12,0,10,967,183,7,233,0,214,4.0
-9285.176051512664,1,4,2,15,1,371,1261,3,707,61349,7,696,48,18,12,0,10,967,2498,12,11,0,874,30.0
-14381.172825788371,2,4,2,15,1,250,217,9,932,10026,1,201,26,4,6,3,0,760,1624,3,74,0,993,6.0
-16949.8636007426,2,4,2,15,1,543,62,6,944,2815,3,232,8,18,12,1,5,960,676,12,36,0,258,19.0
-3568.465418267132,1,4,2,15,1,624,632,7,681,29451,4,739,7,18,12,3,7,470,1851,25,244,0,890,13.0
-5362.230668971804,0,4,2,15,1,255,1401,1,199,68580,3,61,7,18,12,3,7,470,2228,15,277,0,958,1.0
-6830.490892553964,0,2,1,4,0,843,542,9,343,25204,2,365,16,18,12,2,11,667,1579,24,158,1,153,11.243
1229.839696836109,0,4,2,15,1,499,617,6,127,28741,2,576,17,18,12,1,15,301,1081,12,45,0,219,3.0
228.1384373573219,0,3,3,2,0,960,1547,4,860,76266,2,869,39,13,4,2,2,57,3087,15,280,0,904,1.0
-6966.115856102632,2,4,2,15,1,951,129,7,955,5922,2,785,36,3,0,3,1,565,1361,5,180,1,675,7.0
-10601.021124575254,0,4,2,15,1,318,676,5,809,31565,1,666,9,18,12,2,14,920,1709,5,182,1,434,5.0
-6317.185619331622,0,4,2,15,1,863,1455,5,462,71455,1,757,53,5,10,2,2,955,1515,25,243,0,603,10.0
-1931.2112498450688,2,4,2,15,1,404,437,8,446,20338,8,503,45,18,12,0,13,282,877,24,156,1,826,1.44
-890.4319943720493,2,4,2,15,1,777,401,8,115,18632,1,840,30,1,9,1,9,824,1439,7,220,0,330,1.0
-10166.919946412365,0,2,1,4,0,622,1202,1,352,58177,2,155,3,18,12,3,8,847,1402,12,6,0,686,1.0
-6440.6689295725,0,3,3,20,0,403,1403,1,752,68687,3,824,10,2,12,1,5,790,1484,3,72,0,989,1.0
-7006.773299974876,0,4,2,15,1,225,1277,2,611,62158,1,773,9,18,12,2,14,920,1883,12,16,0,879,1.0
-16592.003612600653,0,4,2,15,1,740,1680,3,781,83398,3,33,8,18,12,1,5,960,3575,3,75,0,642,3.0
-10613.759160055168,0,4,2,15,1,213,1167,0,396,56321,2,345,0,18,12,3,12,993,474,12,56,0,360,5.0
1923.0817316802668,0,4,2,15,1,401,1253,3,223,60924,3,984,47,18,12,0,13,639,1660,3,71,0,751,4.0
-8769.754639834302,0,4,2,15,1,961,1578,2,653,77914,1,107,32,17,9,2,2,326,3286,3,76,0,289,9.0
-6295.240894825365,0,4,2,15,1,207,1477,4,458,72524,5,278,7,18,12,3,7,470,693,10,164,1,720,8.0
6159.95594976357,0,3,1,4,2,15,645,6,137,30073,2,753,5,18,12,3,12,18,208,3,69,0,510,7.0
-6408.93431919566,0,4,2,15,1,931,1289,2,715,62795,3,835,10,2,12,1,5,790,2289,22,93,0,527,1.0
-4782.316846421878,0,4,2,15,1,761,570,9,389,26510,2,432,4,21,14,3,3,552,1971,8,142,1,836,5.0
-10099.479543939451,0,4,2,15,1,638,1380,4,961,67526,1,835,35,11,6,4,9,959,1360,12,39,0,987,3.0
-3057.4755091521783,0,4,2,15,1,189,1576,3,339,77805,0,539,31,8,6,2,2,555,269,7,213,0,984,1.0
-5215.058071625472,0,3,0,6,0,908,1673,3,708,83042,2,931,30,1,9,1,9,824,3827,3,72,0,913,31.0
-9596.035624732032,0,4,2,15,1,931,1289,2,715,62793,3,746,8,18,12,1,5,960,171,5,186,1,25,6.0
-7523.587843160442,0,4,2,15,1,893,734,3,173,34317,1,5,27,8,6,4,9,587,934,3,71,0,55,2.0
-9740.850643526304,0,4,2,15,1,709,750,1,690,35084,2,497,26,4,6,3,0,760,1271,12,2,0,298,4.0
-7835.909473308908,0,4,2,15,1,909,1415,2,125,69303,2,271,6,18,12,3,7,926,162,7,227,0,474,1.0
997.4660551191546,2,4,2,15,1,793,444,8,283,20671,5,808,49,0,15,0,13,496,552,9,168,1,974,3.0
-9656.830026691352,0,4,2,15,1,755,964,0,454,45708,2,5,50,8,6,0,16,604,853,12,39,0,902,2.0
-9816.788138555756,0,4,2,15,1,23,1189,0,216,57491,2,199,6,18,12,3,7,926,2535,3,65,0,79,2.0
-7579.044752209414,0,4,2,15,1,194,1245,3,602,60503,2,458,50,8,6,0,16,604,1349,7,224,0,425,2.0
-251.64633546109872,0,4,2,15,1,210,968,2,365,45881,1,622,14,9,7,2,14,262,1069,12,9,0,238,2.0
-9858.602988867702,0,4,2,15,1,126,999,1,522,47513,2,530,35,11,6,4,9,959,542,12,26,0,148,4.0
-748.3021801613268,0,3,3,20,0,7,1038,1,481,49540,1,943,4,21,14,3,3,552,1789,7,231,0,261,2.0
-5105.903219376655,0,4,2,15,1,528,990,2,437,47019,4,819,8,18,12,1,5,960,1134,7,216,0,929,6.0
-2916.0018600116155,0,4,2,15,1,29,1250,4,114,60721,1,689,3,18,12,3,8,847,3599,12,44,0,193,1.0
-3151.132984320049,0,4,2,15,1,104,1670,3,354,82898,5,991,48,18,12,0,10,967,3755,12,21,0,189,9.0
-7603.296903273862,0,4,2,15,1,358,983,1,386,46689,9,10,43,18,12,0,4,413,2804,30,112,1,345,7.0
1071.4330841258725,0,4,2,15,1,783,522,9,686,24262,1,985,14,9,7,2,14,262,1673,3,71,0,747,67.0
-3181.865915668784,0,3,0,19,0,781,590,7,50,27493,6,35,44,18,12,0,10,295,384,12,46,0,79,6.0
-1698.349880598772,0,4,2,15,1,648,566,9,466,26359,3,770,49,0,15,0,13,496,2141,7,213,0,529,3.0
3964.25373690625,0,5,1,4,0,220,646,6,473,30121,2,814,5,18,12,3,12,18,218,12,46,0,996,17.0
-9714.77460268365,0,4,2,15,1,874,849,5,120,39913,3,65,13,19,2,2,6,915,1037,24,157,1,234,5.092
-9583.059772444009,1,4,2,15,1,345,1657,2,929,82169,0,6,21,16,11,2,6,92,1515,25,243,0,603,3.0
-9418.442481455855,0,4,2,15,1,634,1467,4,708,72035,5,739,48,18,12,0,10,967,692,10,164,1,280,3.0
820.1689613576573,0,4,2,15,1,662,1554,4,207,76621,3,440,23,8,6,3,0,166,3414,12,21,0,677,2.0
-7280.075447061473,0,4,2,15,1,47,620,6,780,28907,8,304,44,18,12,0,10,295,1830,20,327,0,957,3.0
-6882.672174855879,0,4,2,15,1,263,715,5,749,33448,5,191,23,8,6,3,0,166,372,7,230,0,812,8.0
-10772.961041636525,2,4,2,15,1,795,414,9,692,19236,1,275,22,0,15,3,8,663,210,7,232,0,539,7.0
-8594.198151562267,0,4,2,15,1,68,1659,2,959,82257,3,146,1,18,12,3,12,75,613,12,47,0,690,3.0
-5492.173881228038,2,4,2,15,1,30,365,7,564,16922,4,902,8,18,12,1,5,960,256,0,317,0,888,2.0
-4796.433565462991,2,4,2,15,1,311,140,7,608,6434,0,627,31,8,6,2,2,555,184,12,37,0,999,8.0
-8531.802008199425,0,4,2,15,1,792,575,8,454,26782,1,63,40,13,4,3,3,476,1957,8,135,1,382,3.0
-7692.625504303498,2,4,2,15,1,469,346,7,932,16073,5,630,7,18,12,3,7,470,426,12,9,0,460,1.0
-951.830186863128,0,4,2,15,1,273,885,5,193,41705,3,748,33,8,6,1,5,644,9,12,21,0,269,1.0
-1791.8354250778666,0,3,1,4,0,360,670,5,61,31294,2,685,30,1,9,1,9,824,3091,16,306,0,597,2.0
-2561.253956391518,0,4,2,15,1,222,1020,2,286,48615,3,683,33,8,6,1,5,644,1228,28,162,1,300,11.592
-3175.1283697084764,2,4,2,15,1,195,89,7,131,4078,3,474,33,8,6,1,5,644,937,25,246,0,354,10.0
-3908.025085513782,0,4,2,15,1,527,1101,0,103,52849,2,476,26,4,6,3,0,760,2855,6,271,0,479,2.0
-693.9260292667186,0,4,2,15,1,744,713,5,191,33364,2,679,36,3,0,3,1,565,1046,12,13,0,469,4.0
491.924476900529,0,4,2,15,1,780,586,8,279,27308,4,962,47,18,12,0,13,639,1415,3,72,0,129,4.0
-1698.4180907942591,0,4,2,15,1,828,623,7,58,29015,2,724,3,18,12,3,8,847,2252,15,276,0,464,2.0
-6139.789465719792,0,3,0,8,0,488,933,2,444,44082,3,769,8,18,12,1,5,960,885,7,220,0,519,2.0
-1599.840149723228,0,4,2,15,1,729,890,5,628,41961,1,569,39,13,4,2,2,57,1812,12,28,0,33,2.0
-10568.880675361235,0,4,2,15,1,866,758,3,811,35474,4,356,33,8,6,1,5,644,1191,12,28,0,954,3.0
-617.9935975220815,0,4,2,15,1,617,482,8,542,22433,0,885,40,13,4,3,3,476,1529,7,221,0,889,1.0
-7496.902039623997,0,4,2,15,1,704,979,1,50,46448,1,164,9,18,12,2,14,920,1360,12,39,0,987,3.0
2728.993184086404,0,4,2,15,1,540,1080,0,204,51763,4,535,1,18,12,3,12,75,1726,12,26,0,661,16.0
-8958.157861877042,0,4,2,15,1,760,1473,4,400,72311,2,477,6,18,12,3,7,926,3121,8,123,1,48,3.0
-4085.7917547971047,0,4,2,15,1,272,1150,0,231,55432,1,49,12,10,3,2,14,228,3633,12,19,0,221,8.0
984.8331903887456,0,3,1,4,0,260,1130,0,633,54411,1,930,52,14,10,3,12,276,5,12,30,0,896,7.0
-10337.732175845807,0,4,2,15,1,141,1585,2,673,78309,3,83,49,0,15,0,13,496,259,25,243,0,816,18.0
-2092.751060690511,0,4,2,15,1,591,1125,0,164,54115,0,23,20,21,14,1,5,150,3666,12,44,0,934,3.0
-13239.52047507303,0,4,2,15,1,134,1324,3,592,64645,4,60,10,2,12,1,5,790,1081,12,45,0,219,2.0
-4700.699660349623,0,4,2,15,1,915,1059,0,388,50693,8,230,44,18,12,0,10,295,857,3,70,0,315,3.0
-8580.90402957866,0,4,2,15,1,248,891,5,435,42001,0,421,29,8,6,2,2,829,550,7,223,0,381,11.0
-831.2945463166361,0,4,2,15,1,128,1459,4,756,71582,2,905,19,18,12,1,5,235,3431,3,65,0,183,4.0
4219.324620052468,0,3,0,8,2,407,1298,1,185,63286,0,974,24,20,13,3,0,370,142,12,5,0,91,2.0
-9055.180881493834,1,4,2,15,1,156,1617,2,880,80031,9,429,43,18,12,0,4,413,777,24,158,1,116,21.314
-5175.739477241706,0,4,2,15,1,443,1646,1,323,81604,3,423,50,8,6,0,16,604,2276,7,213,0,395,1.0
-5945.01024882447,0,4,2,15,1,250,496,8,363,23057,1,441,15,21,14,2,2,667,1921,8,141,1,473,7.0
-5279.167286896629,0,4,2,15,1,793,1522,4,717,74914,0,450,12,10,3,2,14,228,266,12,57,0,195,2.0
-10819.53692329417,1,4,2,15,1,220,1173,1,593,56656,1,303,18,7,1,2,14,838,2752,30,104,1,985,5.0
-5245.615967819628,2,4,2,15,1,103,397,7,863,18455,2,331,42,6,5,4,9,33,1040,3,71,0,937,6.0
-8685.68550473959,0,4,2,15,1,426,1445,4,900,70922,5,544,49,0,15,0,13,496,3762,8,139,1,322,8.0
-10229.450932295107,0,2,1,4,0,296,1590,3,796,78578,6,717,48,18,12,0,10,967,388,25,243,0,591,3.0
-9277.937301153332,2,4,2,15,1,844,21,7,764,927,2,736,6,18,12,3,7,926,636,12,30,0,603,12.0
-3965.8145450808897,0,4,2,15,1,241,809,2,60,37968,2,190,36,3,0,3,1,565,1610,12,47,0,838,14.0
-11858.699004138023,2,4,2,15,1,111,295,7,857,13701,2,277,36,3,0,3,1,565,1497,12,26,0,107,26.0
-3423.648324264477,0,4,2,15,1,491,1649,2,528,81752,2,716,36,3,0,3,1,565,2032,12,0,0,707,2.0
-9415.34620828278,0,4,2,15,1,367,691,5,755,32323,0,744,53,5,10,2,2,955,1570,10,165,1,579,1.0
-8039.833672604028,0,2,1,4,0,415,1212,2,350,58732,1,423,28,8,6,4,9,879,1463,3,70,0,551,32.0
-10780.196972064674,2,4,2,15,1,863,193,9,408,8916,2,70,26,4,6,3,0,760,1227,28,162,1,461,30.578
-6611.965024194602,0,4,2,15,1,891,1618,2,900,80081,1,263,39,13,4,2,2,57,2916,30,117,1,834,6.0
-6786.026915575739,2,4,2,15,1,22,441,8,250,20529,3,524,48,18,12,0,10,967,1303,12,39,0,646,7.0
-751.1874394809511,0,3,1,4,0,435,1515,5,448,74567,1,910,36,3,0,3,1,565,1918,8,141,1,425,6.0
-10136.944099564496,0,4,2,15,1,220,1173,1,593,56660,1,252,22,0,15,3,8,663,1172,12,21,0,405,1.0
-4502.245806277579,0,4,2,15,1,306,1454,5,411,71385,2,875,35,11,6,4,9,959,222,12,21,0,638,5.0
138.72940777402437,1,3,3,22,0,851,1037,1,134,49523,1,592,40,13,4,3,3,476,835,9,172,1,777,3.0
-8893.726216714325,0,4,2,15,1,882,835,5,688,39224,1,667,9,18,12,2,14,920,216,12,21,0,919,2.0
-2832.560086855282,0,4,2,15,1,255,1663,3,256,82500,1,804,28,8,6,4,9,879,731,24,156,1,750,2.158
-4432.206304775733,0,3,1,4,0,807,585,8,91,27222,5,126,2,18,12,3,7,508,566,10,164,1,669,19.0
-523.8730292596038,1,4,2,15,1,467,1345,2,292,65738,1,558,32,17,9,2,2,326,3109,25,244,0,556,1.0
-15115.79542885575,0,4,2,15,1,590,840,5,947,39475,1,32,16,18,12,2,11,667,1803,7,220,0,855,1.0
-5523.487745637737,1,4,2,15,1,324,1526,3,496,75127,2,801,13,19,2,2,6,915,1844,25,253,0,852,6.0
-9431.68409844656,0,3,0,7,0,518,677,5,389,31647,3,397,48,18,12,0,10,967,674,12,26,0,692,29.0
-8862.319415047154,0,4,2,15,1,94,1342,2,508,65588,1,563,35,11,6,4,9,959,998,3,70,0,657,8.0
-14793.001707236552,0,2,1,4,0,46,1210,2,759,58624,2,57,26,4,6,3,0,760,881,11,149,0,59,2.0
-8056.2714469989,0,4,2,15,1,46,1323,3,817,64610,1,887,28,8,6,4,9,879,512,12,61,0,212,8.0
-6185.55288768735,0,4,2,15,1,636,877,5,594,41298,3,720,26,4,6,3,0,760,1294,7,218,0,511,2.0
-4290.124681887948,0,4,2,15,1,424,485,8,885,22538,5,899,2,18,12,3,7,508,1602,3,70,0,810,2.0
-4403.117990383887,0,4,2,15,1,393,837,5,343,39356,4,549,47,18,12,0,13,639,1506,12,14,0,412,1.0
-3902.060960536606,0,4,2,15,1,991,1587,3,227,78395,1,426,27,8,6,4,9,587,3610,12,44,0,507,1.0
-7920.14006292432,0,4,2,15,1,551,1026,1,231,48910,3,231,10,2,12,1,5,790,2768,30,111,1,467,55.0
-8523.790546634371,0,4,2,15,1,592,987,2,64,46883,0,8,29,8,6,2,2,829,2834,27,273,0,373,1.0
1749.4371219509069,0,4,2,15,1,156,663,6,404,30971,5,878,44,18,12,0,10,295,127,12,19,0,147,18.0
-5095.602874651286,0,4,2,15,1,274,1572,3,140,77568,3,397,10,2,12,1,5,790,3154,12,9,0,769,2.0
-8248.597266646024,2,4,2,15,1,331,260,9,986,12044,4,349,23,8,6,3,0,166,1313,7,233,0,315,3.0
-4236.1075575684445,2,4,2,15,1,450,429,8,833,19943,1,759,24,20,13,3,0,370,955,12,18,0,523,1.0
561.2629492109354,1,4,2,15,1,620,573,9,193,26675,0,988,29,8,6,2,2,829,2805,30,106,1,943,2.874
1557.3302195275674,2,4,2,15,1,322,243,9,4,11241,2,799,16,18,12,2,11,667,903,7,227,0,555,6.0
-16742.373020596107,0,4,2,15,1,830,1490,5,983,73216,3,66,10,2,12,1,5,790,2640,3,79,0,579,6.0
-6730.949183485796,0,3,0,18,0,829,1432,4,474,70194,4,551,10,2,12,1,5,790,1691,12,26,0,882,21.0
-8505.463888976632,0,4,2,15,1,747,1638,2,834,81126,1,525,4,21,14,3,3,552,2555,3,67,0,601,2.0
3561.563522610273,0,4,2,15,1,308,498,8,88,23171,6,821,43,18,12,0,4,413,293,12,21,0,615,29.0
-3728.041153564049,0,4,2,15,1,131,1492,4,262,73316,1,460,4,21,14,3,3,552,2751,30,111,1,336,3.417
-4716.073747635619,0,4,2,15,1,642,1571,3,334,77506,5,383,2,18,12,3,7,508,66,12,19,0,408,2.0
-2775.239406945652,0,2,1,4,0,396,1225,2,573,59405,0,556,12,10,3,2,14,228,460,12,46,0,156,5.0
