item_nbr,family,class,perishable,f1
1682,12,26,0,429
2562,3,68,0,978
2145,7,213,0,197
3377,3,70,0,989
1768,12,16,0,119
2789,1,274,0,820
1919,8,141,1,648
210,7,232,0,539
1344,22,102,0,938
4,5,183,1,538
3145,12,9,0,695
272,12,64,0,214
2797,30,106,1,455
1080,12,46,0,233
1812,12,28,0,33
363,12,24,0,809
269,7,213,0,984
3291,12,28,0,986
2383,12,63,0,116
3064,0,318,0,34
1583,12,9,0,968
3552,12,2,0,904
2899,30,112,1,948
2344,3,74,0,463
3128,12,14,0,621
3437,8,141,1,146
3930,3,79,0,256
3830,20,324,0,143
3159,12,3,0,576
2502,7,228,0,565
1250,12,23,0,684
2201,15,295,0,245
2362,3,69,0,178
1667,3,73,0,868
301,12,47,0,750
2062,5,184,1,827
3863,12,9,0,965
2636,3,77,0,941
3124,18,239,0,639
86,7,232,0,437
469,12,8,0,410
2634,3,85,0,921
3659,12,19,0,987
3743,12,21,0,748
2104,9,168,1,96
48,12,28,0,401
497,12,19,0,925
3751,12,38,0,657
1073,3,71,0,778
2441,18,238,0,973
1927,8,141,1,508
408,12,16,0,994
1058,8,131,1,209
664,12,42,0,686
3225,9,174,1,323
521,8,127,1,853
977,8,123,1,79
1288,8,133,1,614
1384,22,93,0,205
3924,12,16,0,315
3366,0,321,0,724
2143,7,213,0,51
2022,3,71,0,832
2711,2,261,0,246
3691,3,65,0,184
3623,12,19,0,42
1235,3,69,0,540
3226,12,23,0,765
2702,8,132,1,716
850,8,127,1,688
1827,12,9,0,414
2116,11,148,0,529
2439,18,238,0,301
2518,3,68,0,730
677,9,167,1,538
3056,6,272,0,510
3966,18,237,0,499
3518,3,69,0,578
350,12,19,0,19
3686,12,28,0,31
2506,7,228,0,820
2794,30,105,1,780
3835,3,71,0,841
3627,12,19,0,599
2837,6,271,0,761
892,5,188,1,289
2803,30,120,1,177
103,12,9,0,891
1477,3,72,0,364
999,12,38,0,531
2471,18,238,0,471
2225,25,243,0,427
3915,25,253,0,57
987,7,233,0,543
3979,7,220,0,750
3965,7,231,0,319
3884,12,9,0,209
3349,3,71,0,925
258,8,131,1,745
1841,25,253,0,356
109,7,223,0,420
1136,12,18,0,68
2246,15,289,0,109
3365,7,230,0,346
2638,3,77,0,892
3867,12,9,0,722
2927,30,106,1,692
2498,12,11,0,874
3305,30,116,1,677
3846,20,326,0,298
3947,12,4,0,697
3864,12,9,0,946
3804,7,231,0,981
2469,18,238,0,466
3799,22,93,0,229
349,12,19,0,267
3847,20,324,0,899
3987,2,262,0,209
2900,30,112,1,806
808,5,190,1,913
3941,3,76,0,24
1146,8,134,1,488
287,12,56,0,99
1523,12,1,0,496
2767,30,111,1,404
2620,3,77,0,433
710,24,156,1,438
714,24,156,1,730
393,12,8,0,728
1028,24,157,1,854
716,24,156,1,196
1164,9,177,1,145
1226,28,162,1,55
2025,12,0,0,300
2976,30,107,1,245
2731,30,117,1,566
715,24,156,1,437
873,24,156,1,267
3822,3,79,0,991
774,24,158,1,331
2796,30,105,1,559
3937,3,72,0,220
2971,30,107,1,237
3689,3,71,0,349
642,11,151,0,82
2955,30,104,1,914
2753,30,106,1,523
2244,15,289,0,477
3252,15,295,0,372
3936,3,76,0,856
2904,30,117,1,792
3927,3,79,0,886
3956,29,206,1,545
3785,28,162,1,397
2756,30,106,1,5
3022,30,117,1,528
4023,12,4,0,60
2867,31,312,0,260
1070,12,16,0,585
3693,3,71,0,717
405,12,26,0,542
2793,30,105,1,752
908,12,46,0,911
3896,15,278,0,799
58,8,128,1,97
2594,3,77,0,476
2670,3,77,0,223
732,24,156,1,442
879,32,195,1,376
2940,30,107,1,135
2571,3,79,0,938
4020,22,93,0,524
3667,12,40,0,417
2158,12,18,0,134
2237,16,298,0,423
2068,20,322,0,558
1072,12,28,0,797
1380,12,47,0,468
299,12,29,0,272
919,12,39,0,224
2348,12,57,0,209
155,12,29,0,107
191,7,219,0,33
1392,0,319,0,204
1282,12,28,0,710
1412,22,91,0,114
640,12,21,0,470
471,12,26,0,782
1833,7,232,0,19
3358,12,42,0,165
633,5,185,1,618
354,12,25,0,727
2323,25,249,0,809
1731,12,26,0,943
1011,7,228,0,615
260,12,29,0,418
2265,12,49,0,298
3703,12,0,0,358
966,11,152,0,567
126,12,19,0,396
3872,12,9,0,532
2175,12,28,0,935
557,7,233,0,338
509,12,21,0,198
1795,12,14,0,252
2386,8,125,1,995
3017,30,116,1,672
148,13,86,0,853
2256,16,296,0,160
2521,3,85,0,548
185,12,46,0,438
152,12,46,0,690
659,12,46,0,476
2829,27,273,0,664
3549,3,71,0,590
528,0,319,0,115
2802,30,120,1,516
2326,22,93,0,2
934,3,71,0,55
903,7,227,0,555
1057,12,21,0,114
1758,7,226,0,156
2087,12,63,0,107
1910,8,137,1,165
333,9,170,1,682
924,8,129,1,155
913,7,221,0,237
1134,7,216,0,929
2257,15,288,0,214
18,7,232,0,157
2354,22,93,0,234
1578,12,16,0,844
376,12,56,0,130
3432,12,21,0,237
1759,12,21,0,404
3828,3,72,0,109
1619,3,69,0,234
1480,3,72,0,87
3196,12,0,0,213
1541,12,26,0,393
241,12,36,0,421
2061,12,26,0,977
3418,12,21,0,57
2916,30,117,1,834
1012,22,94,0,972
1103,7,216,0,118
492,9,175,1,715
536,12,61,0,558
2292,7,218,0,300
886,3,69,0,600
604,12,14,0,682
1570,10,165,1,579
675,12,28,0,383
3276,3,76,0,506
277,12,30,0,274
111,7,223,0,558
554,3,70,0,516
1181,12,14,0,672
39,12,9,0,943
2434,18,237,0,703
1903,8,137,1,860
1767,12,16,0,86
3338,7,234,0,41
2299,25,248,0,619
825,3,70,0,701
91,7,223,0,278
1842,25,253,0,119
605,29,209,1,168
815,8,131,1,780
517,9,172,1,523
300,12,22,0,748
2006,25,243,0,631
754,12,18,0,863
2493,8,139,1,218
1474,3,72,0,227
3094,16,307,0,577
3934,18,238,0,333
1598,12,18,0,154
1653,7,233,0,640
2176,12,28,0,138
2005,2,260,0,142
1770,12,9,0,522
670,12,6,0,523
42,12,46,0,725
567,8,125,1,804
1385,22,93,0,596
75,12,7,0,864
1914,8,139,1,230
1567,7,220,0,930
1557,0,317,0,884
1679,11,155,0,486
668,5,186,1,17
370,8,131,1,608
1338,7,210,0,205
1615,12,47,0,612
553,9,172,1,850
607,21,331,0,792
2192,5,185,1,232
700,12,8,0,99
2605,3,79,0,55
2923,31,309,0,748
1335,7,228,0,667
3685,3,79,0,890
3118,3,74,0,293
3959,29,208,1,683
1690,12,26,0,252
3991,12,57,0,976
465,12,37,0,275
1743,12,23,0,386
2178,12,28,0,844
2902,31,313,0,476
3690,3,65,0,817
305,7,228,0,185
2508,7,228,0,748
2576,3,79,0,767
2842,6,271,0,503
1107,12,37,0,581
3834,12,48,0,282
2675,3,66,0,934
2358,8,129,1,465
3445,3,72,0,157
3592,12,54,0,701
2052,3,69,0,863
1520,12,18,0,478
3014,30,116,1,784
2115,12,16,0,540
821,25,246,0,736
456,5,182,1,587
1865,25,253,0,870
1555,12,26,0,969
2468,18,238,0,976
2259,15,295,0,857
619,3,70,0,296
2147,7,213,0,596
627,21,331,0,829
3758,12,21,0,246
436,7,213,0,118
2350,12,57,0,123
893,5,188,1,87
3034,30,112,1,323
3853,22,93,0,410
758,10,164,1,776
956,3,69,0,363
3384,8,143,1,334
3258,18,238,0,395
2783,30,113,1,262
1074,3,71,0,136
311,3,71,0,595
3401,5,186,1,198
2482,5,194,1,936
2615,3,79,0,942
3515,12,45,0,250
424,12,19,0,177
2703,8,132,1,79
2724,30,107,1,210
1625,12,21,0,397
541,12,26,0,918
200,7,213,0,394
110,7,223,0,765
1816,5,180,1,355
2245,15,289,0,671
1947,28,163,1,504
3619,12,34,0,534
3165,7,219,0,402
55,12,2,0,903
312,12,8,0,298
2968,30,106,1,651
2666,3,77,0,461
719,24,156,1,389
734,24,156,1,734
181,12,53,0,812
1099,9,177,1,212
2750,30,111,1,629
837,9,177,1,838
3004,30,111,1,255
1861,25,242,0,885
2308,8,131,1,337
3774,3,68,0,531
2957,30,105,1,140
1079,5,182,1,670
3741,12,46,0,663
2998,30,109,1,336
4019,12,44,0,947
3010,30,114,1,939
1951,28,163,1,814
3809,28,163,1,878
1549,24,156,1,887
3428,24,156,1,205
841,12,46,0,466
478,12,9,0,511
2224,15,286,0,430
1824,12,9,0,849
2661,3,65,0,466
2067,7,215,0,371
2808,30,107,1,769
810,5,191,1,424
3836,20,323,0,418
3290,12,28,0,58
1738,12,26,0,625
2127,12,18,0,674
2566,3,78,0,867
2706,26,314,0,458
2704,8,143,1,769
883,7,220,0,558
1988,3,70,0,356
947,12,25,0,954
2879,19,332,0,199
3582,12,16,0,979
1025,12,0,0,734
615,9,169,1,980
2874,19,332,0,429
900,5,188,1,13
804,7,210,0,341
969,7,216,0,457
3391,15,285,0,783
3572,8,142,1,769
3606,12,34,0,211
1562,25,243,0,529
1190,12,28,0,301
214,7,230,0,333
3546,15,277,0,955
2289,22,93,0,527
412,3,70,0,218
2352,9,167,1,466
202,12,64,0,158
2565,3,78,0,991
3576,7,220,0,677
3520,7,231,0,817
1355,12,0,0,596
2248,15,295,0,596
3037,6,269,0,135
130,12,3,0,204
3387,15,285,0,279
635,12,29,0,178
1854,25,244,0,586
2185,25,248,0,959
1620,13,86,0,36
1409,12,57,0,580
3662,12,46,0,656
2705,26,314,0,55
1297,7,224,0,462
3499,3,70,0,462
1516,3,69,0,654
1704,3,69,0,598
1115,8,131,1,538
2532,3,85,0,736
368,12,0,0,681
1772,3,69,0,246
1275,7,210,0,387
425,25,243,0,515
2252,15,276,0,464
345,12,9,0,120
1485,3,72,0,879
121,12,37,0,828
926,12,2,0,622
85,7,232,0,551
2691,8,137,1,983
2522,3,85,0,311
1872,25,247,0,765
3617,12,46,0,62
3560,12,14,0,280
2534,3,65,0,527
3259,12,14,0,461
1534,7,220,0,758
943,12,38,0,867
2765,30,111,1,334
494,12,2,0,707
447,12,19,0,512
1506,12,14,0,412
1860,25,250,0,822
1102,20,323,0,772
3575,3,75,0,642
3162,25,243,0,607
59,12,46,0,170
1624,3,74,0,993
2617,3,79,0,399
3182,12,49,0,457
1049,7,227,0,390
3249,3,70,0,281
931,21,330,0,323
2715,26,315,0,916
2845,6,271,0,164
351,12,19,0,56
1046,12,13,0,469
400,12,46,0,468
165,12,14,0,612
3548,3,70,0,121
1908,8,137,1,755
534,7,228,0,256
2337,7,213,0,750
67,8,127,1,231
417,8,129,1,753
2144,7,213,0,312
636,12,30,0,603
21,10,164,1,172
3115,3,74,0,947
932,12,45,0,163
988,12,38,0,991
651,12,56,0,919
2018,12,37,0,624
2463,18,238,0,401
812,5,191,1,632
829,9,169,1,373
752,12,19,0,344
1728,12,26,0,432
74,5,182,1,921
3729,25,246,0,547
3481,3,71,0,380
1810,5,185,1,296
1345,22,102,0,525
2089,7,220,0,836
3753,12,21,0,219
3462,18,240,0,21
3318,6,269,0,404
343,25,243,0,885
1659,12,38,0,922
1978,8,143,1,670
104,12,9,0,538
2710,26,314,0,20
1305,7,220,0,747
1968,8,142,1,220
218,12,46,0,996
1124,12,4,0,48
3175,26,314,0,450
3695,12,5,0,291
2665,3,67,0,92
600,7,228,0,581
2353,22,93,0,816
3116,3,74,0,281
1984,12,63,0,442
3491,12,32,0,939
2631,3,85,0,257
1239,12,9,0,734
655,5,182,1,308
870,12,30,0,527
649,8,134,1,479
1188,7,220,0,556
94,12,32,0,499
3879,12,9,0,403
1909,8,137,1,231
3881,12,9,0,996
2639,3,77,0,547
2491,8,139,1,574
2596,3,77,0,710
907,12,46,0,345
861,22,98,0,651
3265,3,76,0,32
976,8,123,1,706
2436,18,238,0,834
1754,12,26,0,578
1756,10,164,1,785
3898,3,79,0,719
2868,19,332,0,420
3101,7,220,0,277
490,3,70,0,631
2427,18,238,0,85
3374,12,14,0,533
911,25,246,0,698
2072,7,233,0,975
1230,3,69,0,88
3287,3,76,0,741
2555,3,67,0,601
3403,5,186,1,393
3796,8,143,1,359
2890,30,111,1,697
2475,18,239,0,768
2211,15,279,0,74
3618,12,46,0,225
3270,3,76,0,417
3273,3,76,0,792
2487,12,18,0,75
3708,12,26,0,933
3945,7,221,0,663
3831,20,323,0,59
2316,16,302,0,456
3537,3,71,0,595
1150,29,205,1,431
238,5,186,1,176
3205,18,238,0,440
3440,3,79,0,983
3039,31,310,0,16
2319,16,302,0,837
3261,8,126,1,948
786,12,39,0,632
3263,3,76,0,311
3873,12,9,0,238
3893,25,242,0,599
2974,30,107,1,853
594,12,46,0,300
3985,2,261,0,394
3605,12,44,0,612
3982,2,262,0,780
3779,3,72,0,216
2780,30,112,1,221
3125,12,29,0,937
3940,3,79,0,953
1168,5,191,1,1
3818,30,110,1,813
800,21,330,0,718
144,28,161,1,262
705,24,156,1,125
3011,30,114,1,525
1244,7,230,0,491
3055,30,107,1,206
2729,30,117,1,391
2970,30,107,1,427
1942,28,163,1,728
1934,28,163,1,188
80,12,21,0,922
2972,30,107,1,131
3975,12,49,0,422
2736,30,120,1,722
515,10,164,1,709
2932,30,113,1,347
2944,30,117,1,942
4001,7,220,0,474
2108,5,194,1,587
3577,25,243,0,833
2956,30,105,1,355
1935,28,163,1,621
2788,30,114,1,556
2961,30,105,1,829
3642,11,151,0,21
4013,12,59,0,517
4007,12,44,0,174
2517,3,68,0,16
617,9,172,1,496
3068,31,311,0,588
25,12,46,0,533
1015,22,93,0,434
3609,12,19,0,984
1463,3,70,0,551
2985,30,107,1,271
3163,12,21,0,819
3550,12,9,0,442
3041,30,106,1,325
488,9,172,1,509
738,7,233,0,43
3065,0,318,0,718
3650,12,34,0,858
1114,8,131,1,224
3596,25,246,0,858
1488,0,320,0,949
961,13,86,0,764
1202,22,87,0,447
793,12,0,0,449
955,12,18,0,523
472,12,26,0,256
3571,8,142,1,175
1721,12,51,0,422
414,12,23,0,855
2752,30,104,1,985
2416,18,236,0,57
2171,12,28,0,886
3775,3,68,0,130
1470,3,71,0,64
3610,12,44,0,507
514,7,217,0,727
3574,7,234,0,319
2823,6,270,0,54
197,17,275,0,633
201,5,183,1,539
3369,0,321,0,849
1261,12,61,0,199
2525,3,85,0,412
3221,3,68,0,534
2029,3,71,0,256
1844,25,253,0,852
3090,3,77,0,384
3801,12,57,0,368
1383,7,224,0,78
106,12,19,0,569
1714,7,228,0,704
359,12,21,0,384
2713,25,246,0,431
1979,8,143,1,120
918,12,5,0,744
580,10,164,1,918
2004,12,18,0,532
1373,12,28,0,334
1761,12,21,0,699
1798,12,14,0,74
885,7,220,0,519
149,12,47,0,280
161,7,227,0,44
2714,25,246,0,988
3410,12,21,0,455
2205,16,300,0,72
662,7,228,0,587
612,7,235,0,679
2159,12,18,0,854
2635,3,85,0,737
3195,3,74,0,157
1982,12,63,0,910
2546,3,65,0,834
213,11,148,0,978
1006,8,131,1,954
388,25,243,0,591
1983,12,63,0,863
610,12,32,0,440
35,21,331,0,55
2551,3,65,0,240
614,9,168,1,844
3351,3,71,0,732
326,13,86,0,811
2560,3,68,0,461
1587,5,183,1,152
262,7,219,0,216
2697,18,238,0,656
2459,18,240,0,209
1739,7,230,0,598
468,3,71,0,394
1580,12,9,0,632
221,12,29,0,983
844,29,203,1,311
3,12,16,0,972
865,7,216,0,207
1575,5,183,1,996
996,32,198,1,580
1161,25,246,0,597
905,7,223,0,216
3637,12,33,0,311
3172,12,9,0,841
145,12,51,0,910
573,12,64,0,270
1771,3,69,0,59
3800,12,9,0,353
818,12,14,0,492
3746,12,38,0,263
1090,12,38,0,138
3393,15,285,0,290
352,8,127,1,84
1605,25,243,0,555
1822,25,243,0,707
3035,30,112,1,625
3139,12,9,0,239
2076,7,220,0,892
1048,12,21,0,53
1198,12,21,0,742
2843,6,271,0,795
2629,3,85,0,462
948,12,25,0,619
1635,12,30,0,362
1378,7,223,0,640
739,7,235,0,295
2514,3,67,0,754
2253,15,292,0,958
1846,25,253,0,356
620,3,70,0,800
3092,16,306,0,560
2497,18,238,0,311
2324,11,155,0,84
2210,16,301,0,803
1369,12,2,0,211
634,12,29,0,6
1311,7,228,0,503
3016,30,116,1,420
2652,3,85,0,877
2784,30,117,1,850
2640,3,79,0,579
3522,12,35,0,455
253,5,187,1,333
1630,3,74,0,789
2515,3,67,0,743
2627,3,85,0,597
3347,12,9,0,565
3970,8,137,1,924
3967,8,139,1,489
1594,12,32,0,92
19,12,2,0,758
1560,7,231,0,444
1673,3,71,0,747
3738,7,228,0,370
2123,12,8,0,574
249,12,39,0,872
2094,12,56,0,378
1430,3,69,0,237
365,10,164,1,1
98,3,71,0,531
1197,29,206,1,444
1336,7,231,0,493
2778,30,112,1,133
64,10,164,1,50
237,29,209,1,824
3031,30,119,1,873
1370,12,2,0,331
1686,12,26,0,885
1879,25,253,0,911
503,7,213,0,12
2223,15,295,0,8
2539,3,79,0,940
2092,7,220,0,343
2645,3,79,0,353
1159,12,21,0,547
3635,12,44,0,73
3620,12,19,0,84
1969,8,142,1,902
2153,7,232,0,773
3802,3,76,0,606
3411,12,21,0,189
477,12,9,0,350
2589,3,77,0,103
3430,22,93,0,265
3920,3,72,0,362
1828,12,9,0,898
2075,12,5,0,217
2606,3,79,0,948
3716,11,145,0,780
894,12,16,0,513
3313,8,143,1,215
3146,12,9,0,549
2014,7,228,0,694
1750,3,73,0,392
1191,12,28,0,954
3448,12,28,0,21
891,29,203,1,584
2556,3,67,0,249
1075,3,71,0,933
2128,12,18,0,270
1746,12,49,0,198
449,10,164,1,141
3694,22,93,0,971
504,5,180,1,635
3832,20,323,0,559
2274,12,26,0,733
3460,3,76,0,372
1994,12,9,0,524
3342,25,245,0,755
2361,3,69,0,613
3950,3,71,0,615
1632,7,230,0,452
807,5,190,1,382
2779,30,112,1,399
3294,3,65,0,638
443,12,30,0,635
982,11,149,0,511
153,12,23,0,648
3850,3,79,0,528
2924,30,111,1,796
1325,12,59,0,87
112,12,16,0,290
3663,12,55,0,743
2273,3,70,0,791
1584,12,9,0,671
2164,7,210,0,138
2564,3,78,0,354
483,12,43,0,231
3486,9,174,1,256
2216,15,295,0,902
3684,7,214,0,377
3990,12,57,0,803
3858,3,70,0,927
3664,12,44,0,714
1088,12,46,0,996
938,28,162,1,602
240,12,46,0,483
637,12,21,0,509
2726,30,106,1,93
876,24,156,1,65
2747,30,120,1,829
2982,30,107,1,942
1964,28,163,1,603
1937,28,163,1,523
1962,28,163,1,95
2737,30,108,1,767
3236,12,6,0,488
3855,12,28,0,527
3823,3,79,0,636
2306,5,191,1,43
3478,5,182,1,811
3869,12,9,0,938
4006,12,5,0,185
2981,30,107,1,24
2993,30,109,1,946
3918,31,313,0,524
2031,24,156,1,818
2329,28,163,1,295
1949,28,163,1,806
2030,24,156,1,347
2810,30,114,1,643
2996,30,109,1,979
1122,11,151,0,809
2303,5,190,1,263
1236,20,322,0,450
756,10,164,1,543
1454,3,69,0,468
3398,15,285,0,388
3181,5,182,1,822
169,12,9,0,720
2888,19,332,0,89
1329,8,129,1,727
2964,30,106,1,196
1259,7,222,0,868
2938,30,119,1,402
2044,9,172,1,575
3297,30,108,1,841
291,5,180,1,597
3453,12,26,0,930
2065,7,224,0,445
2677,3,65,0,596
4016,22,88,0,45
3293,7,231,0,271
1563,25,243,0,255
286,3,71,0,115
790,12,2,0,570
2630,3,85,0,568
419,7,220,0,98
2103,8,132,1,878
889,8,131,1,639
1053,5,185,1,940
1312,3,71,0,942
2624,3,85,0,754
3484,3,71,0,166
445,12,21,0,755
1255,20,322,0,967
2709,26,314,0,82
17,9,172,1,318
2875,19,332,0,182
2238,15,281,0,192
628,12,19,0,873
1542,7,224,0,999
2495,8,139,1,107
979,25,246,0,542
1681,12,26,0,83
118,12,37,0,243
538,12,14,0,584
1461,3,70,0,991
680,12,51,0,848
2001,12,64,0,219
8,12,30,0,677
2478,18,240,0,411
435,7,215,0,651
2830,27,273,0,817
855,12,39,0,172
523,7,210,0,821
3224,30,105,1,136
1432,5,182,1,115
848,5,183,1,876
3542,3,71,0,503
609,12,6,0,629
398,12,26,0,794
3295,12,19,0,837
3328,7,222,0,354
1835,3,74,0,17
1106,3,70,0,720
2597,3,65,0,829
3455,18,240,0,266
1851,25,244,0,890
1784,7,228,0,780
3148,12,9,0,806
1891,8,138,1,489
2914,30,106,1,773
1284,3,74,0,647
1332,3,70,0,717
2070,12,14,0,371
2719,26,315,0,912
572,12,64,0,43
34,12,56,0,170
1855,25,244,0,591
3630,12,63,0,527
1782,12,14,0,172
923,12,18,0,130
3059,3,72,0,799
864,7,216,0,787
164,12,14,0,491
1857,25,244,0,366
2267,16,303,0,278
2381,12,4,0,105
2086,12,63,0,944
