date,store_nbr,transactions
2016-07-19,4,1.0
2016-11-29,37,1.0
2015-05-02,1,1.0
2015-08-08,1,1.0
2015-12-23,22,1.0
2013-12-28,10,2.0
2014-12-22,54,2.0
2017-02-18,42,2.0
2015-02-13,25,2.0
2017-07-22,25,2.0
2015-09-22,36,2.0
2015-09-27,21,2.0
2013-08-06,49,2.0
2016-04-03,24,2.0
2013-01-12,19,2.0
2015-10-17,19,2.0
2015-06-25,20,2.0
2015-11-24,9,2.0
2013-04-19,43,2.0
2017-01-31,18,2.0
2015-08-25,40,2.0
2015-11-23,40,2.0
2014-06-02,15,2.0
2016-01-25,15,2.0
2016-07-08,15,2.0
2014-10-05,31,2.0
2016-02-01,31,2.0
2016-05-29,31,2.0
2014-11-06,2,2.0
2015-07-19,2,2.0
2016-08-23,2,2.0
2013-03-09,17,2.0
2015-08-11,17,2.0
2016-06-25,17,2.0
2017-03-07,17,2.0
2014-04-08,14,2.0
2013-12-01,39,2.0
2014-12-09,39,2.0
2015-07-26,39,2.0
2016-08-02,39,2.0
2013-04-21,5,2.0
2013-08-17,5,2.0
2014-12-14,5,2.0
2016-12-29,5,2.0
2013-12-23,27,2.0
2014-08-09,27,2.0
2015-01-21,27,2.0
2016-01-29,27,2.0
2017-04-10,27,2.0
2013-01-18,1,2.0
2013-02-05,1,2.0
2014-03-31,1,2.0
2014-10-28,1,2.0
2015-01-08,1,2.0
2013-03-28,38,2.0
2013-04-25,38,2.0
2013-05-21,38,2.0
2015-01-13,38,2.0
2015-03-18,38,2.0
2013-04-12,6,2.0
2013-11-27,6,2.0
2015-11-17,6,2.0
2016-08-26,6,2.0
2017-05-08,6,2.0
2017-07-19,6,2.0
2013-10-23,7,2.0
2013-05-15,4,2.0
2014-07-06,4,2.0
2015-04-07,4,2.0
2016-01-15,4,2.0
2016-02-28,4,2.0
2013-05-30,37,2.0
2013-08-28,37,2.0
2014-06-07,37,2.0
2014-09-05,37,2.0
2015-08-18,37,2.0
2016-04-29,37,2.0
2013-07-24,51,2.0
2013-08-01,51,2.0
2014-10-12,51,2.0
2015-06-24,51,2.0
2016-02-08,51,2.0
2016-04-02,51,2.0
2016-11-17,51,2.0
2017-06-13,51,2.0
2013-09-17,32,0.0
2014-09-25,32,0.0
2016-05-19,32,0.0
2013-03-16,30,0.0
2013-06-14,30,0.0
2013-10-10,30,0.0
2015-06-04,30,0.0
2017-01-26,30,0.0
2017-04-08,30,0.0
2013-05-21,35,0.0
2014-04-05,35,0.0
2014-08-01,35,0.0
2015-01-13,35,0.0
2015-04-13,35,0.0
2016-01-21,35,0.0
2016-04-20,35,0.0
2016-12-05,35,0.0
2017-01-02,35,0.0
2017-04-02,35,0.0
2013-05-16,26,0.0
2013-06-11,26,0.0
2014-01-26,26,0.0
2016-09-27,26,0.0
2013-04-10,54,0.0
2014-12-03,54,0.0
2015-01-16,54,0.0
2017-01-05,54,0.0
2013-06-20,25,0.0
2013-07-18,25,0.0
2014-05-20,25,0.0
2015-07-06,25,0.0
2016-01-15,16,0.0
2016-12-02,16,0.0
2016-09-27,13,0.0
2015-11-10,22,0.0
2016-06-26,22,0.0
2015-01-07,53,0.0
2015-03-20,53,0.0
2016-04-11,10,0.0
2014-02-18,41,0.0
2015-05-31,1,0.0
2015-08-14,33,0.0
2017-07-14,33,0.0
2013-06-12,36,0.0
2013-10-23,28,0.0
2015-10-22,42,0.0
2015-11-17,42,0.0
2014-12-26,5,3.0
2014-04-06,39,3.0
2013-12-21,37,3.0
2015-01-23,1,3.0
2015-12-16,1,3.0
2013-02-14,51,3.0
2015-06-21,51,3.0
2015-10-17,51,3.0
2013-05-18,38,3.0
2014-01-02,38,3.0
2014-03-26,7,3.0
2014-09-03,6,3.0
2016-02-20,6,3.0
2016-09-18,6,3.0
2017-06-06,50,3.0
2015-11-16,24,3.0
2017-01-26,24,3.0
2017-04-08,24,3.0
2016-09-30,11,3.0
2014-08-31,2,3.0
2015-09-08,2,3.0
2016-04-24,2,3.0
2016-08-20,2,3.0
2017-05-02,2,3.0
2017-07-05,2,3.0
2015-08-24,34,3.0
2015-10-09,34,3.0
2017-08-13,34,3.0
2013-05-06,9,3.0
2013-09-12,9,3.0
2015-11-21,9,3.0
2016-01-06,9,3.0
2017-01-31,9,3.0
2017-03-26,9,3.0
2013-03-26,8,4.0
2013-04-21,8,4.0
2013-07-02,8,4.0
2014-04-03,8,4.0
2016-03-03,8,4.0
2017-06-19,8,4.0
2013-07-08,48,4.0
2017-02-21,49,4.0
2017-03-21,49,4.0
2017-05-04,49,4.0
2013-10-27,11,4.0
2015-06-21,11,4.0
2013-01-26,34,4.0
2015-08-02,34,4.0
2014-09-19,24,4.0
2013-07-03,50,4.0
2017-06-28,46,4.0
2013-03-17,9,4.0
2013-11-09,9,4.0
2014-11-09,9,4.0
2015-07-04,9,4.0
2017-06-26,52,4.0
2017-02-26,25,5.0
2015-09-19,50,5.0
2015-12-18,50,5.0
2014-10-28,47,5.0
2014-08-30,49,5.0
2013-03-03,8,5.0
2013-05-21,45,5.0
2014-08-27,45,5.0
2015-04-13,45,5.0
2015-09-25,45,5.0
2017-03-13,45,5.0
2013-06-12,46,5.0
2015-08-21,46,5.0
2017-08-08,46,5.0
2013-07-05,3,5.0
2014-03-17,3,5.0
2014-05-28,3,5.0
2017-01-27,3,5.0
2014-03-10,47,6.0
2014-03-28,47,6.0
2016-11-09,47,6.0
2017-02-07,47,6.0
2014-11-13,44,6.0
2015-07-18,3,6.0
2017-03-26,3,6.0
2014-08-06,45,6.0
2015-02-16,46,6.0
2014-07-19,46,7.0
2016-08-21,46,7.0
2016-02-09,45,7.0
2016-09-25,45,7.0
2015-01-18,45,8.0
2013-05-01,46,9.0
2016-05-07,47,9.0
2016-12-04,47,9.0
2017-04-16,44,8.0
2017-05-12,44,8.0
2017-06-09,44,8.0
2013-12-08,44,9.0
2014-12-16,44,9.0
2017-06-24,44,9.0
2017-07-22,44,9.0
2013-10-15,23,1.0
2014-03-29,23,1.0
2014-06-27,23,1.0
2014-07-25,23,1.0
2015-04-06,23,1.0
2015-06-09,23,1.0
2016-03-18,23,1.0
2016-11-28,23,1.0
2013-12-16,12,1.0
2014-08-02,12,1.0
2014-08-28,12,1.0
2015-11-08,12,1.0
2016-01-19,12,1.0
2016-08-17,12,1.0
2015-04-12,33,1.0
2015-05-10,33,1.0
2016-01-20,33,1.0
2016-05-02,33,1.0
2014-03-26,19,1.0
2014-07-07,19,1.0
2016-03-15,19,1.0
2016-10-30,19,1.0
2015-07-20,36,1.0
2016-08-27,36,1.0
2016-11-07,36,1.0
2017-05-09,36,1.0
2017-06-06,36,1.0
2013-11-04,41,1.0
2013-12-02,41,1.0
2014-06-03,41,1.0
2015-08-14,41,1.0
2015-10-25,41,1.0
2015-11-20,41,1.0
2016-07-06,41,1.0
2016-08-03,41,1.0
2017-04-15,41,1.0
2013-07-11,28,1.0
2017-05-16,28,1.0
2013-05-06,10,1.0
2013-09-12,10,1.0
2015-03-11,10,1.0
2015-11-21,10,1.0
2016-12-29,10,1.0
2013-07-24,43,1.0
2014-08-01,43,1.0
2015-03-18,43,1.0
2015-04-13,43,1.0
2016-03-25,43,1.0
2013-05-14,40,1.0
2014-04-06,40,1.0
2015-07-23,40,1.0
2015-11-29,40,1.0
2016-09-07,40,1.0
2016-10-28,40,1.0
2014-02-25,15,1.0
2014-11-07,15,1.0
2015-04-05,15,1.0
2013-03-06,18,1.0
2015-09-21,18,1.0
2017-05-15,18,1.0
2014-09-01,13,1.0
2014-11-04,13,1.0
2014-11-30,13,1.0
2015-07-17,13,1.0
2017-04-07,13,1.0
2013-10-29,31,1.0
2014-11-06,31,1.0
2015-02-04,31,1.0
2013-03-15,17,1.0
2013-08-14,17,1.0
2015-08-27,39,1.0
2015-11-24,14,1.0
2016-06-19,14,1.0
2017-02-03,14,1.0
2017-03-29,14,1.0
2017-05-12,14,1.0
2014-05-20,5,1.0
2016-01-12,5,1.0
2016-09-23,5,1.0
2016-12-04,5,1.0
2013-01-06,16,1.0
2013-03-11,16,1.0
2013-03-19,16,1.0
2014-03-19,16,1.0
2014-08-31,16,1.0
2014-11-29,16,1.0
2014-12-27,16,1.0
2016-04-29,29,1.0
2017-04-11,29,1.0
2015-08-22,54,1.0
2016-10-01,54,1.0
2013-01-16,27,1.0
2013-10-18,27,1.0
2014-07-28,27,1.0
2014-06-04,53,1.0
2016-10-10,53,1.0
2016-11-05,53,1.0
2017-06-22,53,1.0
2016-06-01,42,1.0
2017-02-11,42,1.0
2014-11-08,25,1.0
2015-01-11,25,1.0
2015-02-06,25,1.0
2015-03-06,25,1.0
2016-10-28,25,1.0
2016-01-16,21,1.0
2016-09-01,21,1.0
2016-10-25,21,1.0
2017-07-07,21,1.0
2014-05-29,4,1.0
2014-06-24,4,1.0
2014-08-03,37,1.0
2015-10-22,37,1.0
2016-10-06,20,1.0
2016-11-29,20,1.0
2014-09-06,10,2.0
2016-12-31,16,2.0
2017-07-22,42,2.0
2015-03-21,25,2.0
2015-04-18,25,2.0
2016-07-24,25,2.0
2015-12-21,12,2.0
2016-05-03,53,2.0
2016-12-18,53,2.0
2017-01-02,21,2.0
2015-10-04,41,2.0
2013-05-23,49,2.0
2014-01-02,19,2.0
2016-04-24,28,2.0
2015-07-23,20,2.0
2015-08-18,20,2.0
2017-04-11,20,2.0
2015-08-26,9,2.0
2016-05-07,43,2.0
2016-12-17,43,2.0
2017-03-12,43,2.0
2014-08-30,18,2.0
2015-02-13,40,2.0
2014-10-01,15,2.0
2017-03-09,15,2.0
2014-03-11,31,2.0
2016-01-29,31,2.0
2013-09-23,2,2.0
2014-06-05,2,2.0
2016-01-28,2,2.0
2016-02-25,2,2.0
2016-05-25,2,2.0
2014-10-04,17,2.0
2016-01-23,17,2.0
2015-12-16,14,2.0
2016-08-01,14,2.0
2016-08-27,14,2.0
2017-04-13,14,2.0
2017-05-11,14,2.0
2015-02-22,39,2.0
2013-02-05,5,2.0
2013-07-20,5,2.0
2013-09-22,5,2.0
2013-11-15,5,2.0
2014-07-02,5,2.0
2015-06-12,5,2.0
2015-07-10,5,2.0
2017-03-03,5,2.0
2015-03-16,27,2.0
2015-10-31,27,2.0
2015-11-28,27,2.0
2013-10-28,1,2.0
2017-06-16,38,2.0
2013-10-22,6,2.0
2015-03-18,6,2.0
2016-02-15,6,2.0
2016-06-23,6,2.0
2016-05-19,7,2.0
2013-02-14,4,2.0
2013-10-27,4,2.0
2013-11-24,4,2.0
2015-03-02,4,2.0
2015-08-14,4,2.0
2013-01-21,37,2.0
2013-02-16,37,2.0
2013-03-16,37,2.0
2013-10-31,37,2.0
2013-11-26,37,2.0
2014-01-29,37,2.0
2016-09-30,37,2.0
2017-03-14,37,2.0
2017-05-25,37,2.0
2013-05-03,51,2.0
2014-11-17,51,2.0
2016-10-17,51,2.0
2017-07-19,51,2.0
2017-07-27,51,2.0
2013-04-16,32,0.0
2013-06-19,32,0.0
2015-04-06,32,0.0
2015-07-05,32,0.0
2015-12-17,32,0.0
2016-02-19,32,0.0
2017-02-26,32,0.0
2017-05-09,32,0.0
2014-08-25,30,0.0
2014-10-08,30,0.0
2014-11-05,30,0.0
2015-05-07,30,0.0
2015-07-18,30,0.0
2016-09-27,30,0.0
2017-03-11,30,0.0
2017-07-07,30,0.0
2013-08-11,35,0.0
2013-10-22,35,0.0
2014-07-04,35,0.0
2014-08-22,26,0.0
2015-04-08,26,0.0
2016-04-15,26,0.0
2016-12-26,26,0.0
2016-03-28,54,0.0
2017-07-17,54,0.0
2013-01-06,25,0.0
2013-09-18,25,0.0
2013-11-21,25,0.0
2013-12-17,25,0.0
2015-05-13,25,0.0
2015-09-08,25,0.0
2015-12-07,25,0.0
2016-05-20,25,0.0
2017-07-31,25,0.0
2015-08-14,16,0.0
2015-09-11,16,0.0
2016-05-23,16,0.0
2017-02-22,16,0.0
2014-06-24,13,0.0
2016-01-19,13,0.0
2016-02-16,13,0.0
2017-02-23,13,0.0
2016-11-27,22,0.0
2014-09-08,53,0.0
2014-11-11,53,0.0
2013-11-08,10,0.0
2016-05-25,10,0.0
2013-01-10,41,0.0
2013-06-24,41,0.0
2015-11-12,33,0.0
2016-11-04,33,0.0
2013-11-13,36,0.0
2016-04-30,53,3.0
2013-11-09,14,3.0
2013-12-23,14,3.0
2013-12-10,1,3.0
2014-05-28,49,3.0
2015-01-07,51,3.0
2015-09-19,51,3.0
2017-08-11,51,3.0
2014-10-12,38,3.0
2015-03-06,7,3.0
2016-12-31,7,3.0
2017-02-23,7,3.0
2013-10-19,6,3.0
2014-10-01,6,3.0
2015-06-13,6,3.0
2013-06-19,50,3.0
2015-04-16,50,3.0
2015-05-12,50,3.0
2016-12-08,50,3.0
2017-01-31,50,3.0
2014-08-25,24,3.0
2015-05-07,24,3.0
2013-01-31,11,3.0
2013-09-17,11,3.0
2015-08-18,11,3.0
2016-03-16,11,3.0
2014-07-18,2,3.0
2015-02-01,2,3.0
2016-03-11,2,3.0
2016-10-21,2,3.0
2015-07-19,34,3.0
2015-09-21,34,3.0
2015-10-17,34,3.0
2016-06-02,34,3.0
2013-02-05,9,3.0
2013-02-13,9,3.0
2014-02-13,9,3.0
2014-04-26,9,3.0
2014-10-26,9,3.0
2014-11-23,9,3.0
2015-01-06,9,3.0
2013-06-24,8,4.0
2015-07-28,8,4.0
2016-02-24,8,4.0
2016-04-08,8,4.0
2013-12-11,49,4.0
2014-01-08,49,4.0
2014-08-25,49,4.0
2016-07-25,49,4.0
2017-07-25,49,4.0
2015-01-18,11,4.0
2017-01-07,11,4.0
2014-02-13,34,4.0
2014-03-11,34,4.0
2014-04-08,34,4.0
2015-12-06,34,4.0
2015-02-28,24,4.0
2013-08-08,50,4.0
2016-06-07,3,4.0
2017-03-09,3,4.0
2015-02-25,46,4.0
2014-06-08,9,4.0
2014-07-06,9,4.0
2013-04-07,11,5.0
2015-06-21,50,5.0
2013-04-10,47,5.0
2015-05-14,47,5.0
2015-10-26,47,5.0
2014-08-02,49,5.0
2014-05-14,8,5.0
2014-07-30,45,5.0
2016-03-23,45,5.0
2013-05-15,46,5.0
2013-08-18,3,5.0
2015-08-08,3,5.0
2017-06-30,3,5.0
2014-08-11,47,6.0
2014-10-07,47,6.0
2017-03-15,47,6.0
2017-04-12,47,6.0
2017-07-11,47,6.0
2015-04-16,44,6.0
2015-09-28,44,6.0
2014-04-26,3,6.0
2015-08-24,45,6.0
2013-06-22,48,6.0
2014-01-03,46,6.0
2016-12-02,49,6.0
2014-04-06,50,6.0
2016-12-31,25,6.0
2014-07-27,46,7.0
2016-03-20,46,7.0
2013-02-02,48,7.0
2015-09-27,47,8.0
2017-03-18,47,8.0
2013-12-27,46,8.0
2016-03-06,46,8.0
2016-10-09,45,8.0
2016-12-17,45,9.0
2015-08-30,44,9.0
2015-01-06,23,1.0
2015-03-19,23,1.0
2013-07-15,12,1.0
2013-09-17,12,1.0
2014-09-25,12,1.0
2015-03-09,12,1.0
2016-05-19,12,1.0
2017-02-26,12,1.0
2017-08-15,12,1.0
2013-03-19,33,1.0
2013-11-29,33,1.0
2014-02-27,33,1.0
2014-11-11,33,1.0
2016-02-17,33,1.0
2016-07-31,33,1.0
2016-10-29,33,1.0
2017-08-08,33,1.0
2013-02-10,19,1.0
2013-04-15,19,1.0
2013-09-27,19,1.0
2014-04-23,19,1.0
2015-09-17,19,1.0
2015-10-13,19,1.0
2015-12-16,19,1.0
2013-06-16,36,1.0
2014-03-26,36,1.0
2014-12-06,36,1.0
2015-11-18,36,1.0
2016-02-16,36,1.0
2014-02-02,41,1.0
2014-07-01,41,1.0
2015-01-15,41,1.0
2015-09-27,41,1.0
2016-12-07,41,1.0
2014-03-05,28,1.0
2015-10-28,28,1.0
2016-05-26,28,1.0
2016-06-28,28,1.0
2016-11-04,28,1.0
2017-07-06,28,1.0
2013-02-05,10,1.0
2013-12-29,10,1.0
2014-02-13,10,1.0
2014-10-08,10,1.0
2015-12-19,10,1.0
2016-08-30,10,1.0
2017-06-01,10,1.0
2017-08-12,10,1.0
2015-06-16,43,1.0
2015-09-14,43,1.0
2017-07-19,43,1.0
2014-09-07,40,1.0
2016-05-27,40,1.0
2013-07-14,15,1.0
2014-09-24,15,1.0
2013-02-12,13,1.0
2013-06-10,13,1.0
2014-01-25,13,1.0
2014-10-07,13,1.0
2015-02-02,13,1.0
2015-05-03,13,1.0
2015-12-18,13,1.0
2016-02-10,13,1.0
2013-07-18,31,1.0
2015-03-12,31,1.0
2016-02-22,31,1.0
2017-05-12,31,1.0
2013-02-15,17,1.0
2013-05-16,17,1.0
2014-05-06,17,1.0
2015-05-06,17,1.0
2017-03-10,17,1.0
2014-01-30,39,1.0
2015-09-24,39,1.0
2015-10-20,39,1.0
2015-01-09,14,1.0
2016-05-22,14,1.0
2016-09-30,14,1.0
2013-11-21,5,1.0
2015-08-11,5,1.0
2017-05-07,5,1.0
2017-07-31,5,1.0
2013-06-09,16,1.0
2013-08-20,16,1.0
2015-05-10,29,1.0
2015-07-21,29,1.0
2016-04-21,29,1.0
2014-08-11,54,1.0
2016-01-23,54,1.0
2016-04-30,54,1.0
2013-06-19,27,1.0
2014-12-14,53,1.0
2015-07-31,53,1.0
2017-04-08,53,1.0
2017-07-20,53,1.0
2017-08-15,53,1.0
2015-10-19,42,1.0
2015-11-16,42,1.0
2015-12-30,42,1.0
2017-07-10,42,1.0
2017-01-08,21,1.0
2014-11-25,4,1.0
2015-02-05,4,1.0
2016-09-29,4,1.0
2016-10-17,4,1.0
2016-09-27,38,1.0
2013-09-07,1,1.0
2014-05-03,26,1.0
2016-11-06,22,1.0
2016-12-04,22,1.0
2016-12-30,22,1.0
2017-06-11,29,2.0
2017-01-15,53,2.0
2013-02-22,49,2.0
2013-11-03,24,2.0
2015-06-13,19,2.0
2013-08-31,28,2.0
2017-07-10,20,2.0
2016-01-27,9,2.0
2013-03-22,43,2.0
2017-01-14,43,2.0
2017-08-13,43,2.0
2013-03-21,18,2.0
2014-07-10,18,2.0
2017-04-13,18,2.0
2014-03-05,40,2.0
2016-08-06,40,2.0
2017-07-17,40,2.0
2014-09-03,15,2.0
2013-01-13,31,2.0
2013-12-26,31,2.0
2014-09-07,31,2.0
2015-08-20,31,2.0
2016-04-27,2,2.0
2016-06-30,2,2.0
2016-07-26,2,2.0
2014-11-01,17,2.0
2016-09-05,17,2.0
2017-04-04,17,2.0
2014-02-28,14,2.0
2014-07-07,14,2.0
2015-03-22,39,2.0
2016-12-09,39,2.0
2013-05-19,5,2.0
2015-02-06,5,2.0
2016-04-02,27,2.0
2016-04-28,27,2.0
2017-01-10,27,2.0
2013-03-05,1,2.0
2013-04-18,1,2.0
2015-04-08,1,2.0
2015-12-19,1,2.0
2016-08-04,1,2.0
2016-09-01,1,2.0
2016-09-27,1,2.0
2013-02-12,38,2.0
2014-03-10,38,2.0
2016-03-25,38,2.0
2016-12-05,38,2.0
2014-03-25,6,2.0
2015-08-19,6,2.0
2015-09-14,6,2.0
2016-11-24,6,2.0
2013-09-20,7,2.0
2013-12-01,7,2.0
2014-08-02,7,2.0
2015-11-21,7,2.0
2016-03-26,7,2.0
2017-04-03,7,2.0
2017-08-10,7,2.0
2014-01-25,4,2.0
2014-04-25,4,2.0
2014-05-23,4,2.0
2015-01-07,4,2.0
2015-02-02,4,2.0
2016-03-27,4,2.0
2016-12-07,4,2.0
2013-10-04,51,2.0
2013-10-30,51,2.0
2014-06-16,51,2.0
2014-07-14,51,2.0
2015-03-26,51,2.0
2013-01-16,32,0.0
2013-05-14,32,0.0
2013-10-26,32,0.0
2015-01-06,32,0.0
2015-02-01,32,0.0
2016-01-14,32,0.0
2016-09-25,32,0.0
2017-04-11,32,0.0
2017-07-05,32,0.0
2013-08-25,30,0.0
2014-03-24,30,0.0
2014-11-08,30,0.0
2016-04-26,30,0.0
2013-02-12,35,0.0
2013-03-10,35,0.0
2014-05-21,35,0.0
2014-11-02,35,0.0
2016-01-13,35,0.0
2013-03-13,26,0.0
2014-02-23,26,0.0
2014-03-21,26,0.0
2014-05-24,26,0.0
2014-11-05,26,0.0
2015-02-03,26,0.0
2015-03-03,26,0.0
2015-10-18,26,0.0
2015-11-13,26,0.0
2016-06-29,26,0.0
2017-01-23,26,0.0
2017-07-07,26,0.0
2013-05-24,54,0.0
2013-06-21,54,0.0
2015-03-11,54,0.0
2015-10-26,54,0.0
2016-10-07,54,0.0
2016-11-02,54,0.0
2017-06-19,54,0.0
2015-04-07,25,0.0
2015-05-10,25,0.0
2016-06-17,25,0.0
2016-02-23,16,0.0
2013-12-13,13,0.0
2014-07-30,13,0.0
2014-10-28,13,0.0
2015-11-05,13,0.0
2016-07-17,13,0.0
2016-08-14,13,0.0
2017-06-29,13,0.0
2016-08-29,22,0.0
2016-09-24,22,0.0
2016-10-22,22,0.0
2017-06-08,22,0.0
2017-07-04,22,0.0
2014-06-10,53,0.0
2014-07-08,53,0.0
2014-10-06,53,0.0
2015-06-18,53,0.0
2016-03-27,53,0.0
2015-04-30,10,0.0
2016-06-22,10,0.0
2017-06-30,10,0.0
2013-11-25,41,0.0
2014-01-21,41,0.0
2013-10-16,36,0.0
2016-04-17,5,0.0
2015-05-13,29,0.0
2015-12-19,5,3.0
2013-12-27,43,3.0
2016-04-19,17,3.0
2017-04-04,8,3.0
2015-03-03,20,3.0
2015-10-18,20,3.0
2016-08-21,27,3.0
2015-10-26,48,3.0
2013-11-29,49,3.0
2014-08-11,49,3.0
2013-07-21,38,3.0
2014-04-02,38,3.0
2016-12-30,38,3.0
2014-01-13,7,3.0
2015-12-14,7,3.0
2016-04-18,7,3.0
2017-03-31,7,3.0
2014-03-22,6,3.0
2015-11-14,6,3.0
2013-10-23,50,3.0
2013-11-20,50,3.0
2015-07-15,50,3.0
2016-06-06,50,3.0
2013-05-19,24,3.0
2014-03-24,24,3.0
2014-11-08,24,3.0
2015-06-04,24,3.0
2016-01-19,24,3.0
2016-02-14,24,3.0
2016-04-26,24,3.0
2014-08-28,11,3.0
2016-08-17,11,3.0
2016-10-28,11,3.0
2017-07-10,11,3.0
2015-11-11,2,3.0
2015-03-12,34,3.0
2016-11-03,34,3.0
2016-11-29,34,3.0
2015-06-09,9,3.0
2013-01-21,8,4.0
2013-05-19,8,4.0
2015-01-11,8,4.0
2015-02-24,8,4.0
2017-07-28,8,4.0
2014-07-16,48,4.0
2015-06-08,48,4.0
2016-08-18,48,4.0
2017-03-17,48,4.0
2015-06-04,49,4.0
2015-06-30,49,4.0
2013-04-02,11,4.0
2013-07-01,11,4.0
2014-08-06,11,4.0
2015-04-18,11,4.0
2016-03-02,11,4.0
2016-12-10,11,4.0
2013-02-28,34,4.0
2013-09-11,24,4.0
2015-09-01,24,4.0
2016-05-13,24,4.0
2013-05-10,50,4.0
2016-01-25,3,4.0
2013-03-03,38,4.0
2014-10-26,38,4.0
2013-06-11,45,4.0
2015-05-31,20,4.0
2016-12-23,4,5.0
2017-01-02,11,5.0
2014-01-25,50,5.0
2014-03-30,50,5.0
2013-01-10,47,5.0
2013-01-18,47,5.0
2016-06-21,47,5.0
2017-01-03,49,5.0
2014-04-26,8,5.0
2015-01-06,8,5.0
2015-10-16,8,5.0
2016-12-26,8,5.0
2017-01-21,8,5.0
2014-04-14,3,5.0
2015-03-10,47,6.0
2015-11-20,47,6.0
2013-03-21,44,6.0
2015-10-26,44,6.0
2013-11-23,48,6.0
2016-09-11,49,6.0
2013-03-10,48,7.0
2017-04-02,48,7.0
2015-07-03,47,7.0
2017-02-24,47,7.0
2014-09-14,45,8.0
2015-12-31,45,8.0
2013-12-30,45,9.0
2013-07-20,44,8.0
2015-08-23,44,8.0
2015-11-28,44,9.0
2016-10-19,44,7.0
2014-09-07,23,1.0
2015-06-17,23,1.0
2016-05-01,23,1.0
2016-05-29,23,1.0
2017-02-08,23,1.0
2013-08-20,12,1.0
2015-08-10,12,1.0
2015-12-17,12,1.0
2016-04-21,12,1.0
2017-07-02,12,1.0
2013-07-23,33,1.0
2014-05-02,33,1.0
2014-09-08,33,1.0
2017-05-10,33,1.0
2013-03-18,19,1.0
2014-05-29,19,1.0
2015-11-18,19,1.0
2014-06-09,36,1.0
2015-11-26,36,1.0
2017-03-13,36,1.0
2017-07-20,36,1.0
2014-03-02,41,1.0
2016-11-01,41,1.0
2017-07-14,41,1.0
2013-09-21,28,1.0
2014-08-06,28,1.0
2015-03-05,28,1.0
2015-04-18,28,1.0
2016-01-26,28,1.0
2016-03-30,28,1.0
2016-05-23,28,1.0
2017-02-02,28,1.0
2017-04-07,28,1.0
2013-07-17,10,1.0
2014-08-25,10,1.0
2014-12-29,10,1.0
2015-05-07,10,1.0
2017-07-15,10,1.0
2013-05-21,43,1.0
2015-06-24,43,1.0
2016-01-21,43,1.0
2017-02-15,43,1.0
2013-11-28,40,1.0
2014-08-10,40,1.0
2013-08-11,15,1.0
2014-07-04,15,1.0
2016-02-26,15,1.0
2017-03-05,15,1.0
2013-08-18,18,1.0
2013-10-21,18,1.0
2014-10-29,18,1.0
2015-06-15,18,1.0
2015-07-11,18,1.0
2015-08-08,18,1.0
2016-06-22,18,1.0
2013-03-12,13,1.0
2013-08-24,13,1.0
2015-08-14,13,1.0
2014-01-27,31,1.0
2016-09-28,31,1.0
2013-04-10,17,1.0
