date,store_nbr,item_nbr,unit_sales,onpromotion
2014-11-21,14,1057033,14.0,0.0
2013-06-04,50,827911,3.0,2.0
2014-07-28,5,1463860,54.0,0.0
2015-10-18,49,1147495,47.0,0.0
2016-11-22,40,1171142,2.0,0.0
2016-04-19,50,1392261,6.0,1.0
2015-11-09,51,1047733,3.0,0.0
2015-12-20,14,305234,6.0,0.0
2015-01-17,18,1306196,1.0,0.0
2017-02-05,44,1354711,41.0,0.0
2017-06-20,46,368624,1.0,0.0
2016-01-17,43,1457835,9.0,0.0
2017-01-31,49,886396,6.0,0.0
2015-10-14,12,314384,22.0,0.0
2015-01-05,17,627263,7.0,0.0
2017-04-04,8,413987,5.0,0.0
2015-10-14,31,2011200,3.0,0.0
2015-10-04,30,1333224,1.0,0.0
2015-07-21,9,671062,6.0,0.0
2016-12-29,11,315180,5.0,0.0
2015-08-02,36,1321497,18.0,1.0
2013-01-08,39,153395,1.0,2.0
2014-12-14,15,1239869,2.14,0.0
2016-07-01,53,1466286,26.0,0.0
2016-09-16,9,2010359,3.0,0.0
2014-04-25,44,668754,4.0,0.0
2015-08-26,34,1464239,2.0,0.0
2017-04-23,44,1033395,31.0,0.0
2014-07-15,10,1243815,2.0,0.0
2016-02-16,6,1349808,3.0,0.0
2014-09-15,50,1695816,4.0,0.0
2017-08-06,38,844017,2.0,0.0
2015-11-02,21,1464133,3.0,0.0
2016-12-24,44,2001632,3.0,0.0
2015-09-06,18,959502,16.0,0.0
2016-08-26,7,813769,1.0,0.0
2014-08-08,34,683721,6.0,0.0
2015-07-31,11,1229469,1.0,0.0
2014-01-04,49,162066,2.0,2.0
2016-09-09,51,641627,1.0,0.0
2017-01-04,49,981655,1.0,0.0
2013-06-19,4,368260,4.0,2.0
2016-03-26,41,1949872,1.0,0.0
2013-07-06,30,757888,1.0,2.0
2016-06-05,15,1584365,1.0,0.0
2016-09-06,21,1464076,1.0,0.0
2017-02-28,22,2048358,2.0,0.0
2016-09-15,17,1473486,0.921,0.0
2015-10-20,37,1686650,14.0,0.0
2016-05-04,37,1939424,12.0,0.0
2015-04-21,1,843585,9.0,0.0
2016-04-09,45,1354384,31.0,1.0
2017-03-26,19,1998945,5.0,0.0
2015-07-06,11,1106968,6.0,0.0
2014-06-06,16,414752,2.0,0.0
2016-03-02,46,1322479,2.0,0.0
2016-02-21,24,1660188,9.0,0.0
2016-01-23,45,1946325,1.0,0.0
2016-07-26,20,564288,38.0,0.0
2017-02-15,5,1018617,4.0,0.0
2017-01-28,12,1229025,4.0,1.0
2016-04-20,46,758861,9.0,0.0
2016-09-30,29,2010676,1.0,0.0
2014-07-23,38,363889,8.0,0.0
2016-09-03,16,214860,6.0,1.0
2014-10-31,49,258537,1.0,0.0
2016-08-22,28,1463783,4.0,0.0
2016-11-15,39,1958249,5.0,0.0
2013-05-03,27,844019,1.317,2.0
2017-01-11,48,1047679,53.0,1.0
2016-05-15,47,849098,10.0,0.0
2016-02-29,11,1430041,2.0,0.0
2014-09-26,12,1447815,13.0,0.0
2014-02-22,30,1047394,4.0,2.0
2017-04-30,16,260628,7.0,1.0
2016-05-02,54,841583,4.0,1.0
2014-10-25,12,463901,7.0,0.0
2017-01-27,6,1464066,1.0,0.0
2015-10-17,17,302997,2.0,0.0
2013-03-23,43,314393,7.0,2.0
2016-05-26,23,215356,3.0,0.0
2016-11-23,38,378685,1.0,0.0
2015-10-15,54,319093,1.0,0.0
2016-03-05,8,1309297,24.0,0.0
2017-01-08,7,847569,1.0,0.0
2013-12-12,7,795612,6.0,2.0
2013-06-16,26,428054,4.0,2.0
2014-03-17,26,1457338,3.0,2.0
2017-03-18,48,1012788,4.0,0.0
2016-12-09,41,1917879,4.0,0.0
2015-05-12,47,1354713,9.0,0.0
2017-05-10,12,1958216,31.0,1.0
2015-07-14,27,507478,12.0,0.0
2014-09-16,49,426155,32.0,0.0
2016-09-13,44,765517,3.0,1.0
2013-12-23,16,357996,6.0,2.0
2013-04-08,48,813167,2.0,2.0
2017-08-14,39,502230,1.0,0.0
2015-09-13,3,1157462,38.0,0.0
2016-06-11,54,1161046,3.0,0.0
2016-12-21,27,2028404,66.0,1.0
2014-04-24,6,1143685,68.0,0.0
2014-10-11,17,622958,8.0,0.0
2015-08-11,2,409738,5.0,0.0
2015-10-05,18,903284,37.484,0.0
2015-01-02,32,310790,9.0,0.0
2015-06-20,29,371438,3.0,0.0
2016-04-30,27,1239791,4.0,1.0
2013-08-28,51,563966,18.0,2.0
2015-09-01,41,1105215,1.0,0.0
2015-10-14,23,1457012,6.0,0.0
2013-06-27,15,1070962,4.0,2.0
2014-07-26,11,1076335,3.0,0.0
2013-11-11,35,736128,2.0,2.0
2016-10-11,48,2026683,7.0,0.0
2015-03-11,36,1239871,3.773,0.0
2014-11-01,48,830829,15.0,0.0
2015-03-09,12,514327,6.0,0.0
2016-02-16,43,1084437,1.0,0.0
2017-04-16,51,637016,2.0,0.0
2016-06-02,44,564287,193.0,0.0
2015-09-04,30,1046272,1.0,0.0
2016-07-17,18,1354711,5.0,0.0
2017-08-13,45,358519,16.0,0.0
2014-09-03,48,507478,1.0,0.0
2014-03-30,23,686036,3.0,2.0
2014-10-15,9,750857,2.0,0.0
2016-01-04,17,1660260,1.0,0.0
2013-12-27,45,153395,7.0,2.0
2016-12-17,53,938570,1.0,0.0
2017-02-05,47,1575237,4.0,0.0
2015-12-27,23,1473393,15.57,0.0
2017-01-19,50,1970207,1.0,0.0
2017-08-11,7,1642401,7.0,0.0
2014-03-27,51,583795,6.108,2.0
2017-01-15,41,1239812,7.0,0.0
2017-01-20,29,519560,0.6159999999999999,1.0
2013-08-26,33,1105210,13.0,2.0
2013-01-28,7,165594,12.0,2.0
2016-08-31,2,1908028,36.0,1.0
2017-08-14,43,502067,2.0,0.0
2015-09-19,10,1370572,16.0,0.0
2014-11-21,30,502227,2.0,0.0
2017-05-02,50,158842,4.0,0.0
2013-03-01,17,868529,16.0,2.0
2017-03-31,41,913967,3.0,0.0
2014-10-20,3,740728,12.0,0.0
2016-06-25,20,2011259,4.0,0.0
2017-04-15,11,407542,13.0,0.0
2016-10-23,7,913363,24.0,0.0
2017-04-28,37,229368,2.0,0.0
2016-05-05,36,1284221,1.0,0.0
2017-01-16,1,1239897,25.233,0.0
2016-12-21,21,1463881,36.0,0.0
2016-08-02,50,1492315,1.0,0.0
2013-06-02,6,1047756,20.0,2.0
2016-12-11,44,2011148,1.0,0.0
2016-11-04,19,1576314,2.0,0.0
2016-05-25,47,1949872,2.0,0.0
2015-01-10,13,265700,3.0,0.0
2017-04-26,19,843462,1.0,0.0
2014-11-06,26,1239791,1.0,0.0
2016-07-11,16,1914277,4.0,0.0
2017-02-03,47,1454708,7.0,1.0
2016-04-11,28,805311,1.0,0.0
2015-09-18,11,414421,16.0,1.0
2015-10-03,26,844019,1.25,0.0
2013-11-26,45,276560,2.0,2.0
2015-12-28,13,1457182,8.0,0.0
2015-10-13,11,1463620,1.0,0.0
2014-04-19,12,211203,2.0,0.0
2013-11-20,7,895291,13.08,2.0
2014-03-16,45,508069,3.0,2.0
2015-09-23,18,812757,6.0,0.0
2015-07-22,23,1146648,3.0,0.0
2017-07-18,40,2061033,1.0,1.0
2014-05-23,46,946671,9.0,0.0
2016-03-20,1,1719504,1.138,0.0
2016-08-31,24,1686685,22.0,1.0
2014-06-09,35,830829,3.0,0.0
2015-12-12,30,1958210,1.0,0.0
2013-08-05,36,554145,1.0,2.0
2016-06-10,40,1958202,5.0,0.0
2013-07-26,46,1047753,27.0,2.0
2016-04-05,20,1441517,3.0,0.0
2014-07-21,45,1463566,8.0,0.0
2016-04-27,53,1576262,3.0,0.0
2016-01-04,29,123927,1.0,0.0
2017-03-30,22,575675,1.0,0.0
2016-11-21,36,1083517,1.0,0.0
2014-02-08,6,1037845,14.0,2.0
2017-08-12,3,563966,1.0,0.0
2017-04-26,21,1967566,9.0,0.0
2014-06-20,38,582864,48.501,1.0
2013-11-09,33,1121616,7.0,2.0
2017-05-25,50,1463801,9.0,0.0
2013-02-25,41,732006,6.0,2.0
2014-06-19,49,158956,4.0,0.0
2017-04-18,29,1975598,2.0,0.0
2013-06-03,50,411487,6.0,2.0
2014-06-28,2,658609,3.0,0.0
2016-02-28,51,1146803,4.0,0.0
2015-03-11,40,1342007,1.0,0.0
2017-02-25,9,805310,29.0,0.0
2014-01-24,49,1696007,44.463,2.0
2016-06-10,26,1958187,1.0,0.0
2017-07-02,26,1239845,1.0,0.0
2016-08-01,38,1463899,7.0,0.0
2013-12-31,1,1229023,1.0,2.0
2016-01-09,50,699693,5.74,0.0
2014-03-09,19,700609,1.0,2.0
2016-02-22,42,1463936,3.0,0.0
2015-08-20,38,1576325,1.0,0.0
2015-08-29,42,838406,3.0,0.0
2015-04-03,25,828204,21.0,0.0
2016-11-14,16,1456931,1.0,0.0
2015-01-13,19,793341,2.0,0.0
2013-10-08,49,1064018,7.0,2.0
2017-07-16,25,1312957,1.0,0.0
2016-05-26,46,2010282,1.0,0.0
2017-04-02,15,586911,1.0,0.0
2015-04-17,43,326951,5.0,0.0
2013-02-25,8,368628,14.0,2.0
2014-12-14,25,321798,1.0,0.0
2016-09-11,23,619969,5.0,0.0
2015-02-03,46,671039,6.0,0.0
2016-01-20,22,364724,2.0,0.0
2017-04-08,8,795610,9.0,0.0
2013-11-10,24,246052,2.0,2.0
2014-06-05,5,740722,5.0,0.0
2016-07-01,49,1309246,109.0,0.0
2015-03-11,16,517906,5.0,0.0
2015-02-27,1,1243803,3.0,0.0
2014-01-13,15,732006,1.0,2.0
2014-04-10,28,326951,1.0,0.0
2017-05-13,48,1047774,2.0,0.0
2016-05-28,26,1967566,4.0,0.0
2016-02-29,16,1239815,7.0,0.0
2016-07-31,49,121964,1.0,0.0
2014-10-21,25,119026,6.0,0.0
2014-09-29,40,1695879,9.269,0.0
2014-04-09,7,985823,7.0,0.0
2013-02-20,2,564274,1.0,2.0
2017-02-26,9,208498,2.0,0.0
2016-02-05,7,129297,1.0,0.0
2015-12-23,43,767184,10.0,0.0
2014-03-22,10,428488,1.0,2.0
2017-06-26,36,2001183,1.0,0.0
2013-02-10,16,407500,8.0,2.0
2016-07-05,35,114790,1.0,0.0
2015-11-19,47,740729,8.0,0.0
2016-12-14,32,329365,1.0,0.0
2013-02-07,27,740713,2.0,2.0
2017-08-04,13,1427659,6.0,0.0
2017-02-14,36,1304490,1.0,0.0
2016-07-04,37,1254310,5.0,0.0
2017-02-07,34,987769,3.0,0.0
2017-03-22,40,457688,15.0,0.0
2015-09-18,30,258376,5.0,0.0
2015-05-25,16,215332,4.0,0.0
2013-09-07,4,860548,2.0,2.0
2017-06-21,48,1575223,1.0,0.0
2016-01-07,19,302824,1.0,0.0
2015-02-09,23,557256,4.0,0.0
2017-04-17,51,1239785,1.0,0.0
2017-08-08,15,323921,4.0,0.0
2015-10-24,9,849142,8.0,0.0
2016-10-10,31,413986,3.0,0.0
2015-02-07,16,1354389,1.0,0.0
2017-03-27,44,417835,3.0,0.0
2013-05-11,5,881911,3.0,2.0
2014-10-04,47,264452,22.0,0.0
2017-05-11,21,513855,5.0,1.0
2014-01-07,3,1324667,5.0,2.0
2015-12-31,24,1239890,15.466,0.0
2014-09-30,38,111223,23.0,0.0
2016-07-18,44,847863,5.0,0.0
2015-01-10,1,257847,3.0,0.0
2014-04-04,25,1239905,2.0,0.0
2015-12-09,6,417765,14.0,0.0
2016-03-24,20,1929797,10.0,0.0
2017-03-21,27,844019,2.022,0.0
2014-12-27,49,464374,104.0,0.0
2015-04-06,40,872308,16.0,0.0
2014-12-17,15,1463770,3.0,0.0
2014-07-20,18,1146803,5.0,0.0
2016-01-09,45,1239890,6.132,0.0
2015-04-18,7,584028,59.017,0.0
2016-03-30,46,813167,13.0,0.0
2016-12-18,42,849095,4.0,0.0
2017-03-21,6,1463998,2.0,0.0
2016-03-04,38,108797,6.0,0.0
2013-01-10,50,856687,34.0,2.0
2014-03-05,49,315220,21.0,2.0
2016-06-08,38,1091365,1.0,0.0
2015-10-05,41,414478,3.0,0.0
2015-06-06,41,1693644,3.0,0.0
2016-04-10,18,1146786,13.0,0.0
2017-08-13,37,1973454,4.0,0.0
2014-12-30,19,362548,23.0,0.0
2015-07-03,3,870544,7.0,0.0
2017-07-15,35,464339,3.0,0.0
2017-06-02,28,1146800,9.0,1.0
2016-12-23,50,1457948,6.0,0.0
2013-04-28,26,1105214,15.0,2.0
2016-12-30,4,1243805,1.0,0.0
2016-06-25,51,1167175,3.0,0.0
2016-04-18,18,1047396,2.0,0.0
2014-11-14,18,1575231,1.0,0.0
2017-03-19,48,953404,1.0,0.0
2013-10-15,47,1089843,13.0,2.0
2014-07-02,27,1239858,10.283,0.0
2016-07-30,26,1642398,5.675,0.0
2014-10-01,7,459804,3.0,0.0
2014-05-21,12,651326,1.0,0.0
2016-03-21,45,1695931,19.305,0.0
2017-06-09,19,568133,3.0,0.0
2013-08-19,48,1089820,3.0,2.0
2017-01-19,50,1456922,3.0,0.0
2015-07-18,48,1166475,52.0,0.0
2015-03-25,2,881911,9.0,0.0
2014-12-08,19,209085,5.0,0.0
2013-10-24,54,1089846,5.0,2.0
2015-05-08,6,115892,5.0,0.0
2017-04-06,23,581742,1.0,0.0
2015-08-17,3,1463994,29.0,0.0
2017-03-22,44,938659,1.0,0.0
2015-06-15,43,1179119,2.0,0.0
2017-08-01,39,1243815,2.0,0.0
2015-08-21,24,129297,6.0,0.0
2016-01-16,44,1082391,3.0,0.0
2017-06-28,33,1972138,1.0,1.0
2015-11-26,9,1463805,2.0,0.0
2017-01-05,40,1999775,4.0,0.0
2017-04-21,52,1463800,3.0,0.0
2015-04-02,30,354922,1.0,0.0
2017-06-15,47,1916578,1.0,0.0
2015-03-26,11,1410850,1.0,0.0
2017-01-16,28,938566,16.0,0.0
2016-09-20,53,679602,13.0,0.0
2016-10-08,21,1229584,1.0,0.0
2016-05-31,15,1696008,17.2,1.0
2017-02-12,8,741201,23.0,0.0
2015-01-23,43,265279,50.0,0.0
2015-07-17,43,829658,2.0,0.0
2016-09-04,4,1046272,4.0,0.0
2015-07-15,1,1458849,2.0,0.0
2016-01-25,32,1281253,1.0,0.0
2016-04-21,21,1309246,22.0,0.0
2013-04-14,7,954796,1.0,2.0
2017-04-07,6,305081,4.0,0.0
2016-06-13,30,1313223,3.0,1.0
2017-05-19,37,1464188,5.0,0.0
2015-06-28,36,205486,2.0,0.0
2013-12-24,27,270522,1.0,2.0
2015-01-14,49,795611,6.0,0.0
2016-01-05,44,1473483,31.025,0.0
2016-02-16,1,310647,3.0,0.0
2015-10-07,27,1398687,2.0,0.0
2017-07-05,45,1317096,3.0,0.0
2016-05-17,16,1165988,1.0,0.0
2016-12-03,27,212552,1.0,0.0
2017-08-01,40,1309856,1.0,0.0
2014-06-01,48,1239918,40.0,0.0
2013-04-14,25,584027,2.892,2.0
2015-07-30,6,886398,8.0,0.0
2015-12-08,45,2011200,3.0,0.0
2016-11-26,41,1958179,1.0,0.0
2013-03-17,38,456870,2.0,2.0
2017-08-14,39,584126,30.269,0.0
2015-07-04,38,1422036,3.0,0.0
2014-02-15,2,819195,11.0,2.0
2014-12-07,45,671055,4.0,0.0
2016-12-10,34,1909748,2.0,0.0
2016-01-15,35,368628,4.0,0.0
2014-05-25,54,557285,14.0,0.0
2015-12-31,49,937953,2.0,0.0
2016-06-26,48,1345068,11.0,0.0
2016-05-15,5,1285150,2.0,0.0
2015-02-08,47,1239844,26.0,0.0
2014-03-24,24,559494,15.0,2.0
2014-02-03,46,162066,10.0,2.0
2014-03-10,44,1084437,3.0,2.0
2014-08-23,11,885543,3.0,0.0
2016-11-23,41,1466827,1254.0,0.0
2016-02-10,34,1328672,10.0,0.0
2017-07-09,39,371434,2.0,0.0
2016-06-02,9,1962621,175.0,0.0
2015-10-27,51,679602,1.0,0.0
2013-07-24,51,1089844,8.0,2.0
2015-08-10,33,1576317,1.0,0.0
2014-12-10,33,1464218,5.0,1.0
2016-06-09,12,1347810,1.0,0.0
2013-02-24,50,1047758,16.0,2.0
2016-02-06,5,847859,11.0,0.0
2017-07-17,10,1457231,6.0,0.0
2016-10-06,22,1229576,1.0,0.0
2014-01-13,7,459801,7.0,2.0
2016-12-01,1,1489897,9.0,0.0
2017-06-15,22,1943149,2.0,0.0
2016-11-15,28,1463810,407.0,1.0
2016-05-21,2,1463591,3.0,0.0
2017-02-25,50,557286,1.0,0.0
2016-07-19,41,841842,13.0,1.0
2016-05-03,2,1309246,33.0,0.0
2016-08-19,42,1322479,6.0,0.0
2014-02-19,15,1246758,1.0,2.0
2016-04-26,51,929627,7.0,0.0
2015-02-10,10,1053945,1.0,0.0
2016-03-01,39,1463935,12.0,0.0
2014-03-29,41,584027,2.733,2.0
2014-05-20,47,308085,4.0,0.0
2017-07-31,24,1473484,22.862,0.0
2015-05-12,37,838215,11.0,0.0
2014-09-11,38,407769,11.0,0.0
2016-12-31,42,1696007,39.4,0.0
2014-03-21,4,833395,3.0,2.0
2017-07-29,16,513853,4.0,0.0
2017-05-12,44,559682,2.0,0.0
2015-04-08,44,419729,7.0,0.0
2014-04-09,2,852937,1.0,0.0
2014-10-30,26,1165988,2.0,0.0
2013-03-17,45,279494,8.0,2.0
2014-02-07,40,264305,20.0,2.0
2014-09-22,49,1584379,3.0,0.0
2014-01-15,19,1047790,11.0,2.0
2013-03-12,37,1075891,3.0,2.0
2017-07-13,17,106716,1.0,0.0
2017-01-08,51,1999969,9.0,0.0
2017-03-01,44,2018358,10.0,0.0
2016-07-23,42,1159597,1.0,0.0
2013-03-09,44,1070962,14.0,2.0
2015-11-02,14,940592,1.0,0.0
2016-09-26,6,575863,4.0,0.0
2016-01-31,32,564533,22.0,0.0
2016-07-14,39,1464210,4.0,0.0
2014-05-23,39,838875,4.0,0.0
2015-12-10,1,164036,4.0,0.0
2017-01-27,18,2028898,2.0,0.0
2013-01-25,5,361502,4.0,2.0
2015-12-26,37,1463587,7.0,0.0
2015-11-02,5,1159415,18.0,1.0
2016-02-21,10,1239792,4.0,0.0
2015-12-11,48,506717,1.0,0.0
2015-12-07,41,2011200,1.0,0.0
2016-03-22,53,1047695,1.0,0.0
2014-12-01,15,346065,1.0,0.0
2014-06-25,13,876225,1.0,0.0
2015-12-22,40,850388,59.046,0.0
2013-01-06,2,360704,3.0,2.0
2015-06-17,7,407499,16.0,0.0
2014-01-07,46,114799,1.0,2.0
2013-12-13,5,1235365,1.0,2.0
2016-04-09,13,1472453,3.0,0.0
2014-04-02,18,513855,2.0,0.0
2016-06-10,44,1463998,24.0,0.0
2013-08-21,13,567588,2.0,2.0
2017-07-27,5,1584575,16.0,0.0
2016-08-08,45,1963740,14.0,0.0
2013-08-10,5,557285,30.0,2.0
2016-01-09,12,805321,5.0,0.0
2014-02-11,7,1257555,4.0,2.0
2015-02-18,40,402175,3.0,0.0
2014-08-07,41,757888,5.0,0.0
2014-02-07,33,172343,15.0,2.0
2016-02-21,8,584188,6.827,0.0
2016-03-16,29,1696051,16.0,0.0
2013-08-11,6,165553,2.0,2.0
2015-12-28,36,1457340,3.0,0.0
2015-11-22,47,1255777,6.0,0.0
2017-04-08,12,1463812,2.0,0.0
2015-08-15,25,789904,5.0,0.0
2015-11-29,11,554144,8.0,0.0
2016-02-07,10,1464088,2.0,0.0
2014-05-23,47,1105213,4.0,0.0
2016-11-11,40,1345067,4.0,0.0
2016-10-27,2,938567,4.0,0.0
2015-09-28,37,1958171,2.0,0.0
2017-05-31,17,1354385,3.0,0.0
2013-11-28,11,468058,2.0,2.0
2017-03-18,41,1471956,1.0,0.0
2014-12-04,44,1091365,3.0,0.0
2016-01-18,38,1239867,7.448,0.0
2015-01-28,51,741922,1.0,0.0
2017-02-09,8,123602,2.0,0.0
2016-04-06,27,1239798,1.0,0.0
2014-03-06,40,464336,15.0,2.0
2015-06-03,37,212550,2.0,0.0
2015-01-29,3,1214325,1.0,0.0
2017-06-07,7,936341,4.0,0.0
2016-06-28,6,262358,3.0,0.0
2015-04-19,9,207857,7.0,0.0
2013-03-03,45,801934,4.0,2.0
2017-04-09,21,1037845,12.0,0.0
2015-05-22,53,988459,10.238,1.0
2015-08-23,31,557810,5.0,0.0
2017-03-06,16,1159415,9.0,0.0
2016-11-19,44,1001305,1.0,0.0
2014-09-21,47,464374,152.0,0.0
2016-04-14,16,1328672,11.0,0.0
2017-06-12,45,1352751,1.0,0.0
2015-08-20,49,799461,3.0,0.0
2016-11-17,6,115720,1.0,0.0
2015-09-06,32,1239820,2.0,0.0
2015-06-08,10,464333,12.0,0.0
2016-08-06,46,265254,36.0,1.0
2013-12-16,5,1081359,2.0,2.0
2016-01-17,28,2011155,14.0,0.0
2014-02-18,9,838216,11.0,2.0
2015-08-30,20,315180,8.0,0.0
2014-07-27,28,519718,11.0,0.0
2015-11-21,42,1038953,3.0,0.0
2015-11-07,16,1463773,2.0,0.0
2013-02-23,50,716958,1.0,2.0
2017-06-19,12,2033554,1.375,0.0
2014-03-27,47,759694,6.0,2.0
2016-02-23,9,1080021,17.0,1.0
2017-02-10,39,1418846,1.0,0.0
2014-10-26,2,1463769,12.0,0.0
2013-05-22,11,622958,17.0,2.0
2013-09-28,47,671684,8.0,2.0
2015-03-25,16,1243817,2.0,0.0
2014-03-04,46,103665,4.0,2.0
2014-03-01,17,1089045,4.0,2.0
2014-12-27,3,1089843,13.0,0.0
2015-05-29,1,967021,9.0,0.0
2015-08-08,54,162066,21.0,0.0
2014-05-17,32,417763,4.0,0.0
2016-05-05,8,913521,2.0,0.0
2014-06-16,18,1105214,1.0,0.0
2015-10-13,47,821186,6.0,0.0
2013-08-09,46,881912,15.0,2.0
2014-06-15,36,839363,31.0,0.0
2015-02-01,19,839367,7.0,0.0
2016-02-10,45,1457031,8.0,0.0
2017-02-14,2,454593,4.0,0.0
2017-04-05,6,838408,7.0,0.0
2016-05-02,5,913967,6.0,0.0
2015-07-20,2,584188,1.123,0.0
2017-03-07,18,828204,2.0,0.0
2015-09-26,54,1047743,1.0,0.0
2016-05-20,33,830625,15.0,0.0
2015-05-04,3,315463,10.0,0.0
2013-12-20,23,567623,3.0,2.0
2017-08-08,29,724403,3.0,0.0
2015-09-23,21,407500,6.0,0.0
2014-09-20,44,1457192,7.0,0.0
2016-05-20,21,264299,1.0,0.0
2017-04-24,44,668752,3.0,1.0
2014-06-16,40,1105228,22.0,0.0
2013-09-01,6,1089046,4.0,2.0
2016-02-07,36,939131,2.0,0.0
2017-04-06,41,1314409,7.0,0.0
