ORDERKEY,CUSTKEY,PARTKEY,SUPPKEY,ORDERDATE,REVENUE
98,205237,501539,2260,19940206,446
98,205237,553086,13706,19940206,652
99,10210,261342,15805,19920818,63
100,271439,186087,3134,19970615,199
100,271439,347935,8416,19970615,207
101,271831,354846,18542,19960319,884
101,271831,490000,18831,19960319,68
101,271831,415252,17401,19960319,59
101,271831,536246,13330,19960319,898
102,242206,266741,14556,19950715,412
102,242206,507714,15197,19950715,268
102,242206,546962,9951,19950715,81
102,242206,183474,15040,19950715,265
102,242206,246667,13988,19950715,298
102,242206,317181,10843,19950715,1019
103,30416,583973,15566,19951012,295
103,30416,31278,7538,19951012,444
103,30416,85292,1127,19951012,561
128,297053,320483,9444,19950623,1016
128,297053,146906,18258,19950623,849
128,297053,34898,16757,19950623,254
128,297053,324745,8200,19950623,710
128,297053,387557,14727,19950623,885
128,297053,57727,15674,19950623,634
129,255046,8601,5758,19921222,389
129,255046,555490,1801,19921222,517
129,255046,118332,5898,19921222,686
129,255046,405409,12928,19921222,845
129,255046,94118,16479,19921222,530
129,255046,231149,18038,19921222,154
130,127556,386447,4630,19951123,4
130,127556,5215,8728,19951123,133
130,127556,35578,2009,19951123,562
130,127556,346904,16455,19951123,823
130,127556,207388,13825,19951123,1020
130,127556,169420,7936,19951123,126
131,18160,502513,8520,19920327,641
132,101458,421346,7591,19960625,589
133,279287,310296,7966,19951110,401
133,279287,528837,18788,19951110,775
134,167605,1922,3540,19940428,498
134,167605,493935,12458,19940428,288
135,204341,324615,3472,19940917,478
135,204341,595031,17668,19940917,817
135,204341,472530,18550,19940917,558
135,204341,201013,7966,19940917,251
160,248030,44355,14836,19950628,389
160,248030,259146,7634,19950628,65
161,134110,308428,19133,19930626,628
161,134110,344177,298,19930626,207
161,134110,579058,3727,19930626,458
161,134110,219498,4655,19930626,944
161,134110,286439,12567,19930626,132
161,134110,371868,5126,19930626,281
162,67162,567864,10968,19930723,982
163,162418,502634,16457,19970108,744
163,162418,362106,215,19970108,21
163,162418,110453,5465,19970108,831
164,45962,273925,5810,19961024,134
164,45962,55464,12833,19961024,670
164,45962,376525,18260,19961024,19
164,45962,52576,9459,19961024,53
164,45962,442514,13587,19961024,374
164,45962,326686,1342,19961024,459
165,280991,99524,11669,19980720,459
165,280991,484880,17959,19980720,300
166,1153,194663,14276,19971220,511
166,1153,499096,90,19971220,760
167,163966,303512,376,19960521,635
167,163966,514665,6136,19960521,517
167,163966,368193,2594,19960521,896
167,163966,404883,1049,19960521,914
167,163966,254323,9529,19960521,924
167,163966,598972,13416,19960521,1017
167,163966,108187,6043,19960521,164
192,250889,291051,11916,19980329,634
192,250889,484104,19209,19980329,255
192,250889,330755,14728,19980329,349
192,250889,589198,18288,19980329,845
193,185710,277912,8844,19980104,699
193,185710,461861,16538,19980104,882
193,185710,281632,7499,19980104,913
193,185710,588946,11699,19980104,393
193,185710,201533,11569,19980104,541
194,9020,7780,6301,19960229,961
194,9020,550569,5642,19960229,410
194,9020,197980,19527,19960229,753
194,9020,435436,1984,19960229,408
195,88246,253769,14232,19960326,514
195,88246,281541,16820,19960326,592
195,88246,256338,5356,19960326,913
195,88246,256324,6152,19960326,528
195,88246,29807,15735,19960326,752
195,88246,557912,16163,19960326,565
196,245914,405155,14750,19920106,273
196,245914,29556,9182,19920106,875
196,245914,537618,11310,19920106,968
196,245914,334700,5724,19920106,676
197,258920,295480,6916,19930220,972
198,156040,168183,2908,19941224,520
198,156040,45686,5976,19941224,375
199,238769,396216,19281,19930811,140
199,238769,401993,4758,19930811,323
199,238769,280552,7313,19930811,357
199,238769,434810,19388,19930811,826
199,238769,448625,6110,19930811,622
199,238769,429488,18137,19930811,485
224,183142,450332,188,19950103,202
225,60967,515773,1673,19940819,41
225,60967,391694,15121,19940819,240
225,60967,594636,13431,19940819,210
226,142631,290725,6238,19921203,631
226,142631,413406,17292,19921203,352
226,142631,111925,18637,19921203,512
226,142631,121899,18358,19921203,828
227,187622,496003,19905,19920329,232
227,187622,522306,15553,19920329,872
227,187622,387863,18912,19920329,246
227,187622,403263,19354,19920329,570
227,187622,27950,1283,19920329,149
227,187622,541579,3320,19920329,408
227,187622,313335,10699,19920329,569
228,46465,12116,5281,19940811,92
229,15466,250740,14802,19970410,894
229,15466,386711,2539,19970410,358
229,15466,235577,3550,19970410,479
229,15466,530843,12596,19970410,555
229,15466,465540,11181,19970410,866
229,15466,316178,7161,19970410,426
229,15466,393048,8382,19970410,94
230,122819,557589,10911,19921226,590
230,122819,584722,7807,19921226,870
230,122819,22100,18418,19921226,181
231,217453,475067,37,19970312,931
231,217453,250075,15369,19970312,50
231,217453,594370,5853,19970312,673
231,217453,170279,3256,19970312,130
231,217453,467194,17459,19970312,930
231,217453,517958,10548,19970312,481
231,217453,519086,4078,19970312,675
256,114604,264697,7148,19941212,684
256,114604,355197,10567,19941212,989
257,124363,438685,3461,19960903,616
257,124363,163587,2195,19960903,185
257,124363,192261,16110,19960903,898
258,36542,318581,16905,19920505,685
258,36542,588356,17590,19920505,619
258,36542,485286,3443,19920505,467
258,36542,398734,5751,19920505,915
258,36542,107875,5647,19920505,64
258,36542,439399,6230,19920505,172
259,52324,296335,4757,19921010,371
259,52324,485945,7671,19921010,734
259,52324,70542,1632,19921010,789
259,52324,586005,18545,19921010,565
259,52324,576602,13074,19921010,248
259,52324,339826,19503,19921010,63
260,79738,467660,1432,19970220,576
260,79738,548208,2568,19970220,999
261,23771,4046,10187,19960622,422
261,23771,196985,1835,19960622,273
261,23771,521876,11386,19960622,882
262,216118,573558,1092,19931024,336
262,216118,180222,18896,19931024,974
262,216118,176085,15457,19931024,785
262,216118,258523,1236,19931024,128
263,174280,71879,8212,19931117,532
263,174280,253670,13646,19931117,770
263,174280,428673,15343,19931117,758
263,174280,501476,7302,19931117,907
263,174280,105998,10144,19931117,676
263,174280,99416,17670,19931117,641
288,199553,151922,18653,19940124,293
289,182086,519840,15737,19980703,287
289,182086,335399,17195,19980703,930
289,182086,50986,10524,19980703,960
289,182086,118317,8044,19980703,463
289,182086,138855,8854,19980703,92
289,182086,327514,7363,19980703,888
290,292318,16053,13057,19930515,1
290,292318,386768,5442,19930515,1
290,292318,5663,9262,19930515,490
290,292318,371221,5829,19930515,867
291,170324,367693,15579,19960609,378
291,170324,411947,2907,19960609,614
291,170324,182621,13227,19960609,231
291,170324,296292,16071,19960609,261
292,32941,460683,2952,19940914,33
292,32941,297747,2660,19940914,84
292,32941,217496,557,19940914,73
292,32941,238943,19882,19940914,53
293,138226,26880,15616,19971018,199
293,138226,559217,1528,19971018,287
293,138226,351801,18292,19971018,702
294,255020,178859,19019,19940128,449
294,255020,72883,8671,19940128,685
294,255020,328542,8637,19940128,814
295,10906,592520,5171,19920319,309
295,10906,274032,19170,19920319,108
295,10906,45849,6020,19920319,975
295,10906,181862,5135,19920319,278
295,10906,144019,7519,19920319,213
295,10906,114373,3247,19920319,701
295,10906,464772,9519,19920319,304
320,267241,13244,18046,19971128,666
320,267241,576472,7793,19971128,483
320,267241,549878,15434,19971128,851
320,267241,595107,18032,19971128,118
320,267241,555461,11545,19971128,300
320,267241,227704,1562,19971128,625
320,267241,206700,19319,19971128,175
321,192040,954,19413,19980501,546
321,192040,421298,11214,19980501,1010
321,192040,153806,391,19980501,411
321,192040,210223,18397,19980501,520
321,192040,415860,4365,19980501,6
322,213944,457496,10944,19930419,18
323,244739,490884,18546,19950528,357
323,244739,285407,7351,19950528,1020
323,244739,428175,1259,19950528,779
323,244739,534950,18374,19950528,653
323,244739,495408,7695,19950528,869
323,244739,111336,19184,19950528,544
323,244739,409687,431,19950528,876
324,17930,598425,13935,19970729,919
324,17930,525292,10103,19970729,9
324,17930,173780,4328,19970729,925
324,17930,504866,6120,19970729,723
324,17930,72225,5357,19970729,191
324,17930,85167,2734,19970729,986
324,17930,392151,4847,19970729,430
325,143206,476371,17159,19970427,538
325,143206,555415,8430,19970427,516
325,143206,56363,8696,19970427,339
325,143206,489529,18010,19970427,67
325,143206,309456,4739,19970427,642
326,248950,537280,12549,19941112,348
326,248950,58438,8297,19941112,292
326,248950,551215,14383,19941112,27
326,248950,254508,14147,19941112,538
326,248950,103628,13547,19941112,848
326,248950,470134,19276,19941112,47
326,248950,126402,5054,19941112,883
327,263,430507,18586,19930930,262
327,263,125145,9450,19930930,659
327,263,302949,5647,19930930,699
327,263,62230,4625,19930930,450
352,203656,191284,416,19960314,198
352,203656,97218,5636,19960314,1000
352,203656,127833,3282,19960314,799
352,203656,474287,10773,19960314,360
353,122563,357913,14880,19970817,251
353,122563,442626,3770,19970817,469
353,122563,402954,19346,19970817,813
353,122563,231211,11430,19970817,643
353,122563,350409,12460,19970817,567
354,115474,148438,5167,19950820,152
354,115474,581590,17270,19950820,51
354,115474,174375,4715,19950820,898
354,115474,320015,16408,19950820,232
354,115474,91580,2723,19950820,979
354,115474,183246,9958,19950820,1008
355,65215,341875,11826,19920330,306
355,65215,288090,17397,19920330,845
355,65215,518078,10715,19920330,680
356,155431,135642,985,19951104,771
356,155431,322387,11381,19951104,1009
357,224518,339428,2525,19920213,403
357,224518,557441,8340,19920213,241
357,224518,494420,13788,19920213,1009
357,224518,313447,1294,19920213,148
357,224518,98723,17902,19920213,197
357,224518,228421,16247,19920213,661
358,42457,570083,9611,19960321,718
359,163490,497938,371,19971122,887
384,61447,535324,10785,19970331,304
384,61447,190025,8335,19970331,672
384,61447,544504,11658,19970331,831
385,123598,499338,9426,19960913,1010
385,123598,159075,14479,19960913,860
385,123598,572202,18556,19960913,345
386,92089,457215,16507,19920308,354
387,38714,410000,13691,19970721,937
387,38714,458398,3918,19970721,178
387,38714,289176,13757,19970721,550
387,38714,167779,496,19970721,101
388,257236,97768,17220,19941221,810
388,257236,383424,1202,19941221,932
388,257236,193458,14586,19941221,143
388,257236,35823,10513,19941221,1009
388,257236,269676,9271,19941221,89
388,257236,30811,15344,19941221,1015
389,51403,567884,7697,19960130,911
389,51403,214730,12024,19960130,884
389,51403,565355,882,19960130,903
389,51403,311173,19203,19960130,169
389,51403,277670,13575,19960130,797
389,51403,597801,7622,19960130,6
389,51403,228389,12003,19960130,144
390,199384,319568,7389,19951214,863
391,25114,364756,11389,19930225,429
391,25114,253434,4628,19930225,586
391,25114,55980,8208,19930225,57
391,25114,46679,15634,19930225,751
391,25114,324273,10348,19930225,870
416,285676,280689,9745,19980628,578
417,129968,118678,4493,19940912,4
417,129968,207636,13255,19940912,914
418,62455,55656,9171,19930205,714
418,62455,3184,7732,19930205,63
418,62455,104487,8011,19930205,944
418,62455,506991,18664,19930205,342
419,248260,458071,12414,19930527,755
419,248260,192576,10426,19930527,239
419,248260,211485,9068,19930527,122
419,248260,26266,16198,19930527,977
419,248260,445202,11596,19930527,334
419,248260,498931,1890,19930527,340
420,74014,302653,10106,19951025,199
420,74014,483236,18401,19951025,1006
420,74014,142669,11221,19951025,300
421,146614,399209,3447,19930926,71
421,146614,296754,19334,19930926,572
421,146614,330790,11222,19930926,936
422,239762,455448,9774,19940828,81
422,239762,511997,5097,19940828,617
422,239762,527952,15158,19940828,148
422,239762,484866,18334,19940828,823
422,239762,535687,6660,19940828,662
422,239762,289592,14459,19940828,352
422,239762,566609,16953,19940828,125
423,79009,395670,13447,19940515,313
423,79009,219675,13259,19940515,291
423,79009,270770,11368,19940515,685
423,79009,419245,1470,19940515,66
423,79009,438475,9733,19940515,782
423,79009,243679,2435,19940515,545
423,79009,498351,13204,19940515,243
448,93499,375589,4060,19980501,49
448,93499,517076,16118,19980501,516
448,93499,80426,12685,19980501,375
449,35663,455723,12397,19940124,512
449,35663,325224,15873,19940124,186
449,35663,29945,1906,19940124,148
450,283922,484746,15801,19950513,20
450,283922,318893,3237,19950513,781
450,283922,427582,12140,19950513,813
450,283922,168801,16677,19950513,761
451,63206,388594,12375,19940524,428
451,63206,96083,12030,19940524,239
451,63206,258407,25,19940524,658
451,63206,229672,16226,19940524,666
452,521,343915,2949,19920513,718
452,521,365498,12548,19920513,869
453,40468,593749,10820,19960723,100
453,40468,525391,17901,19960723,987
453,40468,39430,10577,19960723,828
454,20339,352785,15178,19971215,834
454,20339,44679,15960,19971215,801
454,20339,311277,19487,19971215,794
455,132572,469453,19176,19950314,1001
455,132572,81689,964,19950314,34
455,132572,145078,12135,19950314,838
480,37247,156444,1087,19940727,421
480,37247,144653,551,19940727,155
480,37247,580167,106,19940727,696
480,37247,251837,10167,19940727,922
480,37247,208663,7984,19940727,556
480,37247,585287,5541,19940727,294
481,205717,55945,16550,19950417,437
482,284311,412029,763,19971205,332
482,284311,364145,19172,19971205,133
482,284311,183423,12354,19971205,165
482,284311,587477,853,19971205,911
482,284311,114645,13195,19971205,200
482,284311,236088,38,19971205,348
482,284311,130381,14064,19971205,858
483,290959,98081,7537,19950503,86
483,290959,239274,2577,19950503,1007
483,290959,263235,5856,19950503,817
483,290959,376938,992,19950503,958
484,147091,90397,14991,19980331,966
484,147091,95850,18760,19980331,7
484,147091,550051,7031,19980331,624
484,147091,494415,3013,19980331,483
484,147091,228922,14390,19980331,671
485,156079,448569,368,19960227,547
485,156079,83919,13269,19960227,989
485,156079,410652,18718,19960227,247
486,15578,226311,171,19950120,80
486,15578,201120,797,19950120,117
486,15578,407736,7575,19950120,830
486,15578,215594,10463,19950120,274
486,15578,84295,17019,19950120,582
486,15578,139629,7904,19950120,136
487,207985,275686,1581,19980521,883
487,207985,246296,3706,19980521,262
512,298019,566411,8661,19940914,230
512,298019,68540,13982,19940914,524
512,298019,538255,1959,19940914,718
512,298019,247409,14656,19940914,479
513,288739,185195,17401,19980409,417
513,288739,364883,17339,19980409,844
513,288739,587619,2753,19980409,347
514,32779,236137,6203,19930425,474
514,32779,352356,9548,19930425,1015
514,32779,38434,9607,19930425,536
514,32779,346085,545,19930425,99
514,32779,235450,6529,19930425,292
514,32779,201922,632,19930425,229
514,32779,87947,7988,19930425,698
515,98980,312040,8962,19920805,400
515,98980,442813,14510,19920805,199
515,98980,546435,18942,19920805,711
515,98980,325817,4418,19920805,159
515,98980,392642,8288,19920805,144
515,98980,326075,14940,19920805,248
515,98980,527749,14852,19920805,721
516,39787,74920,13073,19950911,710
516,39787,374009,13184,19950911,989
516,39787,352954,8564,19950911,465
516,39787,487590,5247,19950911,861
517,285805,133651,3190,19940502,284
518,212036,494131,3150,19930318,1023
518,212036,249492,18026,19930318,939
518,212036,399534,11299,19930318,302
518,212036,365968,1387,19930318,873
518,212036,210055,2765,19930318,631
518,212036,589074,14988,19930318,1004
519,286858,476909,10998,19930715,332
519,286858,8837,844,19930715,656
519,286858,317698,10598,19930715,499
519,286858,138801,19351,19930715,749
544,217019,415421,3660,19920415,463
545,25567,508640,3102,19980606,906
545,25567,510563,10822,19980606,114
546,73525,253755,19149,19961115,744
546,73525,57222,13542,19961115,790
546,73525,520254,19355,19961115,14
546,73525,96579,4839,19961115,308
547,6712,212365,12827,19960922,609
547,6712,409041,10140,19960922,657
548,279047,589648,2232,19930706,184
548,279047,13923,1249,19930706,313
548,279047,546,16631,19930706,108
548,279047,170160,15594,19930706,631
548,279047,278983,18177,19930706,698
548,279047,458259,11278,19930706,122
549,29437,585183,10532,19920626,952
550,30715,570919,7497,19950806,632
550,30715,228426,19985,19950806,863
550,30715,355734,19406,19950806,966
551,223300,71356,7215,19970212,790
551,223300,476438,13533,19970212,512
551,223300,483267,14368,19970212,158
551,223300,61782,404,19970212,535
551,223300,368027,13257,19970212,1002
551,223300,13048,15986,19970212,154
551,223300,284076,12283,19970212,485
576,731,259470,13632,19970115,456
576,731,99287,11053,19970115,775
576,731,109694,5800,19970115,313
576,731,412823,11475,19970115,770
577,275335,77658,11344,19930824,957
577,275335,189698,12810,19930824,691
577,275335,438602,1526,19930824,358
577,275335,574051,1164,19930824,764
577,275335,63050,18818,19930824,587
578,22424,466625,1354,19941215,94
578,22424,561074,14156,19941215,10
579,63562,451854,12189,19950820,989
579,63562,96435,12046,19950820,609
579,63562,177142,11844,19950820,316
579,63562,18566,8300,19950820,901
579,63562,37836,9793,19950820,326
580,260347,254747,16345,19960111,870
580,260347,519960,3818,19960111,166
581,142211,190152,11352,19961209,912
581,142211,277581,5329,19961209,779
581,142211,300317,11970,19961209,636
581,142211,224773,12722,19961209,554
581,142211,157309,6312,19961209,949
582,31262,169225,19614,19980507,602
582,31262,150784,3088,19980507,648
582,31262,420926,11238,19980507,134
582,31262,503250,2721,19980507,622
582,31262,508494,1472,19980507,396
582,31262,456231,7164,19980507,565
582,31262,462298,9799,19980507,460
583,114068,433091,993,19930825,958
583,114068,358874,5835,19930825,600
608,131863,460737,15859,19951228,417
608,131863,591930,14093,19951228,652
608,131863,551789,15837,19951228,260
608,131863,311577,3532,19951228,381
608,131863,474562,16213,19951228,221
608,131863,157907,4082,19951228,413
608,131863,128744,19843,19951228,425
609,117965,196598,8789,19960513,81
609,117965,18167,12839,19960513,178
609,117965,532339,11591,19960513,83
610,237121,332374,12516,19931201,104
611,78157,50565,15460,19920613,972
611,78157,242028,806,19920613,80
612,167986,554876,10100,19961026,686
613,11026,270081,15310,19970131,46
613,11026,235043,19775,19970131,516
613,11026,555047,6898,19970131,422
613,11026,474911,4412,19970131,240
613,11026,13854,7819,19970131,195
613,11026,42580,2262,19970131,822
614,210250,582327,14562,19960923,867
614,210250,560690,9671,19960923,576
614,210250,500889,19422,19960923,872
614,210250,440852,18454,19960923,181
614,210250,585924,8153,19960923,712
615,239872,313633,4301,19940407,46
615,239872,223172,13617,19940407,645
615,239872,249434,18245,19940407,220
615,239872,31204,11121,19940407,833
615,239872,42669,7461,19940407,578
615,239872,132598,2167,19940407,50
615,239872,167662,641,19940407,391
640,111779,278991,19070,19931027,992
640,111779,1246,8624,19931027,99
640,111779,538425,16107,19931027,412
640,111779,94420,337,19931027,354
640,111779,504115,1689,19931027,1010
640,111779,53064,13351,19931027,545
641,54881,375576,15851,19940106,153
641,54881,298429,7509,19940106,391
641,54881,282931,7867,19940106,617
642,183289,160871,3521,19980620,181
643,121435,36780,19052,19970716,600
643,121435,150503,1398,19970716,193
643,121435,487341,6034,19970716,577
643,121435,134228,16957,19970716,949
643,121435,568377,11511,19970716,558
643,121435,98460,16927,19970716,4
643,121435,11377,16655,19970716,958
644,55543,399429,7210,19920523,251
645,200024,479081,6334,19940216,940
645,200024,508265,3061,19940216,638
645,200024,207681,11196,19940216,779
645,200024,286204,10519,19940216,449
645,200024,14108,5476,19940216,321
645,200024,100892,10451,19940216,828
645,200024,81093,1438,19940216,209
646,292240,326923,18578,19980602,885
646,292240,380169,13,19980602,456
646,292240,89231,14784,19980602,760
646,292240,296214,10443,19980602,28
646,292240,267517,10221,19980602,896
647,45098,48929,8326,19980203,440
647,45098,336530,13630,19980203,972
647,45098,458644,11744,19980203,83
647,45098,214093,18844,19980203,160
672,149737,516569,573,19941126,779
672,149737,568967,3173,19941126,189
672,149737,427169,19728,19941126,591
672,149737,422169,226,19941126,422
672,149737,387846,15237,19941126,25
672,149737,112314,5944,19941126,708
672,149737,58060,5754,19941126,957
673,197987,211484,11630,19980418,992
673,197987,11221,18089,19980418,10
673,197987,176958,15609,19980418,190
673,197987,523259,19396,19980418,315
673,197987,210931,6987,19980418,180
674,262022,304098,7676,19940824,567
674,262022,174853,10434,19940824,574
674,262022,539342,19950,19940824,961
674,262022,517583,14198,19940824,99
674,262022,203539,744,19940824,472
674,262022,273175,18122,19940824,507
674,262022,48972,14977,19940824,987
675,87022,469365,17129,19950526,931
676,58555,152915,16361,19961225,283
676,58555,233004,17035,19961225,38
676,58555,486989,2975,19961225,513
676,58555,218475,16193,19961225,346
676,58555,495379,15159,19961225,995
676,58555,227788,2298,19961225,817
677,102448,176957,8554,19930207,499
677,102448,502081,3244,19930207,299
677,102448,69676,53,19930207,139
678,137620,436611,4387,19950123,912
678,137620,109659,17006,19950123,19
678,137620,427465,8453,19950123,764
678,137620,594199,66,19950123,675
678,137620,292351,3459,19950123,549
678,137620,128662,3180,19950123,483
679,271213,575275,4515,19931111,724
679,271213,230621,10134,19931111,282
679,271213,45282,12425,19931111,803
679,271213,246968,11466,19931111,522
679,271213,583188,18552,19931111,143
704,65369,569942,2971,19950311,1009
704,65369,11515,121,19950311,498
704,65369,324584,5227,19950311,385
704,65369,66633,3454,19950311,222
704,65369,298763,2095,19950311,497
704,65369,507685,351,19950311,546
704,65369,45087,15574,19950311,818
705,50029,564964,5442,19920211,788
705,50029,348654,17461,19920211,797
705,50029,227091,4816,19920211,947
705,50029,107787,12806,19920211,82
705,50029,163399,5500,19920211,269
706,205735,589885,6847,19951016,304
706,205735,392383,11904,19951016,641
707,267751,464208,403,19930328,447
708,63496,371413,19835,19951113,502
708,63496,537370,1385,19951113,537
708,63496,363894,15493,19951113,285
708,63496,165528,3673,19951113,386
709,49441,258607,14176,19920104,550
709,49441,591748,9564,19920104,244
709,49441,505488,5967,19920104,238
709,49441,321687,1810,19920104,399
709,49441,583614,14014,19920104,241
710,229258,486332,18553,19970322,756
710,229258,578748,4195,19970322,583
710,229258,416950,17298,19970322,651
710,229258,267922,3144,19970322,69
710,229258,556360,14012,19970322,52
710,229258,340994,18310,19970322,398
711,213848,437301,7473,19960107,1023
711,213848,307502,14470,19960107,907
711,213848,381257,13604,19960107,888
711,213848,383044,2404,19960107,221
736,133877,472139,2175,19920814,682
736,133877,238268,4979,19920814,427
736,133877,169876,18326,19920814,435
736,133877,293551,16163,19920814,43
737,65839,545443,17755,19940331,90
737,65839,444948,15241,19940331,92
737,65839,439126,12953,19940331,600
738,153325,591609,14812,19970611,26
739,231412,253467,9634,19921107,410
739,231412,10505,5080,19921107,959
739,231412,146197,13434,19921107,903
739,231412,130408,16251,19921107,841
739,231412,562568,17886,19921107,879
740,136900,3618,19029,19921002,418
740,136900,195633,16677,19921002,605
740,136900,594109,351,19921002,220
740,136900,576441,11022,19921002,417
740,136900,32479,17803,19921002,944
740,136900,458240,7182,19921002,418
740,136900,38732,15553,19921002,143
741,151025,559212,14070,19980604,949
741,151025,271188,10079,19980604,656
741,151025,252937,3831,19980604,8
741,151025,111129,2348,19980604,670
742,269137,303927,4405,19940402,1001
742,269137,286185,8397,19940402,324
742,269137,304658,8199,19940402,656
743,253012,574379,12182,19951005,685
743,253012,180316,56,19951005,705
743,253012,563930,18172,19951005,14
743,253012,371133,5063,19951005,518
743,253012,21516,7461,19951005,749
743,253012,406886,2303,19951005,957
743,253012,324829,10983,19951005,95
768,150413,587437,818,19960729,850
768,150413,53586,4925,19960729,413
768,150413,17890,11669,19960729,348
769,183595,525203,8651,19930515,77
769,183595,477231,6754,19930515,48
769,183595,6862,12994,19930515,1000
769,183595,129242,14840,19930515,369
769,183595,157321,10656,19930515,965
769,183595,480334,5600,19930515,1012
769,183595,563512,10313,19930515,8
770,147767,540356,7560,19921211,1018
770,147767,159841,6315,19921211,93
770,147767,245961,7762,19921211,373
770,147767,455526,7787,19921211,526
770,147767,16651,5585,19921211,579
770,147767,250928,5206,19921211,998
770,147767,540955,16588,19921211,671
771,119618,20949,18386,19970206,524
771,119618,481515,6238,19970206,391
772,104224,158092,19348,19940225,818
772,104224,249019,12081,19940225,834
772,104224,255355,777,19940225,106
772,104224,539500,18966,19940225,472
772,104224,160945,4952,19940225,144
773,260254,297950,1979,19970305,327
773,260254,30015,8366,19970305,483
774,87910,547954,3789,19970322,578
774,87910,48114,14572,19970322,950
774,87910,443426,16799,19970322,782
774,87910,44978,488,19970322,120
774,87910,528480,17195,19970322,417
775,2767,94920,13977,19920514,886
775,2767,519732,17617,19920514,128
775,2767,321277,16636,19920514,503
775,2767,291538,19757,19920514,549
775,2767,275932,11874,19920514,446
775,2767,181146,14904,19920514,764
775,2767,106398,8696,19920514,90
800,283852,215497,13505,19980407,447
800,283852,252784,8513,19980407,394
