DATEKEY,DATE,DAYOFWEEK,MONTH,YEAR,YEARMONTHNUM,YEARMONTH,DAYNUMINWEEK,DAYNUMINMONTH,DAYNUMINYEAR,MONTHNUMINYEAR,WEEKNUMINYEAR,SELLINGSEASON,LASTDAYINMONTHFL,HOLIDAYFL,WEEKDAYFL
19920305,113,693,421,922,33,62,835,861,707,508,11,853,539,48,875
19920306,175,420,144,791,967,740,243,791,64,329,38,440,907,987,196
19920307,856,581,799,169,143,623,658,338,489,921,707,567,493,181,413
19920308,202,535,114,712,721,60,717,768,700,879,748,910,230,874,354
19920309,284,132,557,108,682,75,227,873,606,992,440,152,732,686,476
19920310,246,702,403,858,409,566,440,123,580,583,821,64,514,667,863
19920311,225,764,487,789,861,500,21,620,41,364,954,989,868,231,449
19920312,227,211,307,76,807,943,441,81,260,992,36,259,947,971,526
19920313,514,79,1013,500,564,1016,582,693,927,107,164,409,148,27,897
19920314,428,184,163,148,113,150,323,179,935,882,75,797,665,82,924
19920315,597,402,338,467,320,123,152,73,899,584,1022,159,378,665,608
19920316,475,961,304,626,470,407,1,257,179,799,219,243,19,1017,660
19920317,925,348,101,437,279,24,621,831,500,296,810,819,139,112,417
19920318,601,331,950,580,328,540,766,978,205,40,599,235,395,444,347
19920319,245,504,218,643,462,491,723,660,616,29,990,94,802,373,65
19920320,93,925,235,120,8,670,727,48,645,626,2,488,340,655,277
19920321,314,952,852,657,131,698,131,792,286,178,963,207,305,209,1001
19920322,121,547,719,359,162,594,737,177,906,595,747,401,933,634,336
19920323,756,183,901,188,22,669,391,357,337,749,368,950,127,111,650
19920324,577,423,671,325,255,172,190,474,164,244,241,40,587,334,223
19920325,663,282,921,97,339,741,766,299,362,641,759,624,62,146,786
19920326,578,88,577,525,644,317,74,783,913,247,239,1001,592,353,908
19920327,86,429,53,640,943,343,839,662,991,279,107,359,403,216,96
19920328,792,886,741,882,0,772,380,990,385,263,644,926,161,641,821
19920329,466,406,637,664,63,754,219,478,7,579,428,249,630,30,707
19920330,804,555,85,658,581,750,733,994,311,571,161,873,825,70,474
19920331,1004,319,984,662,856,202,668,1023,768,1003,567,685,47,830,908
19920401,767,224,624,642,150,124,19,584,709,1009,128,473,777,724,137
19920402,623,820,249,313,915,596,549,808,416,77,520,460,350,644,742
19920403,993,45,0,628,593,672,628,738,665,786,253,355,364,998,850
19920404,584,207,712,744,131,37,899,280,7,950,346,285,619,645,253
19920405,465,730,190,950,199,908,843,243,845,520,601,86,850,378,614
19920406,198,306,189,64,625,630,577,265,807,442,225,960,1009,968,62
19920407,206,60,55,191,395,600,495,672,162,665,997,602,345,921,674
19920408,292,683,743,670,258,155,342,679,313,394,216,586,788,617,1002
19920409,661,158,84,306,415,853,781,504,861,642,357,457,115,931,923
19920410,554,13,948,457,563,845,815,200,257,554,283,190,785,1013,54
19920411,97,535,375,655,766,644,322,985,987,364,586,963,894,435,517
19920412,8,578,936,578,874,171,503,1015,603,299,237,903,253,834,733
19920413,24,846,616,412,671,553,739,313,612,501,615,757,61,880,100
19920414,860,109,153,617,869,544,546,470,262,682,176,882,1022,926,205
19920415,228,129,289,554,311,828,334,176,15,336,817,886,214,580,114
19920416,673,460,597,492,100,493,808,55,221,818,217,912,209,328,315
19920417,918,937,806,922,688,541,147,135,102,131,95,682,161,710,978
19920418,44,413,1006,826,602,24,249,604,814,464,415,550,793,219,976
19920419,373,595,80,142,557,782,312,218,405,443,811,57,765,270,700
19920420,134,36,330,341,782,501,641,371,561,89,653,244,466,871,249
19920421,502,67,851,507,900,336,127,928,847,751,229,464,503,617,500
19920422,423,677,870,742,923,536,343,734,287,1015,891,353,949,902,907
19920423,757,965,138,704,522,586,758,826,930,747,818,992,812,761,126
19920424,1002,115,159,207,750,620,210,791,743,364,160,698,390,140,120
19920425,789,817,914,621,280,645,798,899,634,42,893,82,37,390,679
19920426,254,789,640,681,641,530,773,951,250,760,423,574,699,926,996
19920427,518,683,942,1003,558,151,178,473,521,848,703,22,460,67,105
19920428,1021,413,124,594,67,467,570,602,740,71,17,1008,140,122,120
19920429,861,252,457,164,821,863,239,353,510,865,588,582,406,171,673
19920430,595,592,866,977,165,19,778,756,475,916,85,209,616,643,609
19920501,450,642,900,488,529,488,313,785,201,997,129,316,395,448,453
19920502,612,256,650,958,756,449,921,990,646,345,607,271,133,243,853
19920503,882,906,954,216,634,665,1020,111,578,837,331,787,310,632,192
19920504,628,909,547,65,293,302,563,1016,316,348,933,260,22,367,1006
19920505,325,20,612,987,965,641,933,860,359,39,298,25,741,816,481
19920506,207,806,599,37,229,688,50,794,833,963,401,926,252,341,946
19920507,672,484,803,904,581,815,236,490,736,971,734,685,844,676,44
19920508,203,86,653,286,974,348,231,548,226,285,512,791,167,994,254
19920509,615,602,701,684,126,554,259,375,608,599,764,671,703,99,98
19920510,738,128,159,156,99,742,544,354,1003,18,522,732,415,846,905
19920511,567,633,254,1013,745,103,749,802,484,755,498,668,19,292,1004
19920512,850,181,677,31,78,431,743,327,647,56,731,344,138,82,74
19920513,890,278,457,476,355,60,299,958,266,810,599,841,225,968,668
19920514,110,808,693,478,393,46,675,284,52,217,14,869,985,727,317
19920515,228,825,401,158,95,988,1002,724,550,140,1012,354,518,50,189
19920516,555,644,459,71,470,768,133,609,721,891,436,796,760,62,69
19920517,717,217,273,834,845,519,517,920,875,177,332,855,585,330,314
19920518,55,773,222,780,505,413,425,633,353,447,950,656,381,667,709
19920519,432,794,864,867,827,823,610,270,492,60,709,965,293,800,332
19920520,636,786,68,441,947,187,671,169,91,26,174,911,359,318,505
19920521,481,876,123,382,784,138,104,610,666,727,871,452,775,228,241
19920522,44,1023,859,343,363,361,283,297,670,418,615,24,445,156,184
19920523,812,945,690,317,787,586,902,310,769,675,660,55,408,484,389
19920524,188,131,703,245,357,800,230,812,966,47,64,725,397,529,866
19920525,186,804,729,341,364,953,512,938,167,1011,77,346,167,628,439
19920526,1,136,411,347,60,88,910,529,798,402,869,913,656,698,484
19920527,308,270,839,769,525,426,505,21,746,46,427,46,94,986,68
19920528,715,53,222,393,605,871,355,610,733,719,86,692,984,745,536
19920529,985,138,609,350,806,3,251,795,412,235,895,237,449,411,818
19920530,75,283,75,28,312,7,311,710,82,962,186,711,616,146,767
19920531,8,5,352,730,769,604,876,694,749,8,25,601,36,110,699
19920601,1010,911,590,225,863,1008,229,1016,707,511,225,442,687,419,908
19920602,914,296,1002,762,304,672,690,474,961,65,139,152,820,231,221
19920603,447,632,637,508,514,891,41,928,765,468,785,26,431,498,745
19920604,137,403,3,508,31,676,633,799,97,278,126,970,945,929,123
19920605,263,146,242,240,606,370,881,566,817,917,241,347,410,512,872
19920606,298,582,658,743,339,589,145,599,302,654,811,419,609,750,683
19920607,970,586,482,344,517,267,449,694,39,342,764,172,150,835,1021
19920608,989,423,787,937,851,296,879,343,941,954,70,215,940,163,890
19920609,918,365,205,387,729,657,2,836,910,256,266,884,137,1018,185
19920610,994,688,1001,508,982,32,270,1007,542,803,943,419,384,305,659
19920611,893,833,649,992,24,868,673,996,9,419,623,17,519,520,631
19920612,155,252,326,616,77,228,682,153,54,37,625,621,112,350,644
19920613,894,515,299,216,464,980,38,664,663,752,493,401,426,502,981
19920614,391,409,654,18,522,830,21,264,798,45,728,521,627,734,878
19920615,409,343,1003,864,172,380,221,646,518,472,220,781,313,357,49
19920616,704,848,435,514,711,461,682,990,82,550,723,802,932,711,376
19920617,859,548,2,250,1018,262,448,834,301,886,409,758,50,602,291
19920618,114,197,839,518,172,838,787,203,667,996,580,564,558,414,603
19920619,78,640,564,355,484,515,272,813,948,873,78,1,801,952,626
19920620,914,827,99,611,253,400,866,317,63,289,271,900,105,368,900
19920621,498,312,305,242,526,1,255,143,333,695,586,175,407,583,708
19920622,243,817,606,970,695,698,410,127,553,930,973,106,721,326,554
19920623,701,178,169,432,623,130,992,765,639,286,249,68,273,654,1019
19920624,953,234,630,325,362,914,689,727,175,578,874,146,566,846,197
19920625,332,586,698,50,737,61,505,49,278,776,341,104,404,205,829
19920626,860,383,16,291,573,263,716,967,380,707,579,383,265,589,559
19920627,378,691,854,40,92,1008,260,284,786,112,433,492,738,358,443
19920628,778,767,670,879,109,584,965,574,275,331,621,354,1005,617,907
19920629,956,748,135,586,186,217,616,298,111,363,472,274,223,177,313
19920630,358,474,938,886,141,550,800,886,954,452,282,915,649,976,812
19920701,757,658,557,350,746,704,497,341,668,521,183,395,836,515,368
19920702,556,53,228,288,109,434,2,361,639,3,56,93,335,664,896
19920703,535,991,576,843,674,662,221,478,103,43,877,222,840,599,732
19920704,255,164,275,875,493,358,716,705,899,85,193,608,42,866,248
19920705,898,93,1014,737,874,376,312,61,878,641,554,949,926,45,280
19920706,129,761,622,141,889,305,661,321,707,198,974,85,680,910,128
19920707,671,748,640,541,40,556,339,423,149,554,35,636,917,1010,805
19920708,407,892,234,360,320,649,779,41,803,195,201,415,175,555,482
19920709,786,283,608,323,85,359,762,176,177,259,32,516,233,880,364
19920710,254,677,716,228,566,447,427,506,169,817,838,77,734,320,723
19920711,33,864,90,982,647,847,232,740,123,444,498,677,640,64,202
19920712,601,80,240,46,353,165,381,89,402,400,499,882,195,192,133
19920713,939,157,26,573,1017,679,35,159,529,599,63,991,367,846,889
19920714,666,142,392,78,347,382,407,424,39,334,1016,811,43,663,586
19920715,426,959,227,34,375,833,833,708,4,812,130,697,593,760,844
19920716,897,939,563,699,142,165,360,568,710,763,958,626,44,921,971
19920717,787,158,552,682,635,789,834,516,877,719,523,421,286,865,688
19920718,916,558,399,140,821,422,853,422,368,963,394,830,328,999,656
19920719,615,993,161,136,348,368,630,232,966,652,514,799,656,991,981
19920720,72,333,872,402,878,97,190,310,640,408,706,360,843,1019,601
19920721,476,305,699,840,684,529,12,479,530,752,1019,787,678,382,398
19920722,319,36,538,340,878,110,994,482,4,800,142,400,948,904,20
19920723,1012,284,771,304,101,225,274,860,201,516,807,581,660,17,454
19920724,534,435,912,125,189,308,972,226,317,715,918,792,939,341,625
19920725,1004,130,813,793,697,346,796,495,206,783,541,94,459,264,197
19920726,353,658,831,595,110,952,25,879,745,14,947,406,115,662,858
19920727,100,635,704,434,111,442,736,793,57,91,89,866,280,87,286
19920728,680,581,803,148,410,573,727,214,254,263,406,204,668,107,830
19920729,767,610,420,377,85,683,307,419,28,622,301,398,26,352,237
19920730,657,496,105,738,432,269,149,101,64,320,879,168,450,464,667
19920731,250,949,105,288,649,491,161,58,584,477,989,522,538,58,321
19920801,24,239,63,996,770,470,896,157,172,783,612,77,490,766,469
19920802,557,238,786,704,337,975,940,947,742,754,564,357,768,376,272
19920803,593,432,438,718,995,298,913,495,1012,176,67,805,989,971,406
19920804,880,599,942,984,164,108,574,73,814,1,780,223,90,636,387
19920805,107,931,940,452,1006,789,139,159,765,596,338,994,803,820,553
19920806,307,192,257,403,960,695,443,382,267,988,404,483,307,123,719
19920807,829,955,612,417,541,250,197,491,357,562,301,962,796,851,887
19920808,794,86,372,425,133,391,479,312,726,861,867,835,993,135,926
19920809,613,701,610,689,672,898,844,89,16,199,884,301,464,425,233
19920810,350,939,797,167,317,912,912,794,735,366,777,514,171,607,995
19920811,496,516,285,887,758,917,352,822,896,987,72,371,459,122,62
19920812,712,810,844,354,304,814,179,163,917,913,874,665,787,175,345
19920813,938,669,917,928,546,437,224,898,614,935,315,704,13,174,965
19920814,511,845,618,435,995,858,744,165,939,670,571,366,290,738,1022
19920815,134,856,445,467,641,936,638,695,836,728,858,56,561,165,918
19920816,290,787,644,235,131,514,232,1005,738,393,290,63,524,826,27
19920817,70,375,263,305,1005,697,149,220,637,576,971,112,917,279,841
19920818,470,219,968,821,879,67,121,879,14,315,638,112,763,470,1023
19920819,867,237,274,1003,717,456,961,352,387,932,571,201,917,293,735
19920820,780,188,402,924,396,882,482,861,760,500,605,209,498,436,116
19920821,282,366,11,603,631,353,857,718,796,725,353,861,409,749,678
19920822,604,239,160,772,25,262,516,493,510,876,541,940,899,595,423
19920823,647,56,497,1002,176,726,124,381,576,693,325,858,452,236,581
19920824,556,281,100,737,385,301,915,353,466,511,293,464,30,638,531
19920825,48,373,921,788,982,783,540,799,273,113,44,535,728,904,266
19920826,836,275,548,734,604,134,975,73,36,307,628,333,662,831,487
19920827,154,614,615,101,581,335,513,395,701,567,243,611,496,4,16
19920828,653,674,408,268,837,937,158,645,240,799,379,672,18,719,839
19920829,749,668,1021,971,521,252,85,391,756,517,377,605,441,527,445
19920830,412,817,255,896,609,952,842,249,363,888,560,566,604,631,860
19920831,174,942,496,361,107,77,23,1022,167,562,632,888,572,820,266
19920901,732,540,522,473,1008,166,948,187,882,624,592,264,112,265,541
19920902,555,394,490,90,879,120,169,877,990,565,276,954,380,898,910
19920903,569,691,858,334,620,557,881,787,928,129,985,957,990,363,185
19920904,327,912,821,831,971,587,952,365,852,503,143,137,463,822,984
19920905,719,187,718,772,431,601,935,141,890,304,770,3,836,105,797
19920906,191,910,504,191,238,431,127,763,693,8,399,368,662,964,258
19920907,952,358,921,362,30,875,137,415,73,980,66,993,687,979,781
19920908,112,556,1005,203,264,580,380,527,85,581,699,590,909,717,87
19920909,474,655,717,307,907,103,48,59,663,916,891,817,320,51,895
19920910,521,796,247,679,799,870,146,854,333,211,319,713,386,738,811
19920911,175,714,204,522,575,176,937,52,134,828,808,999,117,998,656
19920912,444,582,378,944,292,93,92,690,822,640,102,336,325,92,517
19920913,693,300,511,889,421,249,420,783,548,759,983,364,493,692,400
19920914,738,221,408,376,654,520,53,553,815,579,486,345,431,415,901
19920915,330,981,793,592,756,601,1008,536,33,739,539,10,274,405,437
19920916,693,868,64,303,596,824,476,877,65,588,101,158,931,80,119
19920917,832,559,355,100,867,488,913,138,185,755,37,428,133,550,717
19920918,566,363,261,178,463,199,640,788,434,548,552,234,354,162,930
19920919,968,549,1019,734,190,150,25,750,352,690,32,381,58,264,393
19920920,471,998,821,428,843,373,57,161,3,317,927,204,541,924,858
19920921,814,837,841,633,515,172,529,167,769,881,480,694,846,930,839
19920922,674,1019,238,824,573,97,543,481,392,152,421,971,950,532,150
19920923,253,358,579,478,212,595,901,866,578,783,810,293,505,10,461
19920924,297,522,620,434,478,243,49,305,795,70,421,906,12,56,58
19920925,720,155,498,180,353,996,859,632,676,795,878,373,568,236,606
19920926,771,169,207,620,728,97,290,687,679,257,735,471,894,220,285
19920927,890,764,811,764,976,548,48,297,896,837,462,708,894,554,15
19920928,129,71,274,549,349,560,244,399,723,355,805,823,149,189,496
19920929,736,439,999,388,8,592,289,466,5,459,1000,587,968,813,270
19920930,402,91,343,786,502,383,799,95,207,31,837,124,839,864,384
19921001,362,211,434,925,651,401,404,154,256,270,485,143,48,798,888
19921002,560,1022,748,32,422,84,283,51,1012,354,143,312,894,205,779
19921003,117,9,630,23,568,950,319,1008,10,634,162,678,352,904,387
19921004,764,730,311,458,563,918,799,305,483,830,1005,1015,981,166,199
19921005,931,816,580,485,744,810,744,942,743,974,586,2,683,518,350
19921006,839,831,992,477,387,554,811,723,1000,41,614,740,571,674,622
19921007,235,82,335,238,351,84,850,484,233,510,305,63,865,551,264
19921008,320,454,773,808,563,246,530,571,63,583,724,961,897,457,384
19921009,474,343,588,767,405,600,713,12,440,591,655,923,557,939,292
19921010,848,903,816,672,863,344,791,441,49,896,56,855,670,861,930
19921011,820,38,993,229,613,6,115,986,803,889,300,88,269,126,195
19921012,703,138,456,466,508,293,665,345,169,865,326,335,243,879,187
19921013,212,748,649,160,909,918,906,155,801,266,566,158,244,1010,150
19921014,284,778,445,852,787,143,630,72,781,361,401,303,372,43,749
19921015,943,795,766,757,627,601,154,425,439,472,513,635,430,925,990
19921016,556,711,929,976,819,946,1023,594,624,890,802,225,294,612,118
19921017,887,763,945,910,280,704,531,1018,779,639,119,677,15,961,737
19921018,860,304,836,994,399,1,661,560,268,755,723,363,215,957,565
19921019,275,118,781,129,729,1013,757,346,971,31,675,636,980,958,296
19921020,124,672,240,877,677,504,413,171,542,573,694,100,739,213,845
19921021,850,476,791,985,117,386,842,1005,318,757,494,759,903,900,886
19921022,921,106,970,640,383,761,1019,886,519,328,801,608,834,868,78
19921023,358,816,636,458,240,347,15,79,393,501,380,871,33,503,917
19921024,545,837,269,149,403,25,143,707,646,648,364,661,1002,127,493
19921025,349,358,946,145,55,992,722,95,484,680,324,187,794,621,544
19921026,808,1007,904,593,378,317,610,440,30,107,163,1010,237,560,219
19921027,369,390,402,149,205,646,522,290,120,484,35,756,664,791,993
19921028,450,378,77,237,181,123,1009,293,990,272,114,991,514,489,320
19921029,721,534,676,630,312,564,319,360,980,715,932,903,650,995,431
19921030,736,143,688,869,380,873,857,616,496,59,735,387,324,887,0
19921031,556,533,469,553,875,77,313,545,6,656,210,933,193,512,846
19921101,187,297,130,654,37,690,928,190,345,289,423,447,713,246,740
19921102,810,270,997,905,401,717,173,979,916,913,803,562,629,622,609
19921103,895,54,829,825,369,592,802,1004,1012,828,983,552,1006,521,881
19921104,891,952,959,630,971,594,80,396,960,471,858,134,302,396,85
19921105,87,910,813,692,878,699,279,650,908,489,857,378,377,49,594
19921106,2,340,971,616,297,44,373,745,317,915,197,891,890,714,327
19921107,348,954,334,51,951,587,613,237,812,884,262,942,86,778,297
19921108,65,52,935,583,823,1015,372,626,775,949,373,97,249,344,442
19921109,438,805,765,992,47,429,820,690,376,230,507,62,385,892,353
19921110,341,382,727,301,829,894,331,959,898,174,451,335,309,1018,636
19921111,891,352,582,750,363,328,307,125,229,772,610,928,154,656,1018
19921112,891,728,556,488,761,228,471,186,485,660,917,20,958,628,15
19921113,740,728,113,934,320,742,217,441,132,204,667,559,325,168,339
19921114,890,990,921,745,201,961,898,582,818,364,415,887,807,360,494
19921115,147,536,517,187,682,356,682,120,905,946,571,690,8,63,782
19921116,739,201,300,863,297,193,765,188,175,139,341,944,162,690,717
19921117,497,384,782,795,53,637,126,630,699,342,86,812,350,722,955
19921118,407,374,426,760,703,969,617,438,892,428,307,1020,623,333,964
19921119,184,10,957,96,522,985,152,24,391,681,885,824,505,990,449
19921120,576,728,541,385,980,908,178,431,328,194,919,928,446,559,459
19921121,426,947,206,473,163,828,965,357,303,521,158,980,230,190,60
19921122,7,13,537,663,192,55,805,543,869,192,306,1015,924,988,763
19921123,905,504,30,792,378,129,880,662,850,1012,773,206,399,720,401
19921124,208,40,944,476,325,962,165,940,215,190,828,648,797,953,128
19921125,577,481,995,462,195,58,615,154,476,834,359,900,285,783,901
19921126,285,38,290,129,897,350,318,348,954,54,246,952,11,735,857
19921127,833,111,809,906,586,733,584,701,568,87,424,511,583,188,471
19921128,151,289,112,100,663,88,102,261,365,980,133,66,790,465,738
19921129,350,814,241,66,500,744,680,344,472,146,308,980,829,346,255
19921130,397,772,976,693,992,13,301,110,720,480,145,345,17,133,682
19921201,485,82,71,520,15,236,258,774,921,391,931,310,788,781,962
19921202,129,999,483,512,795,780,725,868,946,321,61,926,777,277,10
19921203,25,757,739,1014,288,152,143,647,1016,395,219,677,449,900,60
19921204,381,862,480,170,562,763,449,391,66,548,797,1021,381,55,630
19921205,417,264,652,103,350,925,227,77,487,234,122,347,953,583,935
19921206,764,515,4,246,701,328,435,22,312,1018,977,297,396,477,257
19921207,441,806,253,885,313,24,393,926,244,736,165,677,354,935,184
19921208,149,253,168,579,539,912,470,629,931,970,424,350,364,821,644
19921209,628,374,742,758,774,610,367,981,837,189,712,929,170,719,208
19921210,44,803,596,99,690,670,1021,261,949,139,82,357,404,420,55
19921211,747,302,485,974,709,230,416,744,628,735,121,17,482,945,133
19921212,282,114,212,852,995,512,302,926,666,968,370,666,802,743,243
19921213,452,985,201,398,87,488,875,635,342,932,34,48,360,814,136
19921214,137,644,492,422,652,968,1015,871,553,971,628,754,432,20,949
19921215,651,374,311,549,799,73,920,654,502,209,791,850,646,46,638
19921216,528,561,638,605,721,97,384,143,809,93,443,937,841,967,944
19921217,763,548,571,947,636,24,63,597,563,223,916,260,365,142,654
19921218,134,358,909,318,497,896,747,720,194,737,964,424,198,731,875
19921219,828,893,605,967,67,79,195,230,820,226,324,613,989,985,22
19921220,650,52,997,538,71,173,486,319,34,686,230,563,113,273,571
19921221,747,565,271,19,956,1015,41,772,338,223,984,974,995,443,267
19921222,287,438,63,894,351,511,849,249,971,350,147,66,457,462,882
19921223,912,663,688,522,17,433,815,501,851,634,619,463,171,805,593
19921224,196,223,847,871,135,969,88,844,140,397,121,73,318,651,72
19921225,58,385,993,1010,565,544,819,344,349,170,769,656,214,547,615
19921226,944,81,702,113,762,213,598,143,906,220,385,608,188,716,484
19921227,111,525,360,122,1007,647,822,564,290,305,798,169,42,938,546
19921228,196,652,122,785,491,333,818,375,902,626,404,349,909,261,384
19921229,383,287,83,931,730,804,713,0,848,961,171,777,58,50,113
19921230,425,757,752,564,908,845,217,532,836,482,762,813,58,653,904
19921231,830,723,606,723,782,956,381,513,767,848,293,409,1007,612,402
19930101,712,453,944,761,318,552,168,357,561,128,305,351,319,634,523
19930102,220,1000,920,447,271,263,393,473,713,605,627,245,665,859,552
19930103,349,117,251,491,502,477,815,204,420,930,899,690,721,987,738
19930104,745,683,163,200,1009,55,505,299,449,104,484,912,325,698,796
19930105,284,363,723,917,523,455,626,254,900,418,856,937,274,897,401
19930106,462,549,241,26,128,439,845,77,596,444,715,270,84,140,483
19930107,563,108,578,202,832,759,311,651,864,510,553,398,739,972,892
19930108,190,247,297,789,42,670,9,48,461,878,517,204,263,172,234
19930109,638,423,893,821,166,3,490,90,368,385,338,218,840,399,84
19930110,987,218,6,44,604,10,1,610,990,831,885,253,309,15,110
19930111,689,424,638,476,778,610,653,237,146,177,825,122,356,104,265
19930112,576,637,262,240,745,418,626,897,500,504,511,409,391,210,763
19930113,540,128,999,1017,148,552,764,419,634,714,42,743,696,211,672
19930114,326,339,140,959,892,1014,524,908,777,36,937,106,803,627,266
19930115,792,160,71,966,386,439,334,172,245,893,52,388,390,821,184
19930116,464,288,781,924,968,947,393,179,390,264,362,502,573,164,305
19930117,240,839,311,118,481,431,837,155,97,833,736,94,372,858,784
19930118,277,54,678,560,264,453,672,65,740,338,65,172,3,895,776
19930119,319,395,580,845,780,731,983,188,412,898,887,890,567,765,303
19930120,658,690,947,484,78,724,698,369,290,172,341,194,561,594,394
19930121,540,699,61,276,634,526,218,199,699,535,261,174,646,134,191
19930122,24,372,498,79,223,605,532,558,29,218,616,256,367,829,685
19930123,227,2,930,76,171,636,274,372,235,776,453,748,318,508,481
19930124,531,569,955,721,227,123,579,847,608,881,360,538,869,771,333
19930125,492,424,516,727,960,748,290,31,494,873,704,610,412,281,497
19930126,15,802,583,626,863,804,616,66,20,824,609,792,472,358,386
19930127,692,357,434,546,461,588,454,908,527,325,480,601,939,181,936
19930128,842,213,1018,926,220,890,213,871,625,31,778,878,453,888,125
19930129,519,838,322,203,554,991,479,521,43,340,825,627,23,160,875
19930130,552,462,859,825,988,802,598,314,865,864,947,296,360,773,261
19930131,798,365,792,273,686,784,790,636,252,180,224,782,632,259,673
19930201,358,324,994,804,664,612,171,730,564,803,638,984,544,45,374
